Element 1: (3, (13, 1), ['.', '%', '.', '%'], [(2, 6), (6, 8), (9, 8)], [False, True, False, True], 98, False, [True, False, True, False], 29, 'North', (13, 2))
Element 2: (3, (13, 2), ['.', '', '.', '%'], [(3, 6), (7, 8), (10, 8)], [False, False, False, True], 96, False, [True, False, True, False], 68, 'North', (13, 3))
Element 3: (3, (13, 3), ['%', '', '.', '%'], [(4, 6), (8, 8), (11, 8)], [True, False, False, True], 94, False, [False, False, True, False], 97, 'North', (13, 4))
Element 4: (3, (13, 4), ['.', '', '.', '.'], [(5, 6), (9, 8), (12, 8)], [False, False, False, False], 92, False, [True, False, True, True], 126, 'East', (14, 4))
Element 5: (3, (14, 4), ['', '%', '%', '.'], [(6, 6), (10, 8), (13, 8)], [False, True, True, False], 90, False, [False, False, False, True], 155, 'East', (15, 4))
Element 6: (3, (15, 4), ['', '.', '%', '.'], [(6, 7), (11, 8), (14, 8)], [False, False, True, False], 88, False, [False, True, False, True], 184, 'East', (16, 4))
Element 7: (3, (16, 4), ['', '%', '.', '.'], [(6, 8), (12, 8), (15, 8)], [False, True, False, False], 86, False, [False, False, True, True], 203, 'East', (17, 4))
Element 8: (3, (17, 4), ['', '%', '%', '%'], [(6, 9), (13, 8), (16, 8)], [False, True, True, True], 84, False, [False, False, False, False], 232, 'West', (16, 4))
Element 9: (3, (16, 4), ['', '%', '.', ''], [(6, 10), (13, 9), (16, 7)], [False, True, False, False], 82, False, [False, False, True, False], 261, 'North', (16, 5))
Element 10: (3, (16, 5), ['%', '', 'G', '%'], [(7, 10), (13, 10), (16, 6)], [True, False, False, True], 80, False, [False, False, False, False], 300, 'South', (16, 4))
Element 11: (3, (16, 4), ['', '%', '', ''], [(8, 10), (12, 10), (17, 6)], [False, True, False, False], 78, False, [False, False, False, False], 1319, 'West', (15, 4))
Element 12: (3, (15, 4), ['', '.', '%', ''], [(9, 10), (11, 10), (18, 6)], [False, False, True, False], 76, False, [False, True, False, False], 2338, 'South', (15, 3))
Element 13: (3, (15, 3), ['%', '.', '', '%'], [(10, 10), (12, 10), (18, 7)], [True, False, False, True], 74, False, [False, True, False, False], 2367, 'South', (15, 2))
Element 14: (3, (15, 2), ['%', '.', '', '.'], [(11, 10), (13, 10), (18, 8)], [True, False, False, False], 72, False, [False, True, False, True], 2386, 'East', (16, 2))
Element 15: (3, (16, 2), ['', '.', '%', '.'], [(12, 10), (13, 9), (18, 9)], [False, False, True, False], 70, False, [False, True, False, True], 2405, 'East', (17, 2))
