Element 1: (2, (10, 8), ['.', '', '%', '.'], [(3, 10), (6, 6), (16, 4)], [False, False, True, False], 98, False, [True, False, False, True], 19, 'East', (11, 8))
Element 2: (2, (11, 8), ['', '%', '%', '.'], [(4, 10), (6, 7), (17, 4)], [False, True, True, False], 96, False, [False, False, False, True], 58, 'East', (12, 8))
Element 3: (2, (12, 8), ['', '%', '%', '.'], [(4, 9), (6, 8), (16, 4)], [False, True, True, False], 94, False, [False, False, False, True], 87, 'East', (13, 8))
Element 4: (2, (13, 8), ['', '.', '.', '.'], [(4, 8), (7, 8), (16, 5)], [False, False, False, False], 92, False, [False, True, True, True], 126, 'East', (14, 8))
Element 5: (2, (14, 8), ['', '%', '%', '.'], [(5, 8), (8, 8), (16, 6)], [False, True, True, False], 90, False, [False, False, False, True], 165, 'East', (15, 8))
Element 6: (2, (15, 8), ['', '%', '.', '.'], [(6, 8), (9, 8), (17, 6)], [False, True, False, False], 88, False, [False, False, True, True], 194, 'East', (16, 8))
Element 7: (2, (16, 8), ['', '.', '%', '%'], [(6, 9), (10, 8), (18, 6)], [False, False, True, True], 86, False, [False, True, False, False], 223, 'South', (16, 7))
Element 8: (2, (16, 7), ['%', '', '', '%'], [(6, 10), (11, 8), (18, 7)], [True, False, False, True], 84, False, [False, False, False, False], 252, 'South', (16, 6))
Element 9: (2, (16, 6), ['.', '', '', ''], [(7, 10), (12, 8), (18, 8)], [False, False, False, False], 82, False, [True, False, False, False], 271, 'West', (15, 6))
Element 10: (2, (15, 6), ['.', '%', '%', ''], [(8, 10), (13, 8), (18, 9)], [False, True, True, False], 80, False, [True, False, False, False], 300, 'West', (14, 6))
Element 11: (2, (14, 6), ['.', '%', '%', ''], [(9, 10), (13, 9), (18, 10)], [False, True, True, False], 78, False, [True, False, False, False], 339, 'West', (13, 6))
Element 12: (2, (13, 6), ['%', '.', '.', ''], [(10, 10), (13, 10), (17, 10)], [True, False, False, False], 76, False, [False, True, True, False], 378, 'North', (13, 7))
Element 13: (2, (13, 7), ['%', '', '', '%'], [(11, 10), (12, 10), (16, 10)], [True, False, False, True], 74, False, [False, False, False, False], 2397, 'South', (13, 6))
Element 14: (2, (13, 6), ['%', '.', '', ''], [(10, 10), (11, 10), (15, 10)], [True, False, False, False], 72, False, [False, True, False, False], 2406, 'South', (13, 5))
Element 15: (2, (13, 5), ['%', '.', '', '%'], [(9, 10), (10, 10), (15, 9)], [True, False, False, True], 70, False, [False, True, False, False], 2425, 'South', (13, 4))
