Element 1: (1, (10, 1), ['.', '%', '.', 'F'], [(8, 8), (13, 5), (16, 6)], [False, True, False, False], 98, False, [True, False, True, False], 9, 'East', (11, 1))
Element 2: (1, (11, 1), ['', '%', '.', '.'], [(9, 8), (13, 6), (17, 6)], [False, True, False, False], 96, False, [False, False, True, True], 1038, 'East', (12, 1))
Element 3: (1, (12, 1), ['', '%', '.', '.'], [(10, 8), (14, 6), (18, 6)], [False, True, False, False], 94, False, [False, False, True, True], 1077, 'East', (13, 1))
Element 4: (1, (13, 1), ['', '%', '.', '%'], [(11, 8), (15, 6), (18, 7)], [False, True, False, True], 92, False, [False, False, True, False], 1116, 'North', (13, 2))
Element 5: (1, (13, 2), ['.', '', '.', '%'], [(12, 8), (16, 6), (18, 8)], [False, False, False, True], 90, False, [True, False, True, False], 1145, 'North', (13, 3))
Element 6: (1, (13, 3), ['%', '', '.', '%'], [(13, 8), (16, 7), (18, 9)], [True, False, False, True], 88, False, [False, False, True, False], 1184, 'North', (13, 4))
Element 7: (1, (13, 4), ['.', '', '', '.'], [(14, 8), (16, 8), (18, 10)], [False, False, False, False], 86, False, [True, False, False, True], 1223, 'East', (14, 4))
Element 8: (1, (14, 4), ['', '%', '%', '.'], [(13, 8), (15, 8), (17, 10)], [False, True, True, False], 84, False, [False, False, False, True], 1252, 'East', (15, 4))
Element 9: (1, (15, 4), ['', '.', '%', '.'], [(13, 9), (15, 9), (16, 10)], [False, False, True, False], 82, False, [False, True, False, True], 1291, 'East', (16, 4))
Element 10: (1, (16, 4), ['', '%', '.', '.'], [(13, 10), (15, 10), (17, 10)], [False, True, False, False], 80, False, [False, False, True, True], 1320, 'East', (17, 4))
Element 11: (1, (17, 4), ['', '%', '%', '%'], [(12, 10), (16, 10), (18, 10)], [False, True, True, True], 78, False, [False, False, False, False], 2329, 'West', (16, 4))
Element 12: (1, (16, 4), ['', '%', '.', ''], [(11, 10), (17, 10), (18, 9)], [False, True, False, False], 76, False, [False, False, True, False], 3328, 'North', (16, 5))
Element 13: (1, (16, 5), ['%', '', '', '%'], [(10, 10), (18, 10), (18, 8)], [True, False, False, True], 74, False, [False, False, False, False], 3347, 'North', (16, 6))
Element 14: (1, (16, 6), ['', '', '', ''], [(9, 10), (18, 9), (18, 7)], [False, False, False, False], 72, False, [False, False, False, False], 3356, 'East', (17, 6))
Element 15: (1, (17, 6), ['', '%', '%', 'G'], [(8, 10), (18, 8), (18, 6)], [False, True, True, False], 70, False, [False, False, False, False], 3365, 'West', (16, 6))
Element 16: (1, (16, 6), ['', '', '', ''], [(7, 10), (18, 7), (18, 5)], [False, False, False, False], 68, False, [False, False, False, False], 3384, 'North', (16, 7))
Element 17: (1, (16, 7), ['%', '', '', '%'], [(6, 10), (18, 6), (18, 5)], [True, False, False, True], 66, False, [False, False, False, False], 3393, 'North', (16, 8))
Element 18: (1, (16, 8), ['', '', '%', '%'], [(6, 9), (17, 6), (18, 6)], [False, False, True, True], 64, False, [False, False, False, False], 3402, 'West', (15, 8))
Element 19: (1, (15, 8), ['', '%', '', ''], [(6, 8), (16, 6), (17, 6)], [False, True, False, False], 62, False, [False, False, False, False], 3411, 'North', (15, 9))
Element 20: (1, (15, 9), ['%', '', '', '%'], [(6, 7), (16, 7), (16, 6)], [True, False, False, True], 60, False, [False, False, False, False], 3420, 'North', (15, 10))
Element 21: (1, (15, 10), ['%', '', '%', ''], [(6, 6), (16, 8), (16, 6)], [True, False, True, False], 58, False, [False, False, False, False], 3429, 'East', (16, 10))
Element 22: (1, (16, 10), ['', '%', '%', ''], [(6, 5), (16, 8), (16, 5)], [False, True, True, False], 56, False, [False, False, False, False], 3438, 'East', (17, 10))
Element 23: #1#
