Element 1: (2, (16, 8), ['.', '.', '%', '%'], [(16, 1), (12, 8), (18, 1)], [False, False, True, True], 98, False, [True, True, False, False], 19, 'South', (16, 7))
Element 2: (2, (16, 7), ['%', '.', '', '%'], [(16, 2), (13, 8), (17, 1)], [True, False, False, True], 96, False, [False, True, False, False], 58, 'South', (16, 6))
Element 3: (2, (16, 6), ['.', '.', '', '.'], [(15, 2), (14, 8), (17, 2)], [False, False, False, False], 94, False, [True, True, False, True], 97, 'East', (17, 6))
Element 4: (2, (17, 6), ['', '%', '%', '.'], [(15, 3), (15, 8), (18, 2)], [False, True, True, False], 92, False, [False, False, False, True], 126, 'East', (18, 6))
Element 5: (2, (18, 6), ['', '.', '.', '%'], [(15, 4), (15, 9), (18, 3)], [False, False, False, True], 90, False, [False, True, True, False], 165, 'North', (18, 7))
Element 6: (2, (18, 7), ['%', '', '.', '%'], [(16, 4), (15, 10), (18, 2)], [True, False, False, True], 88, False, [False, False, True, False], 194, 'North', (18, 8))
Element 7: (2, (18, 8), ['%', '', '.', '%'], [(17, 4), (16, 10), (17, 2)], [True, False, False, True], 86, False, [False, False, True, False], 223, 'North', (18, 9))
Element 8: (2, (18, 9), ['%', '', '.', '%'], [(16, 4), (17, 10), (16, 2)], [True, False, False, True], 84, False, [False, False, True, False], 242, 'North', (18, 10))
Element 9: (2, (18, 10), ['', '', '%', '%'], [(16, 5), (16, 10), (16, 1)], [False, False, True, True], 82, False, [False, False, False, False], 261, 'West', (17, 10))
Element 10: (2, (17, 10), ['', '%', '%', ''], [(16, 6), (15, 10), (15, 1)], [False, True, True, False], 80, False, [False, False, False, False], 260, 'West', (16, 10))
Element 11: (2, (16, 10), ['', '%', '%', ''], [(15, 6), (15, 9), (15, 2)], [False, True, True, False], 78, False, [False, False, False, False], 269, 'West', (15, 10))
Element 12: (2, (15, 10), ['%', '', '%', ''], [(14, 6), (15, 8), (15, 3)], [True, False, True, False], 76, False, [False, False, False, False], 278, 'South', (15, 9))
Element 13: (2, (15, 9), ['%', '', '', '%'], [(13, 6), (16, 8), (15, 4)], [True, False, False, True], 74, False, [False, False, False, False], 287, 'South', (15, 8))
Element 14: (2, (15, 8), ['', '%', '', ''], [(13, 7), (16, 7), (14, 4)], [False, True, False, False], 72, False, [False, False, False, False], 306, 'West', (14, 8))
Element 15: (2, (14, 8), ['G', '%', '%', ''], [(13, 8), (16, 6), (13, 4)], [False, True, True, False], 70, False, [False, False, False, False], 315, 'East', (15, 8))
Element 16: (2, (15, 8), ['', '%', '', ''], [(13, 9), (17, 6), (13, 5)], [False, True, False, False], 68, False, [False, False, False, False], 334, 'North', (15, 9))
Element 17: (2, (15, 9), ['%', '', '', '%'], [(13, 10), (18, 6), (13, 6)], [True, False, False, True], 66, False, [False, False, False, False], 343, 'North', (15, 10))
Element 18: (2, (15, 10), ['%', '', '%', ''], [(12, 10), (18, 5), (14, 6)], [True, False, True, False], 64, False, [False, False, False, False], 1352, 'East', (16, 10))
Element 19: (2, (16, 10), ['', '%', '%', ''], [(11, 10), (18, 6), (15, 6)], [False, True, True, False], 62, False, [False, False, False, False], 2351, 'East', (17, 10))
Element 20: (2, (17, 10), ['', '%', '%', ''], [(10, 10), (18, 7), (16, 6)], [False, True, True, False], 60, False, [False, False, False, False], 2360, 'East', (18, 10))
Element 21: (2, (18, 10), ['', '', '%', '%'], [(9, 10), (18, 8), (17, 6)], [False, False, True, True], 58, False, [False, False, False, False], 2369, 'South', (18, 9))
Element 22: (2, (18, 9), ['%', '', '', '%'], [(8, 10), (18, 7), (18, 6)], [True, False, False, True], 56, False, [False, False, False, False], 2378, 'South', (18, 8))
Element 23: (2, (18, 8), ['%', '', '', '%'], [(7, 10), (18, 6), (18, 5)], [True, False, False, True], 54, False, [False, False, False, False], 2387, 'South', (18, 7))
Element 24: (2, (18, 7), ['%', '', '', '%'], [(6, 10), (17, 6), (18, 5)], [True, False, False, True], 52, False, [False, False, False, False], 2396, 'South', (18, 6))
Element 25: (2, (18, 6), ['', 'G', '', '%'], [(6, 9), (16, 6), (18, 5)], [False, False, False, True], 50, False, [False, False, False, False], 2405, 'West', (17, 6))
Element 26: (2, (17, 6), ['', '%', '%', 'G'], [(6, 8), (16, 5), (18, 6)], [False, True, True, False], 48, False, [False, False, False, False], 2414, 'West', (16, 6))
Element 27: (2, (16, 6), ['', '', '', ''], [(7, 8), (16, 4), (18, 7)], [False, False, False, False], 46, False, [False, False, False, False], 2423, 'East', (17, 6))
Element 28: (2, (17, 6), ['', '%', '%', ''], [(8, 8), (17, 4), (18, 8)], [False, True, True, False], 44, False, [False, False, False, False], 2432, 'West', (16, 6))
Element 29: (2, (16, 6), ['', '', '', ''], [(9, 8), (16, 4), (18, 9)], [False, False, False, False], 42, False, [False, False, False, False], 2441, 'South', (16, 5))
Element 30: (2, (16, 5), ['%', '', '', '%'], [(10, 8), (15, 4), (18, 10)], [True, False, False, True], 40, False, [False, False, False, False], 2450, 'South', (16, 4))
Element 31: (2, (16, 4), ['', '%', '', ''], [(11, 8), (15, 3), (17, 10)], [False, True, False, False], 38, False, [False, False, False, False], 2449, 'East', (17, 4))
Element 32: (2, (17, 4), ['', '%', '%', '%'], [(12, 8), (15, 2), (16, 10)], [False, True, True, True], 36, False, [False, False, False, False], 2448, 'West', (16, 4))
Element 33: (2, (16, 4), ['', '%', '', ''], [(11, 8), (16, 2), (15, 10)], [False, True, False, False], 34, False, [False, False, False, False], 2447, 'West', (15, 4))
Element 34: (2, (15, 4), ['', '', '%', ''], [(10, 8), (17, 2), (15, 9)], [False, False, True, False], 32, False, [False, False, False, False], 2446, 'South', (15, 3))
Element 35: (2, (15, 3), ['%', '', '', '%'], [(10, 7), (18, 2), (15, 8)], [True, False, False, True], 30, False, [False, False, False, False], 2445, 'South', (15, 2))
Element 36: (2, (15, 2), ['%', '', '', ''], [(10, 6), (18, 3), (16, 8)], [True, False, False, False], 28, False, [False, False, False, False], 2444, 'East', (16, 2))
Element 37: (2, (16, 2), ['', '', '%', ''], [(11, 6), (18, 2), (16, 7)], [False, False, True, False], 26, False, [False, False, False, False], 2453, 'East', (17, 2))
Element 38: (2, (17, 2), ['', '', '%', ''], [(10, 6), (18, 1), (16, 8)], [False, False, True, False], 24, False, [False, False, False, False], 2452, 'East', (18, 2))
Element 39: (2, (18, 2), ['', '', '', '%'], [(9, 6), (17, 1), (15, 8)], [False, False, False, True], 22, False, [False, False, False, False], 2451, 'North', (18, 3))
Element 40: (2, (18, 3), ['%', '', '%', '%'], [(8, 6), (16, 1), (14, 8)], [True, False, True, True], 20, False, [False, False, False, False], 2460, 'South', (18, 2))
Element 41: (2, (18, 2), ['', '', '', '%'], [(9, 6), (15, 1), (13, 8)], [False, False, False, True], 18, False, [False, False, False, False], 2459, 'South', (18, 1))
Element 42: (2, (18, 1), ['', '%', '', '%'], [(9, 7), (16, 1), (13, 9)], [False, True, False, True], 16, False, [False, False, False, False], 2458, 'West', (17, 1))
Element 43: (2, (17, 1), ['', '%', '', ''], [(9, 6), (15, 1), (13, 10)], [False, True, False, False], 14, False, [False, False, False, False], 2457, 'West', (16, 1))
Element 44: (2, (16, 1), ['', '%', '', ''], [(10, 6), (16, 1), (12, 10)], [False, True, False, False], 12, False, [False, False, False, False], 2456, 'West', (15, 1))
