Element 1: (2, (16, 6), ['.', '.', '.', '.'], [(13, 4), (14, 8), (17, 1)], [False, False, False, False], 98, False, [True, True, True, True], 19, 'East', (17, 6))
Element 2: (2, (17, 6), ['', '%', '%', '.'], [(14, 4), (15, 8), (18, 1)], [False, True, True, False], 96, False, [False, False, False, True], 58, 'East', (18, 6))
Element 3: (2, (18, 6), ['', '.', '.', '%'], [(15, 4), (16, 8), (18, 2)], [False, False, False, True], 94, False, [False, True, True, False], 87, 'North', (18, 7))
Element 4: (2, (18, 7), ['%', '', '.', '%'], [(16, 4), (16, 7), (18, 3)], [True, False, False, True], 92, False, [False, False, True, False], 126, 'North', (18, 8))
Element 5: (2, (18, 8), ['%', '', '.', '%'], [(17, 4), (16, 6), (18, 2)], [True, False, False, True], 90, False, [False, False, True, False], 145, 'North', (18, 9))
Element 6: (2, (18, 9), ['%', '', '.', '%'], [(16, 4), (16, 5), (17, 2)], [True, False, False, True], 88, False, [False, False, True, False], 174, 'North', (18, 10))
Element 7: (2, (18, 10), ['.', '', '%', '%'], [(15, 4), (16, 4), (16, 2)], [False, False, True, True], 86, False, [True, False, False, False], 193, 'West', (17, 10))
Element 8: (2, (17, 10), ['.', '%', '%', ''], [(14, 4), (17, 4), (16, 1)], [False, True, True, False], 84, False, [True, False, False, False], 212, 'West', (16, 10))
Element 9: (2, (16, 10), ['.', '%', '%', ''], [(15, 4), (16, 4), (15, 1)], [False, True, True, False], 82, False, [True, False, False, False], 231, 'West', (15, 10))
Element 10: (2, (15, 10), ['%', '.', '%', ''], [(15, 3), (15, 4), (15, 2)], [True, False, True, False], 80, False, [False, True, False, False], 260, 'South', (15, 9))
Element 11: (2, (15, 9), ['%', '', '', '%'], [(15, 2), (15, 3), (15, 1)], [True, False, False, True], 78, False, [False, False, False, False], 269, 'South', (15, 8))
Element 12: (2, (15, 8), ['', '%', '', ''], [(16, 2), (15, 2), (16, 1)], [False, True, False, False], 76, False, [False, False, False, False], 268, 'East', (16, 8))
Element 13: (2, (16, 8), ['', '', '%', '%'], [(17, 2), (16, 2), (15, 1)], [False, False, True, True], 74, False, [False, False, False, False], 267, 'South', (16, 7))
Element 14: (2, (16, 7), ['%', '', '', '%'], [(18, 2), (17, 2), (15, 2)], [True, False, False, True], 72, False, [False, False, False, False], 266, 'North', (16, 8))
Element 15: (2, (16, 8), ['', '', '%', '%'], [(18, 3), (18, 2), (16, 2)], [False, False, True, True], 70, False, [False, False, False, False], 265, 'West', (15, 8))
Element 16: (2, (15, 8), ['', '%', '', ''], [(18, 3), (18, 1), (17, 2)], [False, True, False, False], 68, False, [False, False, False, False], 264, 'West', (14, 8))
Element 17: (2, (14, 8), ['', '%', '%', ''], [(18, 3), (17, 1), (18, 2)], [False, True, True, False], 66, False, [False, False, False, False], 263, 'West', (13, 8))
Element 18: (2, (13, 8), ['.', '.', '.', ''], [(18, 2), (16, 1), (18, 1)], [False, False, False, False], 64, False, [True, True, True, False], 262, 'North', (13, 9))
Element 19: (2, (13, 9), ['%', '', '.', '%'], [(17, 2), (15, 1), (17, 1)], [True, False, False, True], 62, False, [False, False, True, False], 271, 'North', (13, 10))
Element 20: (2, (13, 10), ['F', '', '%', '%'], [(17, 1), (15, 2), (16, 1)], [False, False, True, True], 60, False, [False, False, False, False], 280, 'West', (12, 10))
Element 21: (2, (12, 10), ['F', '%', '%', ''], [(18, 1), (15, 1), (15, 1)], [False, True, True, False], 58, False, [False, False, False, False], 1279, 'West', (11, 10))
Element 22: (2, (11, 10), ['.', '%', '%', ''], [(17, 1), (16, 1), (16, 1)], [False, True, True, False], 56, False, [True, False, False, False], 2278, 'West', (10, 10))
Element 23: (2, (10, 10), ['.', '%', '%', ''], [(17, 2), (16, 2), (15, 1)], [False, True, True, False], 54, False, [True, False, False, False], 2287, 'West', (9, 10))
Element 24: (2, (9, 10), ['.', '%', '%', ''], [(17, 1), (17, 2), (15, 1)], [False, True, True, False], 52, False, [True, False, False, False], 2296, 'West', (8, 10))
Element 25: (2, (8, 10), ['.', '%', '%', ''], [(18, 1), (17, 1), (16, 1)], [False, True, True, False], 50, False, [True, False, False, False], 2305, 'West', (7, 10))
Element 26: (2, (7, 10), ['.', '%', '%', ''], [(18, 2), (17, 2), (16, 2)], [False, True, True, False], 48, False, [True, False, False, False], 2314, 'West', (6, 10))
Element 27: (2, (6, 10), ['%', '.', '%', ''], [(18, 1), (16, 2), (15, 2)], [True, False, True, False], 46, False, [False, True, False, False], 2323, 'South', (6, 9))
Element 28: (2, (6, 9), ['%', '.', '', '%'], [(17, 1), (16, 1), (15, 3)], [True, False, False, True], 44, False, [False, True, False, False], 2332, 'South', (6, 8))
Element 29: (2, (6, 8), ['.', '.', '', '.'], [(17, 2), (16, 2), (15, 4)], [False, False, False, False], 42, False, [True, True, False, True], 2341, 'East', (7, 8))
Element 30: (2, (7, 8), ['', '%', '%', '.'], [(17, 1), (15, 2), (16, 4)], [False, True, True, False], 40, False, [False, False, False, True], 2350, 'East', (8, 8))
Element 31: (2, (8, 8), ['', '%', '%', '.'], [(16, 1), (15, 3), (17, 4)], [False, True, True, False], 38, False, [False, False, False, True], 2359, 'East', (9, 8))
Element 32: (2, (9, 8), ['', '', '%', '.'], [(15, 1), (15, 4), (16, 4)], [False, False, True, False], 36, False, [False, False, False, True], 2368, 'East', (10, 8))
Element 33: (2, (10, 8), ['', '', '%', '.'], [(16, 1), (14, 4), (16, 5)], [False, False, True, False], 34, False, [False, False, False, True], 2377, 'East', (11, 8))
Element 34: (2, (11, 8), ['', '%', '%', '.'], [(16, 2), (13, 4), (16, 6)], [False, True, True, False], 32, False, [False, False, False, True], 2386, 'East', (12, 8))
