Element 18: (1, (10, 10), ['', '%', '%', ''], [(12, 10), (13, 6), (16, 10)], [False, True, True, False], 64, False, [False, False, False, False], 3422, 'East', (11, 10))
Element 19: (1, (11, 10), ['', '%', '%', ''], [(13, 10), (14, 6), (15, 10)], [False, True, True, False], 62, False, [False, False, False, False], 3441, 'East', (12, 10))
Element 20: (1, (12, 10), ['', '%', '%', ''], [(13, 9), (15, 6), (15, 9)], [False, True, True, False], 60, False, [False, False, False, False], 3460, 'East', (13, 10))
Element 21: (1, (13, 10), ['', '', '%', '%'], [(13, 8), (16, 6), (15, 10)], [False, False, True, True], 58, False, [False, False, False, False], 3459, 'South', (13, 9))
Element 22: (1, (13, 9), ['%', '', '', '%'], [(13, 7), (16, 5), (16, 10)], [True, False, False, True], 56, False, [False, False, False, False], 3468, 'South', (13, 8))
Element 23: (1, (13, 8), ['', '', '', ''], [(13, 6), (16, 4), (17, 10)], [False, False, False, False], 54, False, [False, False, False, False], 3477, 'East', (14, 8))
Element 24: (1, (14, 8), ['', '%', '%', ''], [(13, 5), (17, 4), (18, 10)], [False, True, True, False], 52, False, [False, False, False, False], 3496, 'East', (15, 8))
Element 25: (1, (15, 8), ['', '%', '', ''], [(13, 4), (16, 4), (18, 9)], [False, True, False, False], 50, False, [False, False, False, False], 3505, 'East', (16, 8))
Element 26: (1, (16, 8), ['', '', '%', '%'], [(14, 4), (15, 4), (18, 8)], [False, False, True, True], 48, False, [False, False, False, False], 3524, 'South', (16, 7))
Element 27: (1, (16, 7), ['%', '', '', '%'], [(15, 4), (15, 3), (18, 7)], [True, False, False, True], 46, False, [False, False, False, False], 3533, 'South', (16, 6))
Element 28: (1, (16, 6), ['', '', '', ''], [(16, 4), (15, 2), (18, 6)], [False, False, False, False], 44, False, [False, False, False, False], 3542, 'East', (17, 6))
Element 29: (1, (17, 6), ['', '%', '%', ''], [(17, 4), (16, 2), (18, 5)], [False, True, True, False], 42, False, [False, False, False, False], 3561, 'East', (18, 6))
Element 30: (1, (18, 6), ['', 'G', '', '%'], [(16, 4), (17, 2), (18, 5)], [False, False, False, True], 40, False, [False, False, False, False], 3570, 'North', (18, 7))
Element 31: (1, (18, 7), ['%', 'G', '', '%'], [(16, 5), (17, 1), (18, 6)], [True, False, False, True], 38, False, [False, False, False, False], 3579, 'North', (18, 8))
Element 32: (1, (18, 8), ['%', '', '', '%'], [(16, 6), (18, 1), (17, 6)], [True, False, False, True], 36, False, [False, False, False, False], 3588, 'North', (18, 9))
Element 33: (1, (18, 9), ['%', '', '', '%'], [(16, 7), (18, 2), (17, 6)], [True, False, False, True], 34, False, [False, False, False, False], 3587, 'North', (18, 10))
Element 34: (1, (18, 10), ['', '', '%', '%'], [(16, 8), (18, 3), (16, 6)], [False, False, True, True], 32, False, [False, False, False, False], 3596, 'West', (17, 10))
Element 35: (1, (17, 10), ['', '%', '%', ''], [(15, 8), (18, 2), (15, 6)], [False, True, True, False], 30, False, [False, False, False, False], 3595, 'West', (16, 10))
Element 36: (1, (16, 10), ['', '%', '%', ''], [(15, 9), (18, 1), (14, 6)], [False, True, True, False], 28, False, [False, False, False, False], 3594, 'West', (15, 10))
Element 37: (1, (15, 10), ['%', '', '%', ''], [(15, 8), (17, 1), (13, 6)], [True, False, True, False], 26, False, [False, False, False, False], 3593, 'South', (15, 9))
Element 38: (1, (15, 9), ['%', '', '', '%'], [(14, 8), (16, 1), (13, 7)], [True, False, False, True], 24, False, [False, False, False, False], 3602, 'North', (15, 10))
Element 39: (1, (15, 10), ['%', '', '%', ''], [(15, 8), (15, 1), (13, 6)], [True, False, True, False], 22, False, [False, False, False, False], 3611, 'East', (16, 10))
Element 40: (1, (16, 10), ['', '%', '%', ''], [(16, 8), (16, 1), (13, 5)], [False, True, True, False], 20, False, [False, False, False, False], 3610, 'East', (17, 10))
Element 41: (1, (17, 10), ['', '%', '%', ''], [(16, 7), (17, 1), (13, 4)], [False, True, True, False], 18, False, [False, False, False, False], 3609, 'East', (18, 10))
Element 42: (1, (18, 10), ['', '', '%', '%'], [(16, 6), (17, 2), (13, 3)], [False, False, True, True], 16, False, [False, False, False, False], 3618, 'South', (18, 9))
Element 43: (1, (18, 9), ['%', '', '', '%'], [(15, 6), (18, 2), (13, 2)], [True, False, False, True], 14, False, [False, False, False, False], 3627, 'South', (18, 8))
Element 44: (1, (18, 8), ['%', '', '', '%'], [(14, 6), (17, 2), (13, 1)], [True, False, False, True], 12, False, [False, False, False, False], 3636, 'South', (18, 7))
Element 45: (1, (18, 7), ['%', '', '', '%'], [(15, 6), (16, 2), (12, 1)], [True, False, False, True], 10, False, [False, False, False, False], 3645, 'South', (18, 6))
Element 46: #1#
