Element 1: (3, (18, 1), ['.', '%', '', '%'], [(1, 9), (6, 6), (10, 4)], [False, True, False, True], 98, False, [True, False, False, False], 29, 'West', (17, 1))
Element 2: (3, (17, 1), ['.', '%', '.', ''], [(1, 10), (6, 7), (11, 4)], [False, True, False, False], 96, False, [True, False, True, False], 68, 'North', (17, 2))
Element 3: (3, (17, 2), ['.', '', '%', ''], [(2, 10), (6, 8), (12, 4)], [False, False, True, False], 94, False, [True, False, False, False], 107, 'West', (16, 2))
Element 4: (3, (16, 2), ['.', '.', '%', ''], [(3, 10), (7, 8), (13, 4)], [False, False, True, False], 92, False, [True, True, False, False], 146, 'South', (16, 1))
Element 5: (3, (16, 1), ['.', '%', '', ''], [(4, 10), (8, 8), (14, 4)], [False, True, False, False], 90, False, [True, False, False, False], 185, 'West', (15, 1))
Element 6: (3, (15, 1), ['%', '%', '.', ''], [(4, 9), (9, 8), (15, 4)], [True, True, False, False], 88, False, [False, False, True, False], 224, 'North', (15, 2))
Element 7: (3, (15, 2), ['%', '', '.', ''], [(4, 8), (10, 8), (16, 4)], [True, False, False, False], 86, False, [False, False, True, False], 263, 'North', (15, 3))
Element 8: (3, (15, 3), ['%', '', '', '%'], [(5, 8), (11, 8), (17, 4)], [True, False, False, True], 84, False, [False, False, False, False], 302, 'North', (15, 4))
Element 9: (3, (15, 4), ['', '', '%', 'G'], [(6, 8), (12, 8), (16, 4)], [False, False, True, False], 82, False, [False, False, False, False], 311, 'West', (14, 4))
Element 10: (3, (14, 4), ['', '%', '%', ''], [(6, 9), (13, 8), (16, 5)], [False, True, True, False], 80, False, [False, False, False, False], 340, 'West', (13, 4))
Element 11: (3, (13, 4), ['', '.', '.', ''], [(6, 10), (14, 8), (16, 6)], [False, False, False, False], 78, False, [False, True, True, False], 369, 'North', (13, 5))
Element 12: (3, (13, 5), ['%', '', '.', '%'], [(7, 10), (15, 8), (17, 6)], [True, False, False, True], 76, False, [False, False, True, False], 408, 'North', (13, 6))
Element 13: (3, (13, 6), ['%', '', '.', '.'], [(8, 10), (16, 8), (18, 6)], [True, False, False, False], 74, False, [False, False, True, True], 447, 'East', (14, 6))
Element 14: (3, (14, 6), ['', '%', '%', '.'], [(9, 10), (16, 7), (18, 7)], [False, True, True, False], 72, False, [False, False, False, True], 486, 'East', (15, 6))
Element 15: (3, (15, 6), ['', '%', '%', 'G'], [(10, 10), (16, 6), (18, 8)], [False, True, True, False], 70, False, [False, False, False, False], 515, 'West', (14, 6))
Element 16: (3, (14, 6), ['', '%', '%', ''], [(11, 10), (17, 6), (18, 9)], [False, True, True, False], 68, False, [False, False, False, False], 1524, 'West', (13, 6))
Element 17: (3, (13, 6), ['%', '', '.', ''], [(12, 10), (18, 6), (18, 10)], [True, False, False, False], 66, False, [False, False, True, False], 2533, 'North', (13, 7))
Element 18: (3, (13, 7), ['%', '', '', '%'], [(13, 10), (18, 5), (17, 10)], [True, False, False, True], 64, False, [False, False, False, False], 2572, 'North', (13, 8))
Element 19: (3, (13, 8), ['', '', 'G', ''], [(13, 9), (18, 6), (16, 10)], [False, False, False, False], 62, False, [False, False, False, False], 2591, 'East', (14, 8))
Element 20: (3, (14, 8), ['G', '%', '%', ''], [(13, 8), (18, 7), (15, 10)], [False, True, True, False], 60, False, [False, False, False, False], 2600, 'East', (15, 8))
Element 21: (3, (15, 8), ['G', '%', 'G', ''], [(14, 8), (18, 8), (15, 9)], [False, True, False, False], 58, False, [False, False, False, False], 2609, 'East', (16, 8))
Element 22: (3, (16, 8), ['G', '', '%', '%'], [(15, 8), (18, 9), (15, 10)], [False, False, True, True], 56, False, [False, False, False, False], 2608, 'South', (16, 7))
Element 23: (3, (16, 7), ['%', '', 'G', '%'], [(16, 8), (18, 10), (16, 10)], [True, False, False, True], 54, False, [False, False, False, False], 2607, 'South', (16, 6))
Element 24: (3, (16, 6), ['', '', 'G', ''], [(16, 7), (17, 10), (15, 10)], [False, False, False, False], 52, False, [False, False, False, False], 2606, 'East', (17, 6))
Element 25: (3, (17, 6), ['G', '%', '%', ''], [(16, 6), (16, 10), (16, 10)], [False, True, True, False], 50, False, [False, False, False, False], 2605, 'East', (18, 6))
Element 26: (3, (18, 6), ['G', '', '', '%'], [(17, 6), (15, 10), (16, 10)], [False, False, False, True], 48, False, [False, False, False, False], 2604, 'North', (18, 7))
Element 27: (3, (18, 7), ['%', 'G', '', '%'], [(18, 6), (15, 9), (16, 10)], [True, False, False, True], 46, False, [False, False, False, False], 2603, 'North', (18, 8))
Element 28: (3, (18, 8), ['%', 'G', '', '%'], [(18, 7), (15, 10), (17, 10)], [True, False, False, True], 44, False, [False, False, False, False], 2602, 'North', (18, 9))
Element 29: (3, (18, 9), ['%', 'G', '', '%'], [(18, 8), (16, 10), (17, 10)], [True, False, False, True], 42, False, [False, False, False, False], 2601, 'North', (18, 10))
Element 30: (3, (18, 10), ['G', 'G', '%', '%'], [(18, 9), (15, 10), (17, 10)], [False, False, True, True], 40, False, [False, False, False, False], 2600, 'Stop', (18, 10))
Element 31: (3, (18, 10), ['G', '', '%', '%'], [(18, 8), (15, 9), (17, 10)], [False, False, True, True], 38, False, [False, False, False, False], 2599, 'South', (18, 9))
Element 32: (3, (18, 9), ['%', '', '', '%'], [(18, 7), (15, 8), (17, 10)], [True, False, False, True], 36, False, [False, False, False, False], 2598, 'South', (18, 8))
Element 33: (3, (18, 8), ['%', '', '', '%'], [(18, 6), (14, 8), (17, 10)], [True, False, False, True], 34, False, [False, False, False, False], 2597, 'South', (18, 7))
Element 34: (3, (18, 7), ['%', '', '', '%'], [(18, 5), (13, 8), (17, 10)], [True, False, False, True], 32, False, [False, False, False, False], 2596, 'South', (18, 6))
Element 35: (3, (18, 6), ['', 'G', '', '%'], [(18, 5), (12, 8), (17, 10)], [False, False, False, True], 30, False, [False, False, False, False], 2595, 'Stop', (18, 6))
Element 36: (3, (18, 6), ['', '', '', '%'], [(18, 6), (12, 8), (17, 10)], [False, False, False, True], 28, False, [False, False, False, False], 2594, 'West', (17, 6))
Element 37: (3, (17, 6), ['', '%', '%', ''], [(17, 6), (12, 8), (17, 10)], [False, True, True, False], 26, False, [False, False, False, False], 2593, 'West', (16, 6))
Element 38: (3, (16, 6), ['', '', '', 'G'], [(17, 6), (12, 8), (17, 10)], [False, False, False, False], 24, False, [False, False, False, False], 2592, 'South', (16, 5))
Element 39: (3, (16, 5), ['%', '', 'G', '%'], [(16, 6), (11, 8), (17, 10)], [True, False, False, True], 22, False, [False, False, False, False], 2591, 'South', (16, 4))
Element 40: (3, (16, 4), ['', '%', '', ''], [(15, 6), (10, 8), (17, 10)], [False, True, False, False], 20, False, [False, False, False, False], 2590, 'East', (17, 4))
Element 41: (3, (17, 4), ['', '%', '%', '%'], [(14, 6), (10, 7), (17, 10)], [False, True, True, True], 18, False, [False, False, False, False], 2589, 'West', (16, 4))
Element 42: (3, (16, 4), ['', '%', '', ''], [(13, 6), (10, 6), (17, 10)], [False, True, False, False], 16, False, [False, False, False, False], 2588, 'North', (16, 5))
Element 43: (3, (16, 5), ['%', '', '', '%'], [(13, 7), (11, 6), (17, 10)], [True, False, False, True], 14, False, [False, False, False, False], 2597, 'North', (16, 6))
Element 44: (3, (16, 6), ['', '', '', ''], [(13, 6), (10, 6), (17, 10)], [False, False, False, False], 12, False, [False, False, False, False], 2596, 'North', (16, 7))
Element 45: (3, (16, 7), ['%', '', '', '%'], [(13, 5), (9, 6), (16, 10)], [True, False, False, True], 10, False, [False, False, False, False], 2595, 'North', (16, 8))
Element 46: (3, (16, 8), ['', '', '%', '%'], [(13, 4), (8, 6), (15, 10)], [False, False, True, True], 8, False, [False, False, False, False], 2604, 'West', (15, 8))
Element 47: (3, (15, 8), ['', '%', 'G', ''], [(13, 3), (9, 6), (15, 9)], [False, True, False, False], 6, False, [False, False, False, False], 2613, 'West', (14, 8))
Element 48: (3, (14, 8), ['', '%', '%', 'G'], [(13, 2), (9, 7), (15, 8)], [False, True, True, False], 4, False, [False, False, False, False], 2622, 'West', (13, 8))
Element 49: (3, (13, 8), ['', '', '', ''], [(13, 1), (9, 6), (16, 8)], [False, False, False, False], 2, False, [False, False, False, False], 2631, 'West', (12, 8))
Element 50: (3, (12, 8), ['', '%', '%', ''], [(13, 1), (9, 6), (16, 8)], [False, True, True, False], 0, False, [False, False, False, False], 2630, 'Stop', (12, 8))
Element 51: #0#
