Element 1: (1, (1, 4), ['%', '', '.', '%'], [(1, 2), (13, 1), (14, 8)], [True, False, False, True], 98, False, [False, False, True, False], 9, 'North', (1, 5))
Element 2: (1, (1, 5), ['%', '', '.', '%'], [(2, 2), (13, 2), (15, 8)], [True, False, False, True], 96, False, [False, False, True, False], 48, 'North', (1, 6))
Element 3: (1, (1, 6), ['%', '', '.', '.'], [(3, 2), (13, 3), (16, 8)], [True, False, False, False], 94, False, [False, False, True, True], 87, 'East', (2, 6))
Element 4: (1, (2, 6), ['', '%', '%', '.'], [(4, 2), (13, 4), (16, 7)], [False, True, True, False], 92, False, [False, False, False, True], 126, 'East', (3, 6))
Element 5: (1, (3, 6), ['', '.', '.', '.'], [(4, 3), (14, 4), (16, 6)], [False, False, False, False], 90, False, [False, True, True, True], 165, 'East', (4, 6))
Element 6: (1, (4, 6), ['', '%', '%', '.'], [(4, 4), (15, 4), (17, 6)], [False, True, True, False], 88, False, [False, False, False, True], 204, 'East', (5, 6))
Element 7: (1, (5, 6), ['', '%', '%', '.'], [(5, 4), (16, 4), (18, 6)], [False, True, True, False], 86, False, [False, False, False, True], 243, 'East', (6, 6))
Element 8: (1, (6, 6), ['', '.', '.', '%'], [(6, 4), (17, 4), (18, 7)], [False, False, False, True], 84, False, [False, True, True, False], 282, 'North', (6, 7))
Element 9: (1, (6, 7), ['%', '', '.', '%'], [(7, 4), (16, 4), (18, 8)], [True, False, False, True], 82, False, [False, False, True, False], 311, 'North', (6, 8))
Element 10: (1, (6, 8), ['.', '', '.', '.'], [(7, 5), (16, 5), (18, 9)], [False, False, False, False], 80, False, [True, False, True, True], 1340, 'East', (7, 8))
Element 11: (1, (7, 8), ['', '%', '%', '.'], [(6, 5), (16, 6), (18, 10)], [False, True, True, False], 78, False, [False, False, False, True], 1369, 'East', (8, 8))
Element 12: (1, (8, 8), ['', '%', '%', '.'], [(6, 6), (15, 6), (17, 10)], [False, True, True, False], 76, False, [False, False, False, True], 1398, 'East', (9, 8))
Element 13: (1, (9, 8), ['', '', '%', '.'], [(6, 7), (14, 6), (16, 10)], [False, False, True, False], 74, False, [False, False, False, True], 1427, 'East', (10, 8))
Element 14: (1, (10, 8), ['', '', '%', '.'], [(6, 8), (13, 6), (15, 10)], [False, False, True, False], 72, False, [False, False, False, True], 1456, 'East', (11, 8))
Element 15: (1, (11, 8), ['', '%', '%', '.'], [(6, 9), (13, 7), (15, 9)], [False, True, True, False], 70, False, [False, False, False, True], 1495, 'East', (12, 8))
Element 16: (1, (12, 8), ['', '%', '%', 'G'], [(6, 10), (13, 8), (15, 10)], [False, True, True, False], 68, False, [False, False, False, False], 1524, 'West', (11, 8))
Element 17: (1, (11, 8), ['', '%', '%', ''], [(7, 10), (13, 9), (16, 10)], [False, True, True, False], 66, False, [False, False, False, False], 1543, 'West', (10, 8))
Element 18: (1, (10, 8), ['', '', '%', ''], [(8, 10), (13, 10), (17, 10)], [False, False, True, False], 64, False, [False, False, False, False], 1562, 'South', (10, 7))
Element 19: (1, (10, 7), ['', '', '', '%'], [(9, 10), (12, 10), (18, 10)], [False, False, False, True], 62, False, [False, False, False, False], 2571, 'South', (10, 6))
Element 20: (1, (10, 6), ['', '%', '', '.'], [(10, 10), (11, 10), (18, 9)], [False, True, False, False], 60, False, [False, False, False, True], 3580, 'East', (11, 6))
Element 21: (1, (11, 6), ['', '%', '%', '%'], [(11, 10), (12, 10), (18, 8)], [False, True, True, True], 58, False, [False, False, False, False], 3589, 'West', (10, 6))
Element 22: (1, (10, 6), ['', '%', '', ''], [(12, 10), (13, 10), (18, 7)], [False, True, False, False], 56, False, [False, False, False, False], 3588, 'West', (9, 6))
Element 23: (1, (9, 6), ['.', '%', '', ''], [(13, 10), (13, 9), (18, 6)], [False, True, False, False], 54, False, [True, False, False, False], 3587, 'West', (8, 6))
Element 24: (1, (8, 6), ['%', '%', '%', ''], [(13, 9), (13, 8), (18, 5)], [True, True, True, False], 52, False, [False, False, False, False], 3606, 'East', (9, 6))
Element 25: (1, (9, 6), ['', '%', '', ''], [(13, 8), (14, 8), (18, 6)], [False, True, False, False], 50, False, [False, False, False, False], 3605, 'North', (9, 7))
Element 26: (1, (9, 7), ['%', '', '', ''], [(14, 8), (15, 8), (17, 6)], [True, False, False, False], 48, False, [False, False, False, False], 3604, 'South', (9, 6))
Element 27: (1, (9, 6), ['', '%', '', ''], [(15, 8), (16, 8), (16, 6)], [False, True, False, False], 46, False, [False, False, False, False], 3603, 'East', (10, 6))
Element 28: (1, (10, 6), ['', '%', '', ''], [(16, 8), (16, 7), (16, 5)], [False, True, False, False], 44, False, [False, False, False, False], 3602, 'North', (10, 7))
Element 29: (1, (10, 7), ['', '', '', '%'], [(16, 7), (16, 6), (16, 4)], [False, False, False, True], 42, False, [False, False, False, False], 3601, 'West', (9, 7))
Element 30: (1, (9, 7), ['%', '', '', ''], [(16, 6), (16, 7), (17, 4)], [True, False, False, False], 40, False, [False, False, False, False], 3600, 'East', (10, 7))
Element 31: (1, (10, 7), ['', '', '', '%'], [(17, 6), (16, 8), (16, 4)], [False, False, False, True], 38, False, [False, False, False, False], 3599, 'North', (10, 8))
Element 32: (1, (10, 8), ['', '', '%', ''], [(18, 6), (15, 8), (15, 4)], [False, False, True, False], 36, False, [False, False, False, False], 3598, 'West', (9, 8))
Element 33: (1, (9, 8), ['', '', '%', ''], [(18, 7), (14, 8), (15, 3)], [False, False, True, False], 34, False, [False, False, False, False], 3607, 'South', (9, 7))
Element 34: (1, (9, 7), ['%', '', '', ''], [(18, 8), (13, 8), (15, 2)], [True, False, False, False], 32, False, [False, False, False, False], 3616, 'North', (9, 8))
Element 35: (1, (9, 8), ['', '', '%', ''], [(18, 9), (12, 8), (16, 2)], [False, False, True, False], 30, False, [False, False, False, False], 3625, 'West', (8, 8))
Element 36: (1, (8, 8), ['', '%', '%', ''], [(18, 10), (11, 8), (17, 2)], [False, True, True, False], 28, False, [False, False, False, False], 3634, 'West', (7, 8))
Element 37: (1, (7, 8), ['', '%', '%', ''], [(17, 10), (10, 8), (17, 1)], [False, True, True, False], 26, False, [False, False, False, False], 3643, 'West', (6, 8))
Element 38: (1, (6, 8), ['.', '', '', ''], [(16, 10), (10, 7), (18, 1)], [False, False, False, False], 24, False, [True, False, False, False], 3652, 'North', (6, 9))
Element 39: (1, (6, 9), ['%', '', '', '%'], [(15, 10), (10, 6), (18, 2)], [True, False, False, True], 22, False, [False, False, False, False], 3651, 'North', (6, 10))
Element 40: (1, (6, 10), ['%', '', '%', ''], [(15, 9), (11, 6), (18, 3)], [True, False, True, False], 20, False, [False, False, False, False], 3660, 'East', (7, 10))
Element 41: (1, (7, 10), ['', '%', '%', ''], [(15, 10), (10, 6), (18, 2)], [False, True, True, False], 18, False, [False, False, False, False], 3659, 'East', (8, 10))
Element 42: (1, (8, 10), ['', '%', '%', ''], [(16, 10), (9, 6), (18, 1)], [False, True, True, False], 16, False, [False, False, False, False], 3658, 'East', (9, 10))
Element 43: (1, (9, 10), ['', '%', '%', ''], [(17, 10), (9, 7), (17, 1)], [False, True, True, False], 14, False, [False, False, False, False], 3657, 'East', (10, 10))
