Element 1: (1, (2, 1), ['', '%', '.', '.'], [(14, 4), (10, 10), (13, 1)], [False, True, False, False], 98, False, [False, False, True, True], 9, 'East', (3, 1))
Element 2: (1, (3, 1), ['', '%', '.', '.'], [(15, 4), (11, 10), (13, 2)], [False, True, False, False], 96, False, [False, False, True, True], 1038, 'East', (4, 1))
Element 3: (1, (4, 1), ['', '%', '.', '%'], [(16, 4), (12, 10), (13, 3)], [False, True, False, True], 94, False, [False, False, True, False], 2067, 'North', (4, 2))
Element 4: (1, (4, 2), ['.', '', '.', '%'], [(17, 4), (13, 10), (13, 4)], [False, False, False, True], 92, False, [True, False, True, False], 2096, 'North', (4, 3))
Element 5: (1, (4, 3), ['%', '', '.', '%'], [(16, 4), (13, 9), (13, 5)], [True, False, False, True], 90, False, [False, False, True, False], 2125, 'North', (4, 4))
Element 6: (1, (4, 4), ['.', '', '%', '.'], [(16, 5), (13, 8), (13, 6)], [False, False, True, False], 88, False, [True, False, False, True], 2164, 'East', (5, 4))
Element 7: (1, (5, 4), ['', '%', '%', '.'], [(16, 6), (14, 8), (14, 6)], [False, True, True, False], 86, False, [False, False, False, True], 2203, 'East', (6, 4))
Element 8: (1, (6, 4), ['', '.', '.', '.'], [(17, 6), (15, 8), (15, 6)], [False, False, False, False], 84, False, [False, True, True, True], 2242, 'East', (7, 4))
Element 9: (1, (7, 4), ['', '%', 'F', ''], [(18, 6), (16, 8), (16, 6)], [False, True, False, False], 82, False, [False, False, False, False], 2271, 'North', (7, 5))
Element 10: (1, (7, 5), ['.', '', '%', '%'], [(18, 7), (16, 7), (17, 6)], [False, False, True, True], 80, False, [True, False, False, False], 3290, 'West', (6, 5))
Element 11: (1, (6, 5), ['%', '', '.', ''], [(18, 8), (16, 6), (18, 6)], [True, False, False, False], 78, False, [False, False, True, False], 3309, 'North', (6, 6))
Element 12: (1, (6, 6), ['.', '', '.', '%'], [(18, 9), (17, 6), (18, 5)], [False, False, False, True], 76, False, [True, False, True, False], 3338, 'North', (6, 7))
Element 13: (1, (6, 7), ['%', '', '.', '%'], [(18, 10), (18, 6), (18, 5)], [True, False, False, True], 74, False, [False, False, True, False], 3357, 'North', (6, 8))
Element 14: (1, (6, 8), ['.', '', '.', '.'], [(17, 10), (18, 7), (18, 6)], [False, False, False, False], 72, False, [True, False, True, True], 3376, 'East', (7, 8))
Element 15: (1, (7, 8), ['', '%', '%', '.'], [(16, 10), (18, 8), (18, 6)], [False, True, True, False], 70, False, [False, False, False, True], 3395, 'East', (8, 8))
Element 16: (1, (8, 8), ['', '%', '%', '.'], [(15, 10), (18, 9), (17, 6)], [False, True, True, False], 68, False, [False, False, False, True], 3414, 'East', (9, 8))
Element 17: (1, (9, 8), ['', '', '%', '.'], [(15, 9), (18, 10), (16, 6)], [False, False, True, False], 66, False, [False, False, False, True], 3433, 'East', (10, 8))
Element 18: (1, (10, 8), ['', '', '%', '.'], [(15, 8), (17, 10), (16, 5)], [False, False, True, False], 64, False, [False, False, False, True], 3442, 'East', (11, 8))
Element 19: (1, (11, 8), ['', '%', '%', '.'], [(16, 8), (16, 10), (16, 4)], [False, True, True, False], 62, False, [False, False, False, True], 3451, 'East', (12, 8))
Element 20: (1, (12, 8), ['', '%', '%', ''], [(16, 7), (15, 10), (17, 4)], [False, True, True, False], 60, False, [False, False, False, False], 3460, 'East', (13, 8))
Element 21: (1, (13, 8), ['', '.', '', ''], [(16, 8), (15, 9), (16, 4)], [False, False, False, False], 58, False, [False, True, False, False], 3459, 'South', (13, 7))
Element 22: (1, (13, 7), ['%', '', '', '%'], [(15, 8), (15, 10), (15, 4)], [True, False, False, True], 56, False, [False, False, False, False], 3468, 'South', (13, 6))
Element 23: (1, (13, 6), ['%', '', '', ''], [(14, 8), (16, 10), (15, 3)], [True, False, False, False], 54, False, [False, False, False, False], 3477, 'East', (14, 6))
Element 24: (1, (14, 6), ['', '%', '%', ''], [(13, 8), (17, 10), (15, 2)], [False, True, True, False], 52, False, [False, False, False, False], 3486, 'East', (15, 6))
Element 25: (1, (15, 6), ['', '%', '%', ''], [(13, 9), (18, 10), (16, 2)], [False, True, True, False], 50, False, [False, False, False, False], 3495, 'East', (16, 6))
Element 26: (1, (16, 6), ['', '', '', ''], [(13, 10), (18, 9), (17, 2)], [False, False, False, False], 48, False, [False, False, False, False], 3504, 'East', (17, 6))
Element 27: (1, (17, 6), ['', '%', '%', ''], [(12, 10), (18, 8), (17, 1)], [False, True, True, False], 46, False, [False, False, False, False], 3513, 'East', (18, 6))
Element 28: (1, (18, 6), ['', '', 'G', '%'], [(11, 10), (18, 7), (18, 1)], [False, False, False, True], 44, False, [False, False, False, False], 3522, 'South', (18, 5))
Element 29: (1, (18, 5), ['%', '%', 'G', '%'], [(10, 10), (18, 6), (18, 2)], [True, True, False, True], 42, False, [False, False, False, False], 3521, 'Stop', (18, 5))
Element 30: (1, (18, 5), ['%', '%', '', '%'], [(9, 10), (17, 6), (18, 3)], [True, True, False, True], 40, False, [False, False, False, False], 3540, 'North', (18, 6))
Element 31: (1, (18, 6), ['', '', '', '%'], [(8, 10), (16, 6), (18, 2)], [False, False, False, True], 38, False, [False, False, False, False], 3549, 'West', (17, 6))
Element 32: (1, (17, 6), ['', '%', '%', ''], [(7, 10), (16, 5), (18, 1)], [False, True, True, False], 36, False, [False, False, False, False], 3558, 'Stop', (17, 6))
Element 33: (1, (17, 6), ['', '%', '%', ''], [(6, 10), (16, 4), (17, 1)], [False, True, True, False], 34, False, [False, False, False, False], 3567, 'West', (16, 6))
Element 34: (1, (16, 6), ['', '', '', ''], [(6, 9), (17, 4), (16, 1)], [False, False, False, False], 32, False, [False, False, False, False], 3586, 'South', (16, 5))
Element 35: (1, (16, 5), ['%', 'G', '', '%'], [(6, 8), (16, 4), (15, 1)], [True, False, False, True], 30, False, [False, False, False, False], 3595, 'North', (16, 6))
Element 36: (1, (16, 6), ['', '', '', ''], [(5, 8), (15, 4), (16, 1)], [False, False, False, False], 28, False, [False, False, False, False], 3604, 'West', (15, 6))
Element 37: (1, (15, 6), ['', '%', '%', ''], [(4, 8), (15, 3), (17, 1)], [False, True, True, False], 26, False, [False, False, False, False], 3613, 'West', (14, 6))
Element 38: (1, (14, 6), ['', '%', '%', ''], [(4, 9), (15, 2), (17, 2)], [False, True, True, False], 24, False, [False, False, False, False], 3622, 'West', (13, 6))
Element 39: (1, (13, 6), ['%', '', '', ''], [(4, 10), (16, 2), (18, 2)], [True, False, False, False], 22, False, [False, False, False, False], 3631, 'South', (13, 5))
Element 40: (1, (13, 5), ['%', '', '', '%'], [(3, 10), (17, 2), (18, 1)], [True, False, False, True], 20, False, [False, False, False, False], 3640, 'South', (13, 4))
Element 41: (1, (13, 4), ['.', '', '', ''], [(2, 10), (18, 2), (18, 2)], [False, False, False, False], 18, False, [True, False, False, False], 3649, 'West', (12, 4))
Element 42: (1, (12, 4), ['.', '%', '%', ''], [(1, 10), (18, 3), (18, 1)], [False, True, True, False], 16, False, [True, False, False, False], 3668, 'West', (11, 4))
Element 43: (1, (11, 4), ['.', '%', '%', ''], [(1, 9), (18, 2), (18, 2)], [False, True, True, False], 14, False, [True, False, False, False], 3687, 'West', (10, 4))
Element 44: (1, (10, 4), ['.', '%', '%', ''], [(1, 8), (18, 1), (17, 2)], [False, True, True, False], 12, False, [True, False, False, False], 3706, 'West', (9, 4))
Element 45: (1, (9, 4), ['', '%', '%', ''], [(1, 7), (17, 1), (17, 1)], [False, True, True, False], 10, False, [False, False, False, False], 3725, 'West', (8, 4))
Element 46: (1, (8, 4), ['', '%', '%', ''], [(1, 6), (16, 1), (17, 2)], [False, True, True, False], 8, False, [False, False, False, False], 3734, 'East', (9, 4))
Element 47: (1, (9, 4), ['', '%', '%', ''], [(2, 6), (15, 1), (17, 2)], [False, True, True, False], 6, False, [False, False, False, False], 3743, 'East', (10, 4))
Element 48: (1, (10, 4), ['', '%', '%', ''], [(3, 6), (16, 1), (17, 2)], [False, True, True, False], 4, False, [False, False, False, False], 3752, 'East', (11, 4))
Element 49: (1, (11, 4), ['', '%', '%', ''], [(4, 6), (17, 1), (17, 2)], [False, True, True, False], 2, False, [False, False, False, False], 3761, 'East', (12, 4))
Element 50: (1, (12, 4), ['', '%', '%', ''], [(4, 6), (18, 1), (17, 2)], [False, True, True, False], 0, False, [False, False, False, False], 3760, 'Stop', (12, 4))
Element 51: #0#
