Element 1: (1, (4, 10), ['.', '.', '%', '%'], [(12, 8), (11, 2), (13, 8)], [False, False, True, True], 98, False, [True, True, False, False], 9, 'South', (4, 9))
Element 2: (1, (4, 9), ['%', '.', '', '%'], [(13, 8), (11, 1), (14, 8)], [True, False, False, True], 96, False, [False, True, False, False], 1028, 'South', (4, 8))
Element 3: (1, (4, 8), ['.', '%', '', '.'], [(13, 9), (12, 1), (15, 8)], [False, True, False, False], 94, False, [True, False, False, True], 1067, 'East', (5, 8))
Element 4: (1, (5, 8), ['', '%', '%', '.'], [(13, 10), (13, 1), (16, 8)], [False, True, True, False], 92, False, [False, False, False, True], 1106, 'East', (6, 8))
Element 5: (1, (6, 8), ['', '.', '.', '.'], [(12, 10), (13, 2), (16, 7)], [False, False, False, False], 90, False, [False, True, True, True], 2135, 'East', (7, 8))
Element 6: (1, (7, 8), ['', '%', '%', '.'], [(11, 10), (13, 3), (16, 6)], [False, True, True, False], 88, False, [False, False, False, True], 3164, 'East', (8, 8))
Element 7: (1, (8, 8), ['', '%', '%', '.'], [(10, 10), (13, 4), (17, 6)], [False, True, True, False], 86, False, [False, False, False, True], 3203, 'East', (9, 8))
Element 8: (1, (9, 8), ['', '', '%', '.'], [(9, 10), (14, 4), (18, 6)], [False, False, True, False], 84, False, [False, False, False, True], 3242, 'East', (10, 8))
Element 9: (1, (10, 8), ['', '', '%', ''], [(8, 10), (15, 4), (18, 7)], [False, False, True, False], 82, False, [False, False, False, False], 3281, 'East', (11, 8))
Element 10: (1, (11, 8), ['', '%', '%', ''], [(7, 10), (16, 4), (18, 8)], [False, True, True, False], 80, False, [False, False, False, False], 3310, 'East', (12, 8))
Element 11: (1, (12, 8), ['', '%', '%', ''], [(6, 10), (17, 4), (18, 9)], [False, True, True, False], 78, False, [False, False, False, False], 3339, 'East', (13, 8))
Element 12: (1, (13, 8), ['', '.', '', ''], [(6, 9), (16, 4), (18, 10)], [False, False, False, False], 76, False, [False, True, False, False], 3358, 'South', (13, 7))
Element 13: (1, (13, 7), ['%', '.', '', '%'], [(6, 8), (16, 5), (17, 10)], [True, False, False, True], 74, False, [False, True, False, False], 3387, 'South', (13, 6))
Element 14: (1, (13, 6), ['%', '.', '', '.'], [(6, 7), (16, 6), (16, 10)], [True, False, False, False], 72, False, [False, True, False, True], 3416, 'East', (14, 6))
Element 15: (1, (14, 6), ['', '%', '%', 'G'], [(6, 6), (15, 6), (15, 10)], [False, True, True, False], 70, False, [False, False, False, False], 3455, 'West', (13, 6))
Element 16: (1, (13, 6), ['%', '.', '', 'G'], [(6, 5), (14, 6), (15, 9)], [True, False, False, False], 68, False, [False, True, False, False], 3474, 'South', (13, 5))
Element 17: #1#
