Element 27: (0, (16, 7), ['%', 'G', 'G', '%'], [(16, 8), (16, 2), (16, 6)], [True, False, False, True], 46, False, [False, False, False, False], 2574, 'North', (16, 8))
Element 28: (0, (16, 8), ['', 'G', '%', '%'], [(16, 7), (15, 2), (16, 6)], [False, False, True, True], 44, False, [False, False, False, False], 2573, 'Stop', (16, 8))
Element 29: (0, (16, 8), ['', 'G', '%', '%'], [(16, 7), (15, 1), (15, 6)], [False, False, True, True], 42, False, [False, False, False, False], 2572, 'Stop', (16, 8))
Element 30: (0, (16, 8), ['', '', '%', '%'], [(16, 8), (15, 2), (14, 6)], [False, False, True, True], 40, False, [False, False, False, False], 2571, 'Stop', (16, 8))
Element 31: (0, (16, 8), ['', '', '%', '%'], [(16, 8), (15, 3), (13, 6)], [False, False, True, True], 38, False, [False, False, False, False], 2570, 'Stop', (16, 8))
Element 32: (0, (16, 8), ['G', '', '%', '%'], [(15, 8), (15, 4), (13, 7)], [False, False, True, True], 36, False, [False, False, False, False], 2579, 'Stop', (16, 8))
Element 33: (0, (16, 8), ['', '', '%', '%'], [(14, 8), (16, 4), (13, 8)], [False, False, True, True], 34, False, [False, False, False, False], 2578, 'Stop', (16, 8))
Element 34: (0, (16, 8), ['G', '', '%', '%'], [(15, 8), (17, 4), (13, 9)], [False, False, True, True], 32, False, [False, False, False, False], 2587, 'South', (16, 7))
Element 35: (0, (16, 7), ['%', '', '', '%'], [(14, 8), (16, 4), (13, 10)], [True, False, False, True], 30, False, [False, False, False, False], 2596, 'South', (16, 6))
Element 36: (0, (16, 6), ['', 'G', '', ''], [(13, 8), (16, 5), (12, 10)], [False, False, False, False], 28, False, [False, False, False, False], 3595, 'North', (16, 7))
Element 37: #1#
