Element 1: (0, (16, 1), ['.', '%', '.', '.'], [(13, 7), (18, 6), (18, 10)], [False, True, False, False], 98, False, [True, False, True, True], 0, 'East', (17, 1))
Element 2: (0, (17, 1), ['', '%', '.', '.'], [(13, 8), (18, 7), (18, 9)], [False, True, False, False], 96, False, [False, False, True, True], 39, 'East', (18, 1))
Element 3: (0, (18, 1), ['', '%', '', '%'], [(14, 8), (18, 8), (18, 10)], [False, True, False, True], 94, False, [False, False, False, False], 68, 'North', (18, 2))
Element 4: (0, (18, 2), ['.', '', '.', '%'], [(15, 8), (18, 9), (17, 10)], [False, False, False, True], 92, False, [True, False, True, False], 87, 'North', (18, 3))
Element 5: (0, (18, 3), ['%', '', '%', '%'], [(16, 8), (18, 10), (16, 10)], [True, False, True, True], 90, False, [False, False, False, False], 116, 'South', (18, 2))
Element 6: (0, (18, 2), ['.', '', '', '%'], [(16, 7), (17, 10), (15, 10)], [False, False, False, True], 88, False, [True, False, False, False], 135, 'West', (17, 2))
Element 7: (0, (17, 2), ['.', '', '%', ''], [(16, 6), (16, 10), (15, 9)], [False, False, True, False], 86, False, [True, False, False, False], 164, 'West', (16, 2))
Element 8: (0, (16, 2), ['.', '', '%', ''], [(17, 6), (15, 10), (15, 8)], [False, False, True, False], 84, False, [True, False, False, False], 183, 'West', (15, 2))
Element 9: (0, (15, 2), ['%', '.', '.', ''], [(18, 6), (15, 9), (16, 8)], [True, False, False, False], 82, False, [False, True, True, False], 192, 'North', (15, 3))
Element 10: (0, (15, 3), ['%', '', '.', '%'], [(18, 5), (15, 8), (16, 7)], [True, False, False, True], 80, False, [False, False, True, False], 211, 'North', (15, 4))
Element 11: (0, (15, 4), ['.', '', '%', '.'], [(18, 6), (16, 8), (16, 6)], [False, False, True, False], 78, False, [True, False, False, True], 220, 'East', (16, 4))
Element 12: (0, (16, 4), ['', '%', 'G', '.'], [(18, 7), (16, 7), (16, 5)], [False, True, False, False], 76, False, [False, False, False, True], 239, 'East', (17, 4))
Element 13: (0, (17, 4), ['G', '%', '%', '%'], [(18, 8), (16, 6), (16, 4)], [False, True, True, True], 74, False, [False, False, False, False], 248, 'Stop', (17, 4))
Element 14: (0, (17, 4), ['', '%', '%', '%'], [(18, 9), (15, 6), (15, 4)], [False, True, True, True], 72, False, [False, False, False, False], 257, 'West', (16, 4))
Element 15: (0, (16, 4), ['', '%', '', ''], [(18, 10), (14, 6), (14, 4)], [False, True, False, False], 70, False, [False, False, False, False], 276, 'West', (15, 4))
Element 16: (0, (15, 4), ['', '', '%', ''], [(17, 10), (13, 6), (13, 4)], [False, False, True, False], 68, False, [False, False, False, False], 295, 'Stop', (15, 4))
Element 17: (0, (15, 4), ['', '', '%', ''], [(16, 10), (13, 5), (13, 3)], [False, False, True, False], 66, False, [False, False, False, False], 314, 'South', (15, 3))
Element 18: (0, (15, 3), ['%', '', '', '%'], [(15, 10), (13, 4), (13, 2)], [True, False, False, True], 64, False, [False, False, False, False], 323, 'South', (15, 2))
Element 19: (0, (15, 2), ['%', '.', '', ''], [(15, 9), (12, 4), (13, 1)], [True, False, False, False], 62, False, [False, True, False, False], 342, 'South', (15, 1))
Element 20: (0, (15, 1), ['%', '%', '', ''], [(15, 10), (11, 4), (12, 1)], [True, True, False, False], 60, False, [False, False, False, False], 371, 'North', (15, 2))
Element 21: (0, (15, 2), ['%', '', '', ''], [(16, 10), (10, 4), (11, 1)], [True, False, False, False], 58, False, [False, False, False, False], 1380, 'East', (16, 2))
Element 22: (0, (16, 2), ['', '', '%', ''], [(17, 10), (9, 4), (11, 2)], [False, False, True, False], 56, False, [False, False, False, False], 1399, 'East', (17, 2))
Element 23: (0, (17, 2), ['', '', '%', ''], [(18, 10), (8, 4), (12, 2)], [False, False, True, False], 54, False, [False, False, False, False], 1408, 'East', (18, 2))
Element 24: (0, (18, 2), ['', '', '', '%'], [(18, 9), (7, 4), (11, 2)], [False, False, False, True], 52, False, [False, False, False, False], 1417, 'South', (18, 1))
Element 25: (0, (18, 1), ['', '%', '', '%'], [(18, 8), (7, 5), (10, 2)], [False, True, False, True], 50, False, [False, False, False, False], 2426, 'West', (17, 1))
Element 26: (0, (17, 1), ['', '%', '', ''], [(18, 7), (6, 5), (10, 1)], [False, True, False, False], 48, False, [False, False, False, False], 2445, 'North', (17, 2))
Element 27: (0, (17, 2), ['', '', '%', ''], [(18, 6), (6, 6), (9, 1)], [False, False, True, False], 46, False, [False, False, False, False], 2464, 'South', (17, 1))
Element 28: (0, (17, 1), ['', '%', '', ''], [(17, 6), (6, 7), (9, 2)], [False, True, False, False], 44, False, [False, False, False, False], 2483, 'West', (16, 1))
Element 29: (0, (16, 1), ['', '%', '', ''], [(16, 6), (6, 8), (8, 2)], [False, True, False, False], 42, False, [False, False, False, False], 2502, 'North', (16, 2))
Element 30: (0, (16, 2), ['', '', '%', ''], [(16, 5), (7, 8), (8, 1)], [False, False, True, False], 40, False, [False, False, False, False], 2521, 'South', (16, 1))
Element 31: (0, (16, 1), ['', '%', '', ''], [(16, 4), (8, 8), (7, 1)], [False, True, False, False], 38, False, [False, False, False, False], 2540, 'West', (15, 1))
Element 32: (0, (15, 1), ['%', '%', '', ''], [(17, 4), (9, 8), (7, 2)], [True, True, False, False], 36, False, [False, False, False, False], 2559, 'East', (16, 1))
Element 33: (0, (16, 1), ['', '%', '', ''], [(16, 4), (10, 8), (6, 2)], [False, True, False, False], 34, False, [False, False, False, False], 2578, 'Stop', (16, 1))
Element 34: (0, (16, 1), ['', '%', '', ''], [(15, 4), (11, 8), (6, 3)], [False, True, False, False], 32, False, [False, False, False, False], 2597, 'East', (17, 1))
Element 35: (0, (17, 1), ['', '%', '', ''], [(15, 3), (12, 8), (6, 4)], [False, True, False, False], 30, False, [False, False, False, False], 2616, 'East', (18, 1))
Element 36: (0, (18, 1), ['', '%', '', '%'], [(15, 2), (13, 8), (5, 4)], [False, True, False, True], 28, False, [False, False, False, False], 2625, 'North', (18, 2))
Element 37: (0, (18, 2), ['', '', '', '%'], [(16, 2), (13, 9), (4, 4)], [False, False, False, True], 26, False, [False, False, False, False], 2644, 'North', (18, 3))
Element 38: (0, (18, 3), ['%', '', '%', '%'], [(17, 2), (13, 10), (4, 3)], [True, False, True, True], 24, False, [False, False, False, False], 2663, 'South', (18, 2))
Element 39: (0, (18, 2), ['', '', '', '%'], [(17, 1), (12, 10), (4, 2)], [False, False, False, True], 22, False, [False, False, False, False], 3672, 'West', (17, 2))
Element 40: #1#
