Element 1: (2, (8, 2), ['.', '', '%', '.'], [(17, 10), (9, 1), (16, 8)], [False, False, True, False], 98, False, [True, False, False, True], 19, 'East', (9, 2))
Element 2: (2, (9, 2), ['', '', '%', '.'], [(18, 10), (10, 1), (16, 7)], [False, False, True, False], 96, False, [False, False, False, True], 58, 'East', (10, 2))
Element 3: (2, (10, 2), ['', '', '%', '.'], [(18, 9), (11, 1), (16, 6)], [False, False, True, False], 94, False, [False, False, False, True], 1087, 'East', (11, 2))
Element 4: (2, (11, 2), ['', '', '%', '.'], [(18, 8), (12, 1), (17, 6)], [False, False, True, False], 92, False, [False, False, False, True], 1126, 'East', (12, 2))
Element 5: (2, (12, 2), ['', '', '%', '.'], [(18, 7), (13, 1), (18, 6)], [False, False, True, False], 90, False, [False, False, False, True], 1165, 'East', (13, 2))
Element 6: (2, (13, 2), ['', '', '.', '%'], [(18, 6), (12, 1), (18, 5)], [False, False, False, True], 88, False, [False, False, True, False], 1184, 'North', (13, 3))
Element 7: (2, (13, 3), ['%', '', '.', '%'], [(17, 6), (11, 1), (18, 5)], [True, False, False, True], 86, False, [False, False, True, False], 1193, 'North', (13, 4))
Element 8: (2, (13, 4), ['.', '', '.', '.'], [(16, 6), (10, 1), (18, 6)], [False, False, False, False], 84, False, [True, False, True, True], 1202, 'East', (14, 4))
Element 9: (2, (14, 4), ['', '%', '%', '.'], [(16, 5), (9, 1), (17, 6)], [False, True, True, False], 82, False, [False, False, False, True], 1221, 'East', (15, 4))
Element 10: (2, (15, 4), ['', '.', '%', 'G'], [(16, 4), (8, 1), (16, 6)], [False, False, True, False], 80, False, [False, True, False, False], 1240, 'South', (15, 3))
Element 11: (2, (15, 3), ['%', '.', '', '%'], [(17, 4), (7, 1), (16, 6)], [True, False, False, True], 78, False, [False, True, False, False], 1269, 'South', (15, 2))
Element 12: (2, (15, 2), ['%', '.', '', '.'], [(16, 4), (7, 2), (15, 6)], [True, False, False, False], 76, False, [False, True, False, True], 1298, 'East', (16, 2))
Element 13: (2, (16, 2), ['', '.', '%', '.'], [(15, 4), (6, 2), (14, 6)], [False, False, True, False], 74, False, [False, True, False, True], 1327, 'East', (17, 2))
Element 14: (2, (17, 2), ['', '.', '%', ''], [(15, 3), (6, 3), (13, 6)], [False, False, True, False], 72, False, [False, True, False, False], 1356, 'South', (17, 1))
Element 15: (2, (17, 1), ['.', '%', '', '.'], [(15, 2), (6, 4), (13, 7)], [False, True, False, False], 70, False, [True, False, False, True], 1385, 'East', (18, 1))
Element 16: (2, (18, 1), ['', '%', '', '%'], [(15, 1), (7, 4), (13, 8)], [False, True, False, True], 68, False, [False, False, False, False], 1424, 'North', (18, 2))
Element 17: (2, (18, 2), ['', '', '.', '%'], [(16, 1), (7, 5), (14, 8)], [False, False, False, True], 66, False, [False, False, True, False], 2443, 'North', (18, 3))
Element 18: (2, (18, 3), ['%', '', '%', '%'], [(17, 1), (6, 5), (15, 8)], [True, False, True, True], 64, False, [False, False, False, False], 2472, 'South', (18, 2))
Element 19: (2, (18, 2), ['', 'G', '', '%'], [(18, 1), (6, 6), (15, 9)], [False, False, False, True], 62, False, [False, False, False, False], 2491, 'West', (17, 2))
Element 20: (2, (17, 2), ['', '', '%', 'G'], [(18, 2), (6, 7), (15, 10)], [False, False, True, False], 60, False, [False, False, False, False], 2510, 'South', (17, 1))
Element 21: (2, (17, 1), ['', '%', '', ''], [(18, 3), (6, 8), (16, 10)], [False, True, False, False], 58, False, [False, False, False, False], 2519, 'West', (16, 1))
Element 22: (2, (16, 1), ['', '%', '', ''], [(18, 2), (7, 8), (17, 10)], [False, True, False, False], 56, False, [False, False, False, False], 2528, 'West', (15, 1))
Element 23: (2, (15, 1), ['%', '%', '', ''], [(17, 2), (8, 8), (18, 10)], [True, True, False, False], 54, False, [False, False, False, False], 2537, 'East', (16, 1))
Element 24: (2, (16, 1), ['', '%', 'G', ''], [(16, 2), (9, 8), (18, 9)], [False, True, False, False], 52, False, [False, False, False, False], 2546, 'East', (17, 1))
Element 25: (2, (17, 1), ['', '%', 'G', ''], [(17, 2), (10, 8), (18, 8)], [False, True, False, False], 50, False, [False, False, False, False], 2555, 'West', (16, 1))
Element 26: (2, (16, 1), ['', '%', '', ''], [(18, 2), (11, 8), (18, 7)], [False, True, False, False], 48, False, [False, False, False, False], 2564, 'West', (15, 1))
Element 27: (2, (15, 1), ['%', '%', '', ''], [(18, 1), (12, 8), (18, 8)], [True, True, False, False], 46, False, [False, False, False, False], 2573, 'North', (15, 2))
Element 28: (2, (15, 2), ['%', '', '', ''], [(17, 1), (13, 8), (18, 9)], [True, False, False, False], 44, False, [False, False, False, False], 2572, 'East', (16, 2))
Element 29: (2, (16, 2), ['', '', '%', 'G'], [(17, 2), (13, 9), (18, 10)], [False, False, True, False], 42, False, [False, False, False, False], 2581, 'South', (16, 1))
Element 30: (2, (16, 1), ['', '%', '', 'G'], [(17, 1), (13, 10), (17, 10)], [False, True, False, False], 40, False, [False, False, False, False], 2590, 'North', (16, 2))
Element 31: (2, (16, 2), ['', 'G', '%', ''], [(16, 1), (12, 10), (16, 10)], [False, False, True, False], 38, False, [False, False, False, False], 3589, 'West', (15, 2))
Element 32: #1#
