Element 1: (0, (2, 1), ['', '%', '.', '.'], [(10, 4), (14, 8), (17, 2)], [False, True, False, False], 98, False, [False, False, True, True], 0, 'East', (3, 1))
Element 2: (0, (3, 1), ['', '%', '.', '.'], [(11, 4), (15, 8), (17, 1)], [False, True, False, False], 96, False, [False, False, True, True], 39, 'East', (4, 1))
Element 3: (0, (4, 1), ['', '%', '.', '%'], [(12, 4), (16, 8), (18, 1)], [False, True, False, True], 94, False, [False, False, True, False], 78, 'North', (4, 2))
Element 4: (0, (4, 2), ['.', '', '.', '%'], [(13, 4), (16, 7), (18, 2)], [False, False, False, True], 92, False, [True, False, True, False], 107, 'North', (4, 3))
Element 5: (0, (4, 3), ['%', '', '.', '%'], [(14, 4), (16, 6), (18, 3)], [True, False, False, True], 90, False, [False, False, True, False], 146, 'North', (4, 4))
Element 6: (0, (4, 4), ['.', '', '%', '.'], [(15, 4), (17, 6), (18, 2)], [False, False, True, False], 88, False, [True, False, False, True], 175, 'East', (5, 4))
Element 7: (0, (5, 4), ['', '%', '%', '.'], [(16, 4), (18, 6), (18, 1)], [False, True, True, False], 86, False, [False, False, False, True], 204, 'East', (6, 4))
Element 8: (0, (6, 4), ['', '.', '.', '.'], [(17, 4), (18, 7), (17, 1)], [False, False, False, False], 84, False, [False, True, True, True], 233, 'East', (7, 4))
Element 9: (0, (7, 4), ['', '%', 'F', ''], [(16, 4), (18, 8), (16, 1)], [False, True, False, False], 82, False, [False, False, False, False], 262, 'North', (7, 5))
Element 10: (0, (7, 5), ['.', '', '%', '%'], [(16, 5), (18, 9), (16, 2)], [False, False, True, True], 80, False, [True, False, False, False], 1291, 'West', (6, 5))
Element 11: (0, (6, 5), ['%', '', '.', ''], [(16, 6), (18, 10), (15, 2)], [True, False, False, False], 78, False, [False, False, True, False], 1320, 'North', (6, 6))
Element 12: (0, (6, 6), ['.', '', '.', '%'], [(15, 6), (17, 10), (15, 3)], [False, False, False, True], 76, False, [True, False, True, False], 1359, 'North', (6, 7))
Element 13: (0, (6, 7), ['%', '', '.', '%'], [(14, 6), (16, 10), (15, 4)], [True, False, False, True], 74, False, [False, False, True, False], 1388, 'North', (6, 8))
Element 14: (0, (6, 8), ['.', '', '.', '.'], [(13, 6), (15, 10), (16, 4)], [False, False, False, False], 72, False, [True, False, True, True], 1417, 'East', (7, 8))
Element 15: (0, (7, 8), ['', '%', '%', '.'], [(13, 7), (15, 9), (17, 4)], [False, True, True, False], 70, False, [False, False, False, True], 1446, 'East', (8, 8))
Element 16: (0, (8, 8), ['', '%', '%', '.'], [(13, 8), (15, 10), (16, 4)], [False, True, True, False], 68, False, [False, False, False, True], 1465, 'East', (9, 8))
Element 17: (0, (9, 8), ['', '', '%', '.'], [(13, 9), (16, 10), (16, 5)], [False, False, True, False], 66, False, [False, False, False, True], 1484, 'East', (10, 8))
Element 18: (0, (10, 8), ['', '', '%', '.'], [(13, 10), (17, 10), (16, 6)], [False, False, True, False], 64, False, [False, False, False, True], 1503, 'East', (11, 8))
Element 19: (0, (11, 8), ['', '%', '%', '.'], [(12, 10), (18, 10), (17, 6)], [False, True, True, False], 62, False, [False, False, False, True], 2512, 'East', (12, 8))
Element 20: (0, (12, 8), ['', '%', '%', ''], [(11, 10), (18, 9), (18, 6)], [False, True, True, False], 60, False, [False, False, False, False], 3521, 'East', (13, 8))
Element 21: (0, (13, 8), ['', '', '', ''], [(10, 10), (18, 8), (18, 5)], [False, False, False, False], 58, False, [False, False, False, False], 3540, 'East', (14, 8))
Element 22: (0, (14, 8), ['', '%', '%', ''], [(9, 10), (18, 7), (18, 6)], [False, True, True, False], 56, False, [False, False, False, False], 3549, 'East', (15, 8))
Element 23: (0, (15, 8), ['', '%', '', ''], [(8, 10), (18, 8), (18, 7)], [False, True, False, False], 54, False, [False, False, False, False], 3558, 'East', (16, 8))
Element 24: (0, (16, 8), ['', '', '%', '%'], [(7, 10), (18, 7), (18, 8)], [False, False, True, True], 52, False, [False, False, False, False], 3567, 'South', (16, 7))
Element 25: (0, (16, 7), ['%', '', '', '%'], [(6, 10), (18, 6), (18, 9)], [True, False, False, True], 50, False, [False, False, False, False], 3576, 'South', (16, 6))
Element 26: (0, (16, 6), ['', '', '', 'G'], [(6, 9), (17, 6), (18, 10)], [False, False, False, False], 48, False, [False, False, False, False], 3585, 'South', (16, 5))
Element 27: (0, (16, 5), ['%', '', 'G', '%'], [(6, 8), (16, 6), (17, 10)], [True, False, False, True], 46, False, [False, False, False, False], 3584, 'South', (16, 4))
Element 28: (0, (16, 4), ['', '%', 'G', ''], [(5, 8), (16, 5), (16, 10)], [False, True, False, False], 44, False, [False, False, False, False], 3593, 'East', (17, 4))
Element 29: (0, (17, 4), ['G', '%', '%', '%'], [(4, 8), (16, 4), (15, 10)], [False, True, True, True], 42, False, [False, False, False, False], 3602, 'Stop', (17, 4))
Element 30: (0, (17, 4), ['', '%', '%', '%'], [(4, 9), (15, 4), (15, 9)], [False, True, True, True], 40, False, [False, False, False, False], 3611, 'West', (16, 4))
Element 31: (0, (16, 4), ['', '%', '', ''], [(4, 10), (15, 3), (15, 8)], [False, True, False, False], 38, False, [False, False, False, False], 3620, 'Stop', (16, 4))
Element 32: (0, (16, 4), ['', '%', '', ''], [(3, 10), (15, 2), (16, 8)], [False, True, False, False], 36, False, [False, False, False, False], 3629, 'North', (16, 5))
Element 33: (0, (16, 5), ['%', '', '', '%'], [(2, 10), (15, 1), (16, 7)], [True, False, False, True], 34, False, [False, False, False, False], 3648, 'North', (16, 6))
Element 34: (0, (16, 6), ['', '', '', ''], [(1, 10), (16, 1), (16, 8)], [False, False, False, False], 32, False, [False, False, False, False], 3657, 'West', (15, 6))
Element 35: (0, (15, 6), ['', '%', '%', ''], [(1, 9), (17, 1), (15, 8)], [False, True, True, False], 30, False, [False, False, False, False], 3666, 'West', (14, 6))
Element 36: (0, (14, 6), ['', '%', '%', ''], [(1, 8), (18, 1), (14, 8)], [False, True, True, False], 28, False, [False, False, False, False], 3675, 'West', (13, 6))
Element 37: (0, (13, 6), ['%', '.', '', ''], [(1, 7), (18, 2), (13, 8)], [True, False, False, False], 26, False, [False, True, False, False], 3684, 'South', (13, 5))
Element 38: (0, (13, 5), ['%', '', '', '%'], [(1, 6), (18, 3), (13, 9)], [True, False, False, True], 24, False, [False, False, False, False], 3703, 'South', (13, 4))
Element 39: (0, (13, 4), ['', '.', '', ''], [(2, 6), (18, 2), (13, 10)], [False, False, False, False], 22, False, [False, True, False, False], 3712, 'South', (13, 3))
Element 40: (0, (13, 3), ['%', '.', '', '%'], [(3, 6), (17, 2), (12, 10)], [True, False, False, True], 20, False, [False, True, False, False], 3731, 'South', (13, 2))
Element 41: (0, (13, 2), ['.', '.', '', '%'], [(4, 6), (16, 2), (11, 10)], [False, False, False, True], 18, False, [True, True, False, False], 3750, 'South', (13, 1))
Element 42: (0, (13, 1), ['.', '%', '', '%'], [(5, 6), (17, 2), (10, 10)], [False, True, False, True], 16, False, [True, False, False, False], 3769, 'West', (12, 1))
Element 43: (0, (12, 1), ['F', '%', '.', ''], [(6, 6), (18, 2), (9, 10)], [False, True, False, False], 14, False, [False, False, True, False], 3778, 'West', (11, 1))
Element 44: #1#
