Element 1: (0, (17, 1), ['.', '%', '.', '.'], [(4, 9), (10, 10), (15, 8)], [False, True, False, False], 98, False, [True, False, True, True], 0, 'East', (18, 1))
Element 2: (0, (18, 1), ['', '%', '', '%'], [(4, 10), (11, 10), (16, 8)], [False, True, False, True], 96, False, [False, False, False, False], 1029, 'North', (18, 2))
Element 3: (0, (18, 2), ['.', '', '.', '%'], [(3, 10), (12, 10), (16, 7)], [False, False, False, True], 94, False, [True, False, True, False], 2048, 'North', (18, 3))
Element 4: (0, (18, 3), ['%', '', '%', '%'], [(2, 10), (13, 10), (16, 6)], [True, False, True, True], 92, False, [False, False, False, False], 2087, 'South', (18, 2))
Element 5: (0, (18, 2), ['.', '', '', '%'], [(1, 10), (13, 9), (17, 6)], [False, False, False, True], 90, False, [True, False, False, False], 2116, 'West', (17, 2))
Element 6: (0, (17, 2), ['.', '', '%', ''], [(1, 9), (13, 8), (18, 6)], [False, False, True, False], 88, False, [True, False, False, False], 2155, 'West', (16, 2))
Element 7: (0, (16, 2), ['.', '.', '%', ''], [(1, 8), (14, 8), (18, 7)], [False, False, True, False], 86, False, [True, True, False, False], 2194, 'South', (16, 1))
Element 8: (0, (16, 1), ['.', '%', '', ''], [(1, 7), (15, 8), (18, 8)], [False, True, False, False], 84, False, [True, False, False, False], 2223, 'West', (15, 1))
Element 9: (0, (15, 1), ['%', '%', '.', ''], [(1, 6), (15, 9), (18, 9)], [True, True, False, False], 82, False, [False, False, True, False], 2262, 'North', (15, 2))
Element 10: (0, (15, 2), ['%', '', '.', ''], [(2, 6), (15, 10), (18, 10)], [True, False, False, False], 80, False, [False, False, True, False], 2301, 'North', (15, 3))
Element 11: (0, (15, 3), ['%', '', '.', '%'], [(3, 6), (16, 10), (17, 10)], [True, False, False, True], 78, False, [False, False, True, False], 2340, 'North', (15, 4))
Element 12: (0, (15, 4), ['.', '', '%', '.'], [(4, 6), (15, 10), (16, 10)], [False, False, True, False], 76, False, [True, False, False, True], 2359, 'East', (16, 4))
Element 13: (0, (16, 4), ['', '%', '.', '.'], [(5, 6), (15, 9), (15, 10)], [False, True, False, False], 74, False, [False, False, True, True], 2378, 'East', (17, 4))
Element 14: (0, (17, 4), ['', '%', '%', '%'], [(6, 6), (15, 8), (15, 9)], [False, True, True, True], 72, False, [False, False, False, False], 2397, 'West', (16, 4))
Element 15: (0, (16, 4), ['', '%', '.', ''], [(6, 7), (16, 8), (15, 10)], [False, True, False, False], 70, False, [False, False, True, False], 2406, 'North', (16, 5))
Element 16: (0, (16, 5), ['%', '', '', '%'], [(6, 8), (16, 7), (16, 10)], [True, False, False, True], 68, False, [False, False, False, False], 2425, 'North', (16, 6))
Element 17: (0, (16, 6), ['.', '', '', ''], [(7, 8), (16, 8), (17, 10)], [False, False, False, False], 66, False, [True, False, False, False], 2434, 'West', (15, 6))
Element 18: (0, (15, 6), ['.', '%', '%', ''], [(8, 8), (15, 8), (18, 10)], [False, True, True, False], 64, False, [True, False, False, False], 2453, 'West', (14, 6))
Element 19: (0, (14, 6), ['.', '%', '%', ''], [(9, 8), (14, 8), (18, 9)], [False, True, True, False], 62, False, [True, False, False, False], 2472, 'West', (13, 6))
Element 20: (0, (13, 6), ['%', '.', '.', ''], [(10, 8), (13, 8), (18, 8)], [True, False, False, False], 60, False, [False, True, True, False], 2491, 'North', (13, 7))
Element 21: (0, (13, 7), ['%', '', '', '%'], [(11, 8), (13, 9), (18, 7)], [True, False, False, True], 58, False, [False, False, False, False], 2510, 'North', (13, 8))
Element 22: (0, (13, 8), ['G', '', '', ''], [(12, 8), (13, 10), (18, 6)], [False, False, False, False], 56, False, [False, False, False, False], 2519, 'East', (14, 8))
Element 23: (0, (14, 8), ['G', '%', '%', ''], [(13, 8), (13, 9), (18, 5)], [False, True, True, False], 54, False, [False, False, False, False], 2528, 'East', (15, 8))
Element 24: (0, (15, 8), ['G', '%', '', ''], [(14, 8), (13, 8), (18, 6)], [False, True, False, False], 52, False, [False, False, False, False], 2527, 'East', (16, 8))
Element 25: (0, (16, 8), ['G', '', '%', '%'], [(15, 8), (13, 9), (17, 6)], [False, False, True, True], 50, False, [False, False, False, False], 2526, 'South', (16, 7))
Element 26: (0, (16, 7), ['%', 'G', 'G', '%'], [(16, 8), (13, 10), (16, 6)], [True, False, False, True], 48, False, [False, False, False, False], 2525, 'Stop', (16, 7))
Element 27: (0, (16, 7), ['%', '', '', '%'], [(15, 8), (12, 10), (16, 5)], [True, False, False, True], 46, False, [False, False, False, False], 2524, 'South', (16, 6))
Element 28: (0, (16, 6), ['', '', '', ''], [(15, 9), (11, 10), (16, 4)], [False, False, False, False], 44, False, [False, False, False, False], 2523, 'West', (15, 6))
Element 29: (0, (15, 6), ['', '%', '%', ''], [(15, 10), (10, 10), (17, 4)], [False, True, True, False], 42, False, [False, False, False, False], 2522, 'Stop', (15, 6))
Element 30: (0, (15, 6), ['', '%', '%', ''], [(16, 10), (9, 10), (16, 4)], [False, True, True, False], 40, False, [False, False, False, False], 2531, 'Stop', (15, 6))
Element 31: (0, (15, 6), ['', '%', '%', ''], [(17, 10), (8, 10), (15, 4)], [False, True, True, False], 38, False, [False, False, False, False], 2540, 'Stop', (15, 6))
Element 32: (0, (15, 6), ['', '%', '%', ''], [(18, 10), (7, 10), (14, 4)], [False, True, True, False], 36, False, [False, False, False, False], 2559, 'Stop', (15, 6))
Element 33: (0, (15, 6), ['', '%', '%', ''], [(18, 9), (6, 10), (13, 4)], [False, True, True, False], 34, False, [False, False, False, False], 2578, 'Stop', (15, 6))
Element 34: (0, (15, 6), ['', '%', '%', ''], [(18, 8), (6, 9), (13, 5)], [False, True, True, False], 32, False, [False, False, False, False], 2597, 'Stop', (15, 6))
Element 35: (0, (15, 6), ['', '%', '%', ''], [(18, 7), (6, 8), (13, 6)], [False, True, True, False], 30, False, [False, False, False, False], 2596, 'West', (14, 6))
Element 36: (0, (14, 6), ['', '%', '%', ''], [(18, 6), (5, 8), (13, 7)], [False, True, True, False], 28, False, [False, False, False, False], 2605, 'Stop', (14, 6))
Element 37: (0, (14, 6), ['', '%', '%', ''], [(18, 5), (4, 8), (13, 8)], [False, True, True, False], 26, False, [False, False, False, False], 2614, 'West', (13, 6))
Element 38: (0, (13, 6), ['%', '', '', ''], [(18, 6), (3, 8), (14, 8)], [True, False, False, False], 24, False, [False, False, False, False], 2623, 'East', (14, 6))
Element 39: (0, (14, 6), ['', '%', '%', ''], [(17, 6), (3, 7), (13, 8)], [False, True, True, False], 22, False, [False, False, False, False], 2632, 'East', (15, 6))
Element 40: (0, (15, 6), ['', '%', '%', 'G'], [(16, 6), (3, 6), (13, 9)], [False, True, True, False], 20, False, [False, False, False, False], 2631, 'West', (14, 6))
Element 41: (0, (14, 6), ['', '%', '%', ''], [(16, 7), (3, 5), (13, 10)], [False, True, True, False], 18, False, [False, False, False, False], 2640, 'East', (15, 6))
Element 42: (0, (15, 6), ['', '%', '%', 'G'], [(16, 6), (3, 4), (12, 10)], [False, True, True, False], 16, False, [False, False, False, False], 2649, 'West', (14, 6))
Element 43: (0, (14, 6), ['', '%', '%', ''], [(16, 5), (4, 4), (11, 10)], [False, True, True, False], 14, False, [False, False, False, False], 2658, 'Stop', (14, 6))
Element 44: (0, (14, 6), ['', '%', '%', ''], [(16, 4), (5, 4), (10, 10)], [False, True, True, False], 12, False, [False, False, False, False], 2667, 'East', (15, 6))
Element 45: (0, (15, 6), ['', '%', '%', ''], [(17, 4), (6, 4), (9, 10)], [False, True, True, False], 10, False, [False, False, False, False], 2676, 'Stop', (15, 6))
Element 46: (0, (15, 6), ['', '%', '%', ''], [(16, 4), (7, 4), (8, 10)], [False, True, True, False], 8, False, [False, False, False, False], 2685, 'West', (14, 6))
Element 47: (0, (14, 6), ['', '%', '%', ''], [(15, 4), (7, 5), (7, 10)], [False, True, True, False], 6, False, [False, False, False, False], 3684, 'West', (13, 6))
Element 48: (0, (13, 6), ['%', '', '', ''], [(15, 3), (6, 5), (6, 10)], [True, False, False, False], 4, False, [False, False, False, False], 3693, 'South', (13, 5))
Element 49: (0, (13, 5), ['%', '', '', '%'], [(15, 2), (6, 6), (6, 9)], [True, False, False, True], 2, False, [False, False, False, False], 3692, 'South', (13, 4))
Element 50: (0, (13, 4), ['.', '.', '', ''], [(16, 2), (6, 7), (6, 8)], [False, False, False, False], 0, False, [True, True, False, False], 3691, 'Stop', (13, 4))
Element 51: #0#
