Element 1: (1, (6, 1), ['%', '%', '.', '.'], [(16, 4), (8, 1), (12, 1)], [True, True, False, False], 98, False, [False, False, True, True], 9, 'East', (7, 1))
Element 2: (1, (7, 1), ['', '%', '.', ''], [(17, 4), (9, 1), (11, 1)], [False, True, False, False], 96, False, [False, False, True, False], 1038, 'North', (7, 2))
Element 3: (1, (7, 2), ['.', '', '%', '.'], [(16, 4), (10, 1), (11, 2)], [False, False, True, False], 94, False, [True, False, False, True], 1067, 'East', (8, 2))
Element 4: (1, (8, 2), ['', '', '%', '.'], [(16, 5), (10, 2), (12, 2)], [False, False, True, False], 92, False, [False, False, False, True], 1106, 'East', (9, 2))
Element 5: (1, (9, 2), ['', '', '%', ''], [(16, 6), (11, 2), (13, 2)], [False, False, True, False], 90, False, [False, False, False, False], 1135, 'East', (10, 2))
Element 6: (1, (10, 2), ['', '', '%', ''], [(17, 6), (12, 2), (13, 3)], [False, False, True, False], 88, False, [False, False, False, False], 1154, 'East', (11, 2))
Element 7: (1, (11, 2), ['', '', '%', ''], [(18, 6), (13, 2), (13, 4)], [False, False, True, False], 86, False, [False, False, False, False], 1173, 'East', (12, 2))
Element 8: (1, (12, 2), ['', '', '%', ''], [(18, 7), (13, 1), (14, 4)], [False, False, True, False], 84, False, [False, False, False, False], 1202, 'East', (13, 2))
Element 9: (1, (13, 2), ['', '', '', '%'], [(18, 8), (12, 1), (15, 4)], [False, False, False, True], 82, False, [False, False, False, False], 1211, 'North', (13, 3))
Element 10: (1, (13, 3), ['%', '', '', '%'], [(18, 9), (11, 1), (15, 3)], [True, False, False, True], 80, False, [False, False, False, False], 1230, 'North', (13, 4))
Element 11: (1, (13, 4), ['.', '', '.', ''], [(18, 10), (12, 1), (15, 2)], [False, False, False, False], 78, False, [True, False, True, False], 1249, 'North', (13, 5))
Element 12: (1, (13, 5), ['%', '', '.', '%'], [(17, 10), (13, 1), (16, 2)], [True, False, False, True], 76, False, [False, False, True, False], 1278, 'North', (13, 6))
Element 13: (1, (13, 6), ['%', '', '.', '.'], [(16, 10), (13, 2), (17, 2)], [True, False, False, False], 74, False, [False, False, True, True], 1307, 'East', (14, 6))
Element 14: (1, (14, 6), ['', '%', '%', '.'], [(15, 10), (13, 3), (17, 1)], [False, True, True, False], 72, False, [False, False, False, True], 1336, 'East', (15, 6))
Element 15: (1, (15, 6), ['', '%', '%', ''], [(15, 9), (13, 4), (18, 1)], [False, True, True, False], 70, False, [False, False, False, False], 1365, 'East', (16, 6))
Element 16: (1, (16, 6), ['', '', '.', ''], [(15, 8), (12, 4), (18, 2)], [False, False, False, False], 68, False, [False, False, True, False], 1384, 'North', (16, 7))
Element 17: (1, (16, 7), ['%', '', 'G', '%'], [(16, 8), (11, 4), (18, 3)], [True, False, False, True], 66, False, [False, False, False, False], 1423, 'South', (16, 6))
Element 18: (1, (16, 6), ['', '', 'G', ''], [(16, 7), (10, 4), (18, 2)], [False, False, False, False], 64, False, [False, False, False, False], 1432, 'East', (17, 6))
Element 19: (1, (17, 6), ['', '%', '%', ''], [(16, 8), (9, 4), (18, 1)], [False, True, True, False], 62, False, [False, False, False, False], 1441, 'East', (18, 6))
Element 20: (1, (18, 6), ['', '.', '', '%'], [(15, 8), (8, 4), (17, 1)], [False, False, False, True], 60, False, [False, True, False, False], 1440, 'South', (18, 5))
Element 21: (1, (18, 5), ['%', '%', '', '%'], [(14, 8), (7, 4), (16, 1)], [True, True, False, True], 58, False, [False, False, False, False], 1479, 'North', (18, 6))
Element 22: (1, (18, 6), ['', '', '', '%'], [(13, 8), (7, 5), (15, 1)], [False, False, False, True], 56, False, [False, False, False, False], 2498, 'North', (18, 7))
Element 23: (1, (18, 7), ['%', '', '', '%'], [(13, 9), (6, 5), (16, 1)], [True, False, False, True], 54, False, [False, False, False, False], 2517, 'North', (18, 8))
Element 24: (1, (18, 8), ['%', '', '', '%'], [(13, 10), (6, 6), (17, 1)], [True, False, False, True], 52, False, [False, False, False, False], 2536, 'North', (18, 9))
Element 25: (1, (18, 9), ['%', '', '', '%'], [(12, 10), (6, 7), (17, 2)], [True, False, False, True], 50, False, [False, False, False, False], 3545, 'North', (18, 10))
Element 26: #1#
