Element 38: (0, (2, 10), ['.', '%', '%', ''], [(11, 10), (16, 10), (12, 10)], [False, True, True, False], 24, False, [True, False, False, False], 3563, 'West', (1, 10))
Element 39: (0, (1, 10), ['%', '.', '%', ''], [(11, 10), (16, 10), (13, 10)], [True, False, True, False], 22, False, [False, True, False, False], 3572, 'South', (1, 9))
Element 40: (0, (1, 9), ['%', '.', '', '%'], [(11, 10), (16, 10), (13, 9)], [True, False, False, True], 20, False, [False, True, False, False], 3581, 'South', (1, 8))
Element 41: (0, (1, 8), ['%', '.', '', '%'], [(11, 10), (16, 10), (13, 8)], [True, False, False, True], 18, False, [False, True, False, False], 3590, 'South', (1, 7))
Element 42: (0, (1, 7), ['%', '.', '', '%'], [(11, 10), (16, 10), (13, 7)], [True, False, False, True], 16, False, [False, True, False, False], 3599, 'South', (1, 6))
Element 43: (0, (1, 6), ['%', '.', '', '.'], [(11, 10), (16, 10), (13, 8)], [True, False, False, False], 14, False, [False, True, False, True], 3608, 'East', (2, 6))
Element 44: (0, (2, 6), ['', '%', '%', '.'], [(11, 10), (16, 10), (12, 8)], [False, True, True, False], 12, False, [False, False, False, True], 3617, 'East', (3, 6))
Element 45: (0, (3, 6), ['', '.', '.', '.'], [(11, 10), (16, 10), (11, 8)], [False, False, False, False], 10, False, [False, True, True, True], 3626, 'East', (4, 6))
Element 46: (0, (4, 6), ['', '%', '%', '.'], [(11, 10), (16, 10), (10, 8)], [False, True, True, False], 8, False, [False, False, False, True], 3635, 'East', (5, 6))
Element 47: (0, (5, 6), ['', '%', '%', ''], [(11, 10), (16, 10), (10, 7)], [False, True, True, False], 6, False, [False, False, False, False], 3644, 'East', (6, 6))
Element 48: (0, (6, 6), ['', '', '', '%'], [(11, 10), (16, 10), (10, 6)], [False, False, False, True], 4, False, [False, False, False, False], 3643, 'North', (6, 7))
Element 49: (0, (6, 7), ['%', '', '', '%'], [(11, 10), (16, 10), (11, 6)], [True, False, False, True], 2, False, [False, False, False, False], 3652, 'South', (6, 6))
Element 50: (0, (6, 6), ['', '', '', '%'], [(11, 10), (16, 10), (10, 6)], [False, False, False, True], 0, False, [False, False, False, False], 3651, 'Stop', (6, 6))
Element 51: #0#
