Element 13: (0, (11, 8), ['', '%', '%', ''], [(13, 9), (18, 9), (18, 6)], [False, True, True, False], 74, False, [False, False, False, False], 1338, 'East', (12, 8))
Element 14: (0, (12, 8), ['', '%', '%', ''], [(13, 10), (18, 10), (18, 7)], [False, True, True, False], 72, False, [False, False, False, False], 1357, 'East', (13, 8))
Element 15: (0, (13, 8), ['', '', '', ''], [(12, 10), (17, 10), (18, 8)], [False, False, False, False], 70, False, [False, False, False, False], 2366, 'East', (14, 8))
Element 16: (0, (14, 8), ['', '%', '%', ''], [(11, 10), (16, 10), (18, 9)], [False, True, True, False], 68, False, [False, False, False, False], 3375, 'East', (15, 8))
Element 17: (0, (15, 8), ['', '%', '.', ''], [(10, 10), (15, 10), (18, 10)], [False, True, False, False], 66, False, [False, False, True, False], 3394, 'North', (15, 9))
Element 18: (0, (15, 9), ['%', '', '', '%'], [(9, 10), (16, 10), (17, 10)], [True, False, False, True], 64, False, [False, False, False, False], 3413, 'North', (15, 10))
Element 19: (0, (15, 10), ['%', '', '%', 'G'], [(8, 10), (16, 10), (18, 10)], [True, False, True, False], 62, False, [False, False, False, False], 3422, 'South', (15, 9))
Element 20: (0, (15, 9), ['%', '', 'G', '%'], [(7, 10), (15, 10), (18, 9)], [True, False, False, True], 60, False, [False, False, False, False], 3431, 'South', (15, 8))
Element 21: (0, (15, 8), ['', '%', 'G', ''], [(6, 10), (15, 9), (18, 8)], [False, True, False, False], 58, False, [False, False, False, False], 3440, 'East', (16, 8))
Element 22: (0, (16, 8), ['G', '', '%', '%'], [(6, 9), (15, 8), (18, 7)], [False, False, True, True], 56, False, [False, False, False, False], 3449, 'South', (16, 7))
Element 23: (0, (16, 7), ['%', '', '', '%'], [(6, 8), (14, 8), (18, 6)], [True, False, False, True], 54, False, [False, False, False, False], 3448, 'South', (16, 6))
Element 24: (0, (16, 6), ['', '', '', 'G'], [(5, 8), (13, 8), (17, 6)], [False, False, False, False], 52, False, [False, False, False, False], 3457, 'South', (16, 5))
Element 25: (0, (16, 5), ['%', '', 'G', '%'], [(4, 8), (13, 7), (16, 6)], [True, False, False, True], 50, False, [False, False, False, False], 3466, 'South', (16, 4))
Element 26: (0, (16, 4), ['', '%', '', ''], [(4, 9), (13, 6), (16, 7)], [False, True, False, False], 48, False, [False, False, False, False], 3475, 'East', (17, 4))
Element 27: (0, (17, 4), ['', '%', '%', '%'], [(4, 10), (14, 6), (16, 8)], [False, True, True, True], 46, False, [False, False, False, False], 3484, 'West', (16, 4))
Element 28: (0, (16, 4), ['', '%', '', ''], [(3, 10), (15, 6), (15, 8)], [False, True, False, False], 44, False, [False, False, False, False], 3493, 'West', (15, 4))
Element 29: (0, (15, 4), ['', '.', '%', ''], [(2, 10), (14, 6), (15, 9)], [False, False, True, False], 42, False, [False, True, False, False], 3502, 'South', (15, 3))
Element 30: (0, (15, 3), ['%', '.', '', '%'], [(1, 10), (13, 6), (15, 10)], [True, False, False, True], 40, False, [False, True, False, False], 3521, 'South', (15, 2))
Element 31: (0, (15, 2), ['%', '.', '', '.'], [(1, 9), (13, 5), (16, 10)], [True, False, False, False], 38, False, [False, True, False, True], 3540, 'East', (16, 2))
Element 32: (0, (16, 2), ['', '.', '%', '.'], [(1, 8), (13, 4), (15, 10)], [False, False, True, False], 36, False, [False, True, False, True], 3559, 'East', (17, 2))
Element 33: (0, (17, 2), ['', '.', '%', ''], [(1, 7), (13, 3), (15, 9)], [False, False, True, False], 34, False, [False, True, False, False], 3588, 'South', (17, 1))
Element 34: (0, (17, 1), ['.', '%', '', '.'], [(1, 6), (13, 2), (15, 8)], [False, True, False, False], 32, False, [True, False, False, True], 3617, 'East', (18, 1))
Element 35: (0, (18, 1), ['', '%', '', '%'], [(2, 6), (13, 1), (14, 8)], [False, True, False, True], 30, False, [False, False, False, False], 3646, 'North', (18, 2))
Element 36: (0, (18, 2), ['', '', '.', '%'], [(3, 6), (12, 1), (13, 8)], [False, False, False, True], 28, False, [False, False, True, False], 3665, 'North', (18, 3))
Element 37: #1#
