Element 1: (3, (15, 10), ['%', '.', '%', '.'], [(17, 2), (13, 2), (13, 4)], [True, False, True, False], 98, False, [False, True, False, True], 29, 'East', (16, 10))
Element 2: (3, (16, 10), ['', '%', '%', '.'], [(17, 1), (13, 3), (14, 4)], [False, True, True, False], 96, False, [False, False, False, True], 68, 'East', (17, 10))
Element 3: (3, (17, 10), ['', '%', '%', '.'], [(18, 1), (13, 4), (15, 4)], [False, True, True, False], 94, False, [False, False, False, True], 97, 'East', (18, 10))
Element 4: (3, (18, 10), ['', '.', '%', '%'], [(18, 2), (13, 5), (16, 4)], [False, False, True, True], 92, False, [False, True, False, False], 126, 'South', (18, 9))
Element 5: (3, (18, 9), ['%', '.', '', '%'], [(18, 3), (13, 6), (17, 4)], [True, False, False, True], 90, False, [False, True, False, False], 165, 'South', (18, 8))
Element 6: (3, (18, 8), ['%', '.', '', '%'], [(18, 2), (14, 6), (16, 4)], [True, False, False, True], 88, False, [False, True, False, False], 184, 'South', (18, 7))
Element 7: (3, (18, 7), ['%', '.', '', '%'], [(18, 1), (15, 6), (16, 5)], [True, False, False, True], 86, False, [False, True, False, False], 213, 'South', (18, 6))
Element 8: (3, (18, 6), ['.', '.', '', '%'], [(17, 1), (16, 6), (16, 4)], [False, False, False, True], 84, False, [True, True, False, False], 232, 'South', (18, 5))
Element 9: (3, (18, 5), ['%', '%', '', '%'], [(16, 1), (17, 6), (15, 4)], [True, True, False, True], 82, False, [False, False, False, False], 261, 'North', (18, 6))
Element 10: (3, (18, 6), ['', '', '', '%'], [(15, 1), (16, 6), (15, 3)], [False, False, False, True], 80, False, [False, False, False, False], 280, 'West', (17, 6))
Element 11: (3, (17, 6), ['', '%', '%', ''], [(15, 2), (16, 7), (15, 4)], [False, True, True, False], 78, False, [False, False, False, False], 299, 'West', (16, 6))
Element 12: (3, (16, 6), ['', '', '', ''], [(15, 3), (16, 8), (14, 4)], [False, False, False, False], 76, False, [False, False, False, False], 308, 'North', (16, 7))
Element 13: (3, (16, 7), ['%', '', '', '%'], [(15, 4), (15, 8), (13, 4)], [True, False, False, True], 74, False, [False, False, False, False], 317, 'North', (16, 8))
Element 14: (3, (16, 8), ['', '', '%', '%'], [(16, 4), (15, 9), (13, 5)], [False, False, True, True], 72, False, [False, False, False, False], 326, 'West', (15, 8))
Element 15: (3, (15, 8), ['.', '%', '', ''], [(17, 4), (15, 10), (13, 6)], [False, True, False, False], 70, False, [True, False, False, False], 325, 'West', (14, 8))
Element 16: (3, (14, 8), ['.', '%', '%', ''], [(16, 4), (16, 10), (13, 7)], [False, True, True, False], 68, False, [True, False, False, False], 344, 'West', (13, 8))
Element 17: (3, (13, 8), ['.', '', '.', ''], [(16, 5), (17, 10), (13, 6)], [False, False, False, False], 66, False, [True, False, True, False], 353, 'North', (13, 9))
Element 18: (3, (13, 9), ['%', '', '.', '%'], [(16, 6), (18, 10), (14, 6)], [True, False, False, True], 64, False, [False, False, True, False], 362, 'North', (13, 10))
Element 19: (3, (13, 10), ['F', '', '%', '%'], [(17, 6), (18, 9), (15, 6)], [False, False, True, True], 62, False, [False, False, False, False], 371, 'West', (12, 10))
Element 20: (3, (12, 10), ['F', '%', '%', ''], [(18, 6), (18, 8), (16, 6)], [False, True, True, False], 60, False, [False, False, False, False], 1370, 'West', (11, 10))
Element 21: (3, (11, 10), ['.', '%', '%', ''], [(18, 7), (18, 9), (17, 6)], [False, True, True, False], 58, False, [True, False, False, False], 2369, 'West', (10, 10))
Element 22: (3, (10, 10), ['.', '%', '%', ''], [(18, 8), (18, 10), (18, 6)], [False, True, True, False], 56, False, [True, False, False, False], 2378, 'West', (9, 10))
Element 23: (3, (9, 10), ['.', '%', '%', ''], [(18, 9), (17, 10), (18, 7)], [False, True, True, False], 54, False, [True, False, False, False], 2387, 'West', (8, 10))
Element 24: (3, (8, 10), ['.', '%', '%', ''], [(18, 10), (16, 10), (18, 8)], [False, True, True, False], 52, False, [True, False, False, False], 2396, 'West', (7, 10))
Element 25: (3, (7, 10), ['.', '%', '%', ''], [(17, 10), (15, 10), (18, 9)], [False, True, True, False], 50, False, [True, False, False, False], 2405, 'West', (6, 10))
Element 26: (3, (6, 10), ['%', '.', '%', ''], [(16, 10), (15, 9), (18, 10)], [True, False, True, False], 48, False, [False, True, False, False], 2414, 'South', (6, 9))
Element 27: (3, (6, 9), ['%', '.', '', '%'], [(15, 10), (15, 8), (17, 10)], [True, False, False, True], 46, False, [False, True, False, False], 2423, 'South', (6, 8))
Element 28: (3, (6, 8), ['.', '.', '', '.'], [(15, 9), (14, 8), (16, 10)], [False, False, False, False], 44, False, [True, True, False, True], 2432, 'East', (7, 8))
Element 29: (3, (7, 8), ['', '%', '%', '.'], [(15, 8), (13, 8), (15, 10)], [False, True, True, False], 42, False, [False, False, False, True], 2441, 'East', (8, 8))
Element 30: (3, (8, 8), ['', '%', '%', '.'], [(16, 8), (12, 8), (15, 9)], [False, True, True, False], 40, False, [False, False, False, True], 2460, 'East', (9, 8))
Element 31: (3, (9, 8), ['', '', '%', '.'], [(16, 7), (11, 8), (15, 8)], [False, False, True, False], 38, False, [False, False, False, True], 2479, 'East', (10, 8))
Element 32: (3, (10, 8), ['', '', '%', ''], [(16, 8), (12, 8), (14, 8)], [False, False, True, False], 36, False, [False, False, False, False], 2488, 'East', (11, 8))
Element 33: (3, (11, 8), ['', '%', '%', ''], [(15, 8), (13, 8), (14, 8)], [False, True, True, False], 34, False, [False, False, False, False], 2487, 'East', (12, 8))
Element 34: (3, (12, 8), ['', '%', '%', 'G'], [(15, 9), (13, 9), (13, 8)], [False, True, True, False], 32, False, [False, False, False, False], 2486, 'West', (11, 8))
Element 35: (3, (11, 8), ['', '%', '%', ''], [(15, 8), (13, 10), (13, 9)], [False, True, True, False], 30, False, [False, False, False, False], 2485, 'West', (10, 8))
Element 36: (3, (10, 8), ['', '', '%', ''], [(15, 9), (12, 10), (13, 10)], [False, False, True, False], 28, False, [False, False, False, False], 2484, 'South', (10, 7))
Element 37: (3, (10, 7), ['', '', '', '%'], [(15, 10), (11, 10), (12, 10)], [False, False, False, True], 26, False, [False, False, False, False], 2483, 'South', (10, 6))
Element 38: (3, (10, 6), ['', '%', '', '.'], [(16, 10), (10, 10), (11, 10)], [False, True, False, False], 24, False, [False, False, False, True], 2482, 'East', (11, 6))
Element 39: (3, (11, 6), ['', '%', '%', '%'], [(17, 10), (9, 10), (10, 10)], [False, True, True, True], 22, False, [False, False, False, False], 2491, 'West', (10, 6))
Element 40: (3, (10, 6), ['', '%', '', ''], [(18, 10), (8, 10), (9, 10)], [False, True, False, False], 20, False, [False, False, False, False], 2490, 'West', (9, 6))
Element 41: (3, (9, 6), ['.', '%', '', ''], [(18, 9), (7, 10), (8, 10)], [False, True, False, False], 18, False, [True, False, False, False], 2489, 'West', (8, 6))
Element 42: (3, (8, 6), ['%', '%', '%', ''], [(18, 8), (6, 10), (7, 10)], [True, True, True, False], 16, False, [False, False, False, False], 2498, 'East', (9, 6))
Element 43: (3, (9, 6), ['', '%', '', ''], [(18, 7), (6, 9), (6, 10)], [False, True, False, False], 14, False, [False, False, False, False], 2497, 'North', (9, 7))
