Element 1: (1, (1, 3), ['%', '.', '.', '%'], [(1, 6), (6, 2), (16, 1)], [True, False, False, True], 98, False, [False, True, True, False], 9, 'North', (1, 4))
Element 2: (1, (1, 4), ['%', '', '', '%'], [(2, 6), (7, 2), (17, 1)], [True, False, False, True], 96, False, [False, False, False, False], 48, 'North', (1, 5))
Element 3: (1, (1, 5), ['%', '', '', '%'], [(3, 6), (8, 2), (18, 1)], [True, False, False, True], 94, False, [False, False, False, False], 77, 'North', (1, 6))
Element 4: (1, (1, 6), ['%', '', '.', ''], [(4, 6), (9, 2), (18, 2)], [True, False, False, False], 92, False, [False, False, True, False], 96, 'North', (1, 7))
Element 5: (1, (1, 7), ['%', '', '.', '%'], [(5, 6), (10, 2), (18, 3)], [True, False, False, True], 90, False, [False, False, True, False], 135, 'North', (1, 8))
Element 6: (1, (1, 8), ['%', '', '.', '%'], [(6, 6), (11, 2), (18, 2)], [True, False, False, True], 88, False, [False, False, True, False], 164, 'North', (1, 9))
Element 7: (1, (1, 9), ['%', '', '.', '%'], [(6, 7), (11, 1), (17, 2)], [True, False, False, True], 86, False, [False, False, True, False], 1193, 'North', (1, 10))
Element 8: (1, (1, 10), ['%', '', '%', '.'], [(6, 8), (12, 1), (16, 2)], [True, False, True, False], 84, False, [False, False, False, True], 1232, 'East', (2, 10))
Element 9: (1, (2, 10), ['', '%', '%', '.'], [(7, 8), (13, 1), (15, 2)], [False, True, True, False], 82, False, [False, False, False, True], 1271, 'East', (3, 10))
Element 10: (1, (3, 10), ['', '%', '%', '.'], [(8, 8), (13, 2), (15, 3)], [False, True, True, False], 80, False, [False, False, False, True], 1310, 'East', (4, 10))
Element 11: (1, (4, 10), ['', '.', '%', '%'], [(9, 8), (13, 3), (15, 4)], [False, False, True, True], 78, False, [False, True, False, False], 1349, 'South', (4, 9))
Element 12: (1, (4, 9), ['%', '.', '', '%'], [(10, 8), (13, 4), (16, 4)], [True, False, False, True], 76, False, [False, True, False, False], 1388, 'South', (4, 8))
Element 13: (1, (4, 8), ['.', '%', '', '.'], [(11, 8), (14, 4), (17, 4)], [False, True, False, False], 74, False, [True, False, False, True], 1427, 'East', (5, 8))
Element 14: (1, (5, 8), ['', '%', '%', ''], [(12, 8), (15, 4), (16, 4)], [False, True, True, False], 72, False, [False, False, False, False], 1446, 'East', (6, 8))
Element 15: (1, (6, 8), ['', '', '.', ''], [(13, 8), (15, 3), (16, 5)], [False, False, False, False], 70, False, [False, False, True, False], 1465, 'North', (6, 9))
Element 16: (1, (6, 9), ['%', '', '.', '%'], [(14, 8), (15, 2), (16, 6)], [True, False, False, True], 68, False, [False, False, True, False], 1494, 'North', (6, 10))
Element 17: (1, (6, 10), ['%', '', '%', '.'], [(15, 8), (15, 1), (17, 6)], [True, False, True, False], 66, False, [False, False, False, True], 1533, 'East', (7, 10))
Element 18: (1, (7, 10), ['', '%', '%', '.'], [(16, 8), (16, 1), (18, 6)], [False, True, True, False], 64, False, [False, False, False, True], 1562, 'East', (8, 10))
Element 19: (1, (8, 10), ['', '%', '%', '.'], [(16, 7), (17, 1), (18, 7)], [False, True, True, False], 62, False, [False, False, False, True], 1591, 'East', (9, 10))
Element 20: (1, (9, 10), ['', '%', '%', '.'], [(16, 6), (18, 1), (18, 8)], [False, True, True, False], 60, False, [False, False, False, True], 1610, 'East', (10, 10))
Element 21: (1, (10, 10), ['', '%', '%', 'F'], [(15, 6), (18, 2), (18, 9)], [False, True, True, False], 58, False, [False, False, False, False], 1639, 'East', (11, 10))
Element 22: (1, (11, 10), ['', '%', '%', 'F'], [(14, 6), (18, 3), (18, 10)], [False, True, True, False], 56, False, [False, False, False, False], 2658, 'East', (12, 10))
Element 23: (1, (12, 10), ['', '%', '%', '.'], [(13, 6), (18, 2), (17, 10)], [False, True, True, False], 54, False, [False, False, False, True], 3677, 'East', (13, 10))
Element 24: (1, (13, 10), ['', '.', '%', '%'], [(13, 7), (17, 2), (16, 10)], [False, False, True, True], 52, False, [False, True, False, False], 3706, 'South', (13, 9))
Element 25: (1, (13, 9), ['%', '', '', '%'], [(13, 6), (16, 2), (15, 10)], [True, False, False, True], 50, False, [False, False, False, False], 3725, 'South', (13, 8))
Element 26: (1, (13, 8), ['', '', '', ''], [(13, 5), (17, 2), (15, 9)], [False, False, False, False], 48, False, [False, False, False, False], 3744, 'East', (14, 8))
Element 27: (1, (14, 8), ['', '%', '%', 'G'], [(13, 4), (18, 2), (15, 8)], [False, True, True, False], 46, False, [False, False, False, False], 3743, 'West', (13, 8))
Element 28: (1, (13, 8), ['', '', '', ''], [(12, 4), (18, 1), (16, 8)], [False, False, False, False], 44, False, [False, False, False, False], 3752, 'South', (13, 7))
Element 29: (1, (13, 7), ['%', '', '', '%'], [(11, 4), (17, 1), (16, 7)], [True, False, False, True], 42, False, [False, False, False, False], 3761, 'South', (13, 6))
Element 30: (1, (13, 6), ['%', '', '', ''], [(10, 4), (17, 2), (16, 8)], [True, False, False, False], 40, False, [False, False, False, False], 3770, 'East', (14, 6))
Element 31: (1, (14, 6), ['', '%', '%', ''], [(9, 4), (17, 1), (15, 8)], [False, True, True, False], 38, False, [False, False, False, False], 3779, 'East', (15, 6))
Element 32: (1, (15, 6), ['', '%', '%', ''], [(8, 4), (16, 1), (14, 8)], [False, True, True, False], 36, False, [False, False, False, False], 3778, 'East', (16, 6))
Element 33: (1, (16, 6), ['', '', '', ''], [(7, 4), (16, 2), (13, 8)], [False, False, False, False], 34, False, [False, False, False, False], 3787, 'East', (17, 6))
Element 34: #1#
