Element 1: (1, (1, 2), ['%', '', '.', '.'], [(10, 8), (6, 8), (16, 5)], [True, False, False, False], 98, False, [False, False, True, True], 9, 'East', (2, 2))
Element 2: (1, (2, 2), ['', '.', '%', '.'], [(11, 8), (7, 8), (16, 6)], [False, False, True, False], 96, False, [False, True, False, True], 48, 'East', (3, 2))
Element 3: (1, (3, 2), ['', '.', '%', '.'], [(12, 8), (8, 8), (17, 6)], [False, False, True, False], 94, False, [False, True, False, True], 87, 'East', (4, 2))
Element 4: (1, (4, 2), ['', '.', '.', '%'], [(13, 8), (9, 8), (18, 6)], [False, False, False, True], 92, False, [False, True, True, False], 116, 'North', (4, 3))
Element 5: (1, (4, 3), ['%', '', '.', '%'], [(14, 8), (10, 8), (18, 7)], [True, False, False, True], 90, False, [False, False, True, False], 145, 'North', (4, 4))
Element 6: (1, (4, 4), ['.', '', '%', '.'], [(15, 8), (11, 8), (18, 8)], [False, False, True, False], 88, False, [True, False, False, True], 174, 'East', (5, 4))
Element 7: (1, (5, 4), ['', '%', '%', '.'], [(16, 8), (12, 8), (18, 9)], [False, True, True, False], 86, False, [False, False, False, True], 203, 'East', (6, 4))
Element 8: (1, (6, 4), ['', '.', '.', '.'], [(16, 7), (13, 8), (18, 10)], [False, False, False, False], 84, False, [False, True, True, True], 232, 'East', (7, 4))
Element 9: (1, (7, 4), ['', '%', 'F', ''], [(16, 6), (13, 9), (17, 10)], [False, True, False, False], 82, False, [False, False, False, False], 261, 'North', (7, 5))
Element 10: (1, (7, 5), ['.', '', '%', '%'], [(15, 6), (13, 10), (16, 10)], [False, False, True, True], 80, False, [True, False, False, False], 1290, 'West', (6, 5))
Element 11: (1, (6, 5), ['%', '', '.', ''], [(14, 6), (12, 10), (15, 10)], [True, False, False, False], 78, False, [False, False, True, False], 2319, 'North', (6, 6))
Element 12: (1, (6, 6), ['.', '', '.', '%'], [(13, 6), (11, 10), (15, 9)], [False, False, False, True], 76, False, [True, False, True, False], 3348, 'North', (6, 7))
Element 13: (1, (6, 7), ['%', '', '', '%'], [(13, 7), (10, 10), (15, 8)], [True, False, False, True], 74, False, [False, False, False, False], 3377, 'North', (6, 8))
Element 14: (1, (6, 8), ['.', '', '.', ''], [(13, 6), (9, 10), (16, 8)], [False, False, False, False], 72, False, [True, False, True, False], 3386, 'North', (6, 9))
Element 15: (1, (6, 9), ['%', '', '.', '%'], [(13, 5), (8, 10), (16, 7)], [True, False, False, True], 70, False, [False, False, True, False], 3415, 'North', (6, 10))
Element 16: (1, (6, 10), ['%', '', '%', 'G'], [(13, 4), (7, 10), (16, 8)], [True, False, True, False], 68, False, [False, False, False, False], 3444, 'South', (6, 9))
Element 17: (1, (6, 9), ['%', '', 'G', '%'], [(14, 4), (6, 10), (15, 8)], [True, False, False, True], 66, False, [False, False, False, False], 3453, 'South', (6, 8))
Element 18: (1, (6, 8), ['.', '', 'G', ''], [(15, 4), (6, 9), (14, 8)], [False, False, False, False], 64, False, [True, False, False, False], 3462, 'West', (5, 8))
Element 19: (1, (5, 8), ['.', '%', '%', ''], [(16, 4), (6, 10), (13, 8)], [False, True, True, False], 62, False, [True, False, False, False], 3481, 'West', (4, 8))
Element 20: (1, (4, 8), ['.', '%', '.', ''], [(17, 4), (7, 10), (13, 9)], [False, True, False, False], 60, False, [True, False, True, False], 3500, 'North', (4, 9))
Element 21: (1, (4, 9), ['%', '', '.', '%'], [(16, 4), (8, 10), (13, 10)], [True, False, False, True], 58, False, [False, False, True, False], 3509, 'North', (4, 10))
Element 22: (1, (4, 10), ['.', '', '%', '%'], [(16, 5), (9, 10), (12, 10)], [False, False, True, True], 56, False, [True, False, False, False], 3518, 'West', (3, 10))
Element 23: (1, (3, 10), ['.', '%', '%', ''], [(16, 4), (10, 10), (11, 10)], [False, True, True, False], 54, False, [True, False, False, False], 3527, 'West', (2, 10))
Element 24: (1, (2, 10), ['.', '%', '%', ''], [(15, 4), (9, 10), (10, 10)], [False, True, True, False], 52, False, [True, False, False, False], 3536, 'West', (1, 10))
Element 25: (1, (1, 10), ['%', '.', '%', ''], [(15, 3), (10, 10), (9, 10)], [True, False, True, False], 50, False, [False, True, False, False], 3555, 'South', (1, 9))
Element 26: (1, (1, 9), ['%', '.', '', '%'], [(15, 2), (11, 10), (8, 10)], [True, False, False, True], 48, False, [False, True, False, False], 3574, 'South', (1, 8))
Element 27: (1, (1, 8), ['%', '.', '', '%'], [(16, 2), (11, 10), (7, 10)], [True, False, False, True], 46, False, [False, True, False, False], 3593, 'South', (1, 7))
Element 28: (1, (1, 7), ['%', '.', '', '%'], [(17, 2), (11, 10), (6, 10)], [True, False, False, True], 44, False, [False, True, False, False], 3612, 'South', (1, 6))
Element 29: (1, (1, 6), ['%', '.', '', '.'], [(17, 1), (11, 10), (6, 9)], [True, False, False, False], 42, False, [False, True, False, True], 3631, 'East', (2, 6))
Element 30: (1, (2, 6), ['', '%', '%', '.'], [(18, 1), (11, 10), (6, 8)], [False, True, True, False], 40, False, [False, False, False, True], 3650, 'East', (3, 6))
Element 31: (1, (3, 6), ['', '.', '.', '.'], [(18, 2), (11, 10), (7, 8)], [False, False, False, False], 38, False, [False, True, True, True], 3659, 'East', (4, 6))
Element 32: (1, (4, 6), ['', '%', '%', '.'], [(18, 3), (11, 10), (8, 8)], [False, True, True, False], 36, False, [False, False, False, True], 3678, 'East', (5, 6))
Element 33: (1, (5, 6), ['', '%', '%', ''], [(18, 2), (11, 10), (9, 8)], [False, True, True, False], 34, False, [False, False, False, False], 3687, 'West', (4, 6))
Element 34: (1, (4, 6), ['', '%', '%', ''], [(18, 1), (11, 10), (10, 8)], [False, True, True, False], 32, False, [False, False, False, False], 3686, 'West', (3, 6))
Element 35: (1, (3, 6), ['', '.', '.', ''], [(17, 1), (10, 10), (11, 8)], [False, False, False, False], 30, False, [False, True, True, False], 3685, 'North', (3, 7))
Element 36: (1, (3, 7), ['%', '', '.', '%'], [(16, 1), (10, 10), (12, 8)], [True, False, False, True], 28, False, [False, False, True, False], 3704, 'North', (3, 8))
Element 37: (1, (3, 8), ['%', '', '%', ''], [(15, 1), (10, 10), (11, 8)], [True, False, True, False], 26, False, [False, False, False, False], 3723, 'South', (3, 7))
Element 38: (1, (3, 7), ['%', '', '', '%'], [(16, 1), (10, 10), (10, 8)], [True, False, False, True], 24, False, [False, False, False, False], 3722, 'South', (3, 6))
Element 39: (1, (3, 6), ['', '.', '', ''], [(17, 1), (10, 10), (10, 7)], [False, False, False, False], 22, False, [False, True, False, False], 3721, 'South', (3, 5))
Element 40: (1, (3, 5), ['%', '.', '', '%'], [(17, 2), (10, 10), (10, 6)], [True, False, False, True], 20, False, [False, True, False, False], 3730, 'South', (3, 4))
Element 41: (1, (3, 4), ['%', '%', '', ''], [(18, 2), (10, 10), (11, 6)], [True, True, False, False], 18, False, [False, False, False, False], 3749, 'North', (3, 5))
