Element 1: (2, (4, 3), ['%', 'G', '.', '%'], [(18, 6), (4, 2), (9, 1)], [True, False, False, True], 98, False, [False, False, True, False], 19, 'North', (4, 4))
Element 2: (2, (4, 4), ['.', '', '%', '.'], [(18, 7), (3, 2), (10, 1)], [False, False, True, False], 96, False, [True, False, False, True], 58, 'East', (5, 4))
Element 3: (2, (5, 4), ['', '%', '%', '.'], [(18, 8), (3, 1), (11, 1)], [False, True, True, False], 94, False, [False, False, False, True], 1087, 'East', (6, 4))
Element 4: (2, (6, 4), ['', '.', '.', '.'], [(18, 9), (2, 1), (12, 1)], [False, False, False, False], 92, False, [False, True, True, True], 1126, 'East', (7, 4))
Element 5: (2, (7, 4), ['', '%', 'F', ''], [(18, 10), (2, 2), (13, 1)], [False, True, False, False], 90, False, [False, False, False, False], 1165, 'North', (7, 5))
Element 6: (2, (7, 5), ['.', '', '%', '%'], [(17, 10), (1, 2), (13, 2)], [False, False, True, True], 88, False, [True, False, False, False], 2194, 'West', (6, 5))
Element 7: (2, (6, 5), ['%', '', '.', ''], [(16, 10), (1, 3), (13, 3)], [True, False, False, False], 86, False, [False, False, True, False], 2233, 'North', (6, 6))
Element 8: (2, (6, 6), ['.', '', '.', '%'], [(15, 10), (1, 4), (13, 4)], [False, False, False, True], 84, False, [True, False, True, False], 2272, 'North', (6, 7))
Element 9: (2, (6, 7), ['%', '', '.', '%'], [(15, 9), (1, 5), (14, 4)], [True, False, False, True], 82, False, [False, False, True, False], 2311, 'North', (6, 8))
Element 10: (2, (6, 8), ['.', '', '.', '.'], [(15, 8), (1, 6), (15, 4)], [False, False, False, False], 80, False, [True, False, True, True], 2350, 'East', (7, 8))
Element 11: (2, (7, 8), ['', '%', '%', '.'], [(16, 8), (2, 6), (16, 4)], [False, True, True, False], 78, False, [False, False, False, True], 2389, 'East', (8, 8))
Element 12: (2, (8, 8), ['', '%', '%', '.'], [(16, 7), (3, 6), (17, 4)], [False, True, True, False], 76, False, [False, False, False, True], 2428, 'East', (9, 8))
Element 13: (2, (9, 8), ['', '', '%', '.'], [(16, 6), (4, 6), (16, 4)], [False, False, True, False], 74, False, [False, False, False, True], 2457, 'East', (10, 8))
Element 14: (2, (10, 8), ['', '', '%', '.'], [(15, 6), (5, 6), (16, 5)], [False, False, True, False], 72, False, [False, False, False, True], 2496, 'East', (11, 8))
Element 15: (2, (11, 8), ['', '%', '%', '.'], [(14, 6), (6, 6), (16, 6)], [False, True, True, False], 70, False, [False, False, False, True], 2515, 'East', (12, 8))
Element 16: (2, (12, 8), ['', '%', '%', '.'], [(13, 6), (6, 7), (17, 6)], [False, True, True, False], 68, False, [False, False, False, True], 2534, 'East', (13, 8))
Element 17: (2, (13, 8), ['', 'G', '.', '.'], [(13, 7), (6, 8), (18, 6)], [False, False, False, False], 66, False, [False, False, True, True], 2553, 'East', (14, 8))
Element 18: (2, (14, 8), ['G', '%', '%', ''], [(13, 8), (6, 9), (18, 5)], [False, True, True, False], 64, False, [False, False, False, False], 2582, 'East', (15, 8))
Element 19: (2, (15, 8), ['', '%', '', ''], [(13, 9), (6, 10), (18, 6)], [False, True, False, False], 62, False, [False, False, False, False], 2601, 'East', (16, 8))
Element 20: (2, (16, 8), ['', '', '%', '%'], [(13, 10), (7, 10), (18, 7)], [False, False, True, True], 60, False, [False, False, False, False], 2620, 'South', (16, 7))
Element 21: (2, (16, 7), ['%', '', '', '%'], [(12, 10), (8, 10), (18, 8)], [True, False, False, True], 58, False, [False, False, False, False], 3629, 'South', (16, 6))
Element 22: #1#
