Element 1: (1, (1, 6), ['%', '.', '.', '.'], [(3, 8), (4, 8), (7, 8)], [True, False, False, False], 98, False, [False, True, True, True], 9, 'East', (2, 6))
Element 2: (1, (2, 6), ['', '%', '%', '.'], [(4, 8), (5, 8), (8, 8)], [False, True, True, False], 96, False, [False, False, False, True], 38, 'East', (3, 6))
Element 3: (1, (3, 6), ['', '.', '', '.'], [(4, 9), (6, 8), (9, 8)], [False, False, False, False], 94, False, [False, True, False, True], 77, 'East', (4, 6))
Element 4: (1, (4, 6), ['', '%', '%', '.'], [(4, 10), (6, 9), (10, 8)], [False, True, True, False], 92, False, [False, False, False, True], 116, 'East', (5, 6))
Element 5: (1, (5, 6), ['', '%', '%', '.'], [(3, 10), (6, 10), (11, 8)], [False, True, True, False], 90, False, [False, False, False, True], 155, 'East', (6, 6))
Element 6: (1, (6, 6), ['', '.', '.', '%'], [(2, 10), (7, 10), (12, 8)], [False, False, False, True], 88, False, [False, True, True, False], 194, 'North', (6, 7))
Element 7: (1, (6, 7), ['%', '', '', '%'], [(1, 10), (8, 10), (13, 8)], [True, False, False, True], 86, False, [False, False, False, False], 233, 'North', (6, 8))
Element 8: (1, (6, 8), ['', '', '', ''], [(1, 9), (9, 10), (14, 8)], [False, False, False, False], 84, False, [False, False, False, False], 262, 'East', (7, 8))
Element 9: (1, (7, 8), ['', '%', '%', ''], [(1, 8), (10, 10), (15, 8)], [False, True, True, False], 82, False, [False, False, False, False], 291, 'East', (8, 8))
Element 10: (1, (8, 8), ['', '%', '%', ''], [(1, 7), (11, 10), (16, 8)], [False, True, True, False], 80, False, [False, False, False, False], 1310, 'East', (9, 8))
Element 11: (1, (9, 8), ['', '', '%', ''], [(1, 6), (12, 10), (16, 7)], [False, False, True, False], 78, False, [False, False, False, False], 2319, 'East', (10, 8))
Element 12: (1, (10, 8), ['', '', '%', ''], [(1, 5), (13, 10), (16, 6)], [False, False, True, False], 76, False, [False, False, False, False], 2348, 'East', (11, 8))
Element 13: (1, (11, 8), ['', '%', '%', ''], [(1, 4), (13, 9), (17, 6)], [False, True, True, False], 74, False, [False, False, False, False], 2377, 'East', (12, 8))
Element 14: (1, (12, 8), ['', '%', '%', 'G'], [(1, 3), (13, 8), (18, 6)], [False, True, True, False], 72, False, [False, False, False, False], 2396, 'West', (11, 8))
Element 15: (1, (11, 8), ['', '%', '%', ''], [(1, 2), (13, 7), (18, 7)], [False, True, True, False], 70, False, [False, False, False, False], 2425, 'West', (10, 8))
Element 16: (1, (10, 8), ['', '', '%', ''], [(2, 2), (13, 6), (18, 8)], [False, False, True, False], 68, False, [False, False, False, False], 2454, 'South', (10, 7))
Element 17: (1, (10, 7), ['', '', '', '%'], [(3, 2), (14, 6), (18, 9)], [False, False, False, True], 66, False, [False, False, False, False], 2483, 'South', (10, 6))
Element 18: (1, (10, 6), ['', '%', '', '.'], [(4, 2), (15, 6), (18, 10)], [False, True, False, False], 64, False, [False, False, False, True], 2512, 'East', (11, 6))
Element 19: (1, (11, 6), ['', '%', '%', '%'], [(4, 3), (16, 6), (17, 10)], [False, True, True, True], 62, False, [False, False, False, False], 2541, 'West', (10, 6))
Element 20: (1, (10, 6), ['', '%', '', ''], [(4, 4), (16, 5), (16, 10)], [False, True, False, False], 60, False, [False, False, False, False], 2570, 'West', (9, 6))
Element 21: (1, (9, 6), ['.', '%', '', ''], [(5, 4), (16, 4), (15, 10)], [False, True, False, False], 58, False, [True, False, False, False], 2599, 'West', (8, 6))
Element 22: (1, (8, 6), ['%', '%', '%', ''], [(6, 4), (17, 4), (15, 9)], [True, True, True, False], 56, False, [False, False, False, False], 2638, 'East', (9, 6))
Element 23: (1, (9, 6), ['', '%', '', ''], [(7, 4), (16, 4), (15, 10)], [False, True, False, False], 54, False, [False, False, False, False], 2647, 'North', (9, 7))
Element 24: (1, (9, 7), ['%', '', '', ''], [(7, 5), (15, 4), (16, 10)], [True, False, False, False], 52, False, [False, False, False, False], 3656, 'South', (9, 6))
Element 25: (1, (9, 6), ['', '%', '', ''], [(6, 5), (15, 3), (17, 10)], [False, True, False, False], 50, False, [False, False, False, False], 3675, 'East', (10, 6))
Element 26: (1, (10, 6), ['', '%', '', ''], [(6, 6), (15, 2), (18, 10)], [False, True, False, False], 48, False, [False, False, False, False], 3684, 'North', (10, 7))
Element 27: (1, (10, 7), ['', '', '', '%'], [(6, 7), (16, 2), (18, 9)], [False, False, False, True], 46, False, [False, False, False, False], 3693, 'West', (9, 7))
Element 28: (1, (9, 7), ['%', '', '', ''], [(6, 8), (17, 2), (18, 8)], [True, False, False, False], 44, False, [False, False, False, False], 3702, 'East', (10, 7))
Element 29: (1, (10, 7), ['', '', '', '%'], [(7, 8), (17, 1), (18, 7)], [False, False, False, True], 42, False, [False, False, False, False], 3711, 'North', (10, 8))
Element 30: (1, (10, 8), ['', '', '%', ''], [(8, 8), (18, 1), (18, 6)], [False, False, True, False], 40, False, [False, False, False, False], 3720, 'West', (9, 8))
Element 31: (1, (9, 8), ['', '', '%', ''], [(7, 8), (18, 2), (18, 5)], [False, False, True, False], 38, False, [False, False, False, False], 3729, 'South', (9, 7))
Element 32: (1, (9, 7), ['%', '', '', ''], [(6, 8), (18, 3), (18, 6)], [True, False, False, False], 36, False, [False, False, False, False], 3738, 'North', (9, 8))
Element 33: (1, (9, 8), ['', '', '%', ''], [(6, 9), (18, 2), (17, 6)], [False, False, True, False], 34, False, [False, False, False, False], 3737, 'West', (8, 8))
Element 34: (1, (8, 8), ['', '%', '%', ''], [(6, 10), (18, 1), (16, 6)], [False, True, True, False], 32, False, [False, False, False, False], 3736, 'West', (7, 8))
Element 35: (1, (7, 8), ['', '%', '%', ''], [(7, 10), (17, 1), (16, 5)], [False, True, True, False], 30, False, [False, False, False, False], 3735, 'West', (6, 8))
Element 36: (1, (6, 8), ['', '', '', ''], [(8, 10), (16, 1), (16, 4)], [False, False, False, False], 28, False, [False, False, False, False], 3744, 'North', (6, 9))
Element 37: (1, (6, 9), ['%', '', '', '%'], [(9, 10), (15, 1), (17, 4)], [True, False, False, True], 26, False, [False, False, False, False], 3753, 'North', (6, 10))
Element 38: (1, (6, 10), ['%', '', '%', ''], [(10, 10), (16, 1), (16, 4)], [True, False, True, False], 24, False, [False, False, False, False], 3752, 'East', (7, 10))
