Element 28: (1, (7, 8), ['', '%', '%', ''], [(17, 6), (17, 10), (16, 6)], [False, True, True, False], 44, False, [False, False, False, False], 2472, 'West', (6, 8))
Element 29: (1, (6, 8), ['.', '.', '', ''], [(16, 6), (17, 10), (16, 7)], [False, False, False, False], 42, False, [True, True, False, False], 2471, 'South', (6, 7))
Element 30: (1, (6, 7), ['%', '.', '', '%'], [(16, 7), (16, 10), (16, 8)], [True, False, False, True], 40, False, [False, True, False, False], 2480, 'South', (6, 6))
Element 31: (1, (6, 6), ['.', '.', '', '%'], [(16, 8), (15, 10), (15, 8)], [False, False, False, True], 38, False, [True, True, False, False], 2489, 'South', (6, 5))
Element 32: (1, (6, 5), ['%', '.', '', 'F'], [(16, 7), (15, 9), (15, 8)], [True, False, False, False], 36, False, [False, True, False, False], 2498, 'East', (7, 5))
Element 33: (1, (7, 5), ['', '.', '%', '%'], [(16, 6), (15, 10), (15, 8)], [False, False, True, True], 34, False, [False, True, False, False], 3497, 'South', (7, 4))
Element 34: (1, (7, 4), ['.', '%', '', ''], [(15, 6), (15, 9), (15, 8)], [False, True, False, False], 32, False, [True, False, False, False], 3506, 'West', (6, 4))
Element 35: (1, (6, 4), ['.', '.', '', ''], [(14, 6), (15, 10), (15, 8)], [False, False, False, False], 30, False, [True, True, False, False], 3515, 'South', (6, 3))
Element 36: (1, (6, 3), ['%', '.', '', '%'], [(13, 6), (15, 9), (15, 8)], [True, False, False, True], 28, False, [False, True, False, False], 3524, 'South', (6, 2))
Element 37: (1, (6, 2), ['%', '.', '', '.'], [(13, 7), (15, 10), (15, 8)], [True, False, False, False], 26, False, [False, True, False, True], 3533, 'East', (7, 2))
Element 38: (1, (7, 2), ['', '.', '%', '.'], [(13, 8), (15, 10), (15, 8)], [False, False, True, False], 24, False, [False, True, False, True], 3542, 'East', (8, 2))
Element 39: (1, (8, 2), ['', '.', '%', '.'], [(14, 8), (16, 10), (15, 8)], [False, False, True, False], 22, False, [False, True, False, True], 3551, 'East', (9, 2))
Element 40: (1, (9, 2), ['', '.', '%', '.'], [(13, 8), (17, 10), (15, 8)], [False, False, True, False], 20, False, [False, True, False, True], 3560, 'East', (10, 2))
Element 41: (1, (10, 2), ['', '.', '%', '.'], [(13, 9), (18, 10), (15, 8)], [False, False, True, False], 18, False, [False, True, False, True], 3569, 'East', (11, 2))
Element 42: (1, (11, 2), ['', 'F', '%', '.'], [(13, 10), (18, 9), (15, 8)], [False, False, True, False], 16, False, [False, False, False, True], 3578, 'South', (11, 1))
Element 43: #1#
