Element 1: (3, (14, 6), ['.', '%', '%', '.'], [(13, 4), (3, 6), (4, 4)], [False, True, True, False], 98, False, [True, False, False, True], 29, 'East', (15, 6))
Element 2: (3, (15, 6), ['', '%', '%', '.'], [(14, 4), (4, 6), (5, 4)], [False, True, True, False], 96, False, [False, False, False, True], 68, 'East', (16, 6))
Element 3: (3, (16, 6), ['', '.', '.', '.'], [(15, 4), (5, 6), (6, 4)], [False, False, False, False], 94, False, [False, True, True, True], 107, 'East', (17, 6))
Element 4: (3, (17, 6), ['', '%', '%', '.'], [(16, 4), (6, 6), (7, 4)], [False, True, True, False], 92, False, [False, False, False, True], 146, 'East', (18, 6))
Element 5: (3, (18, 6), ['', '.', '.', '%'], [(17, 4), (6, 7), (7, 5)], [False, False, False, True], 90, False, [False, True, True, False], 1175, 'North', (18, 7))
Element 6: (3, (18, 7), ['%', '', '.', '%'], [(16, 4), (6, 8), (6, 5)], [True, False, False, True], 88, False, [False, False, True, False], 1204, 'North', (18, 8))
Element 7: (3, (18, 8), ['%', '', '.', '%'], [(16, 5), (7, 8), (6, 6)], [True, False, False, True], 86, False, [False, False, True, False], 1233, 'North', (18, 9))
Element 8: (3, (18, 9), ['%', '', '.', '%'], [(16, 6), (8, 8), (6, 7)], [True, False, False, True], 84, False, [False, False, True, False], 1252, 'North', (18, 10))
Element 9: (3, (18, 10), ['.', '', '%', '%'], [(16, 7), (9, 8), (6, 8)], [False, False, True, True], 82, False, [True, False, False, False], 1281, 'West', (17, 10))
Element 10: (3, (17, 10), ['.', '%', '%', ''], [(16, 8), (10, 8), (6, 9)], [False, True, True, False], 80, False, [True, False, False, False], 1320, 'West', (16, 10))
Element 11: (3, (16, 10), ['.', '%', '%', ''], [(15, 8), (11, 8), (6, 10)], [False, True, True, False], 78, False, [True, False, False, False], 1359, 'West', (15, 10))
Element 12: (3, (15, 10), ['%', 'G', '%', ''], [(15, 9), (12, 8), (7, 10)], [True, False, True, False], 76, False, [False, False, False, False], 1398, 'East', (16, 10))
Element 13: (3, (16, 10), ['G', '%', '%', ''], [(15, 10), (13, 8), (8, 10)], [False, True, True, False], 74, False, [False, False, False, False], 1417, 'East', (17, 10))
Element 14: (3, (17, 10), ['G', '%', '%', ''], [(16, 10), (14, 8), (9, 10)], [False, True, True, False], 72, False, [False, False, False, False], 1436, 'East', (18, 10))
Element 15: (3, (18, 10), ['G', '', '%', '%'], [(17, 10), (15, 8), (10, 10)], [False, False, True, True], 70, False, [False, False, False, False], 1445, 'South', (18, 9))
Element 16: (3, (18, 9), ['%', '', 'G', '%'], [(18, 10), (16, 8), (11, 10)], [True, False, False, True], 68, False, [False, False, False, False], 2444, 'South', (18, 8))
Element 17: (3, (18, 8), ['%', '', 'G', '%'], [(18, 9), (16, 7), (12, 10)], [True, False, False, True], 66, False, [False, False, False, False], 3443, 'South', (18, 7))
Element 18: (3, (18, 7), ['%', '', 'G', '%'], [(18, 8), (16, 6), (13, 10)], [True, False, False, True], 64, False, [False, False, False, False], 3452, 'South', (18, 6))
Element 19: (3, (18, 6), ['G', '.', 'G', '%'], [(18, 7), (17, 6), (13, 9)], [False, False, False, True], 62, False, [False, True, False, False], 3461, 'South', (18, 5))
Element 20: (3, (18, 5), ['%', '%', 'G', '%'], [(18, 6), (16, 6), (13, 8)], [True, True, False, True], 60, False, [False, False, False, False], 3470, 'Stop', (18, 5))
Element 21: (3, (18, 5), ['%', '%', '', '%'], [(17, 6), (16, 5), (13, 7)], [True, True, False, True], 58, False, [False, False, False, False], 3479, 'North', (18, 6))
Element 22: (3, (18, 6), ['', '', '', '%'], [(16, 6), (16, 4), (13, 6)], [False, False, False, True], 56, False, [False, False, False, False], 3488, 'West', (17, 6))
Element 23: (3, (17, 6), ['', '%', '%', ''], [(16, 7), (17, 4), (13, 5)], [False, True, True, False], 54, False, [False, False, False, False], 3497, 'West', (16, 6))
Element 24: (3, (16, 6), ['', '', '', ''], [(16, 8), (16, 4), (13, 4)], [False, False, False, False], 52, False, [False, False, False, False], 3496, 'Stop', (16, 6))
Element 25: (3, (16, 6), ['', '', '', ''], [(16, 8), (15, 4), (13, 3)], [False, False, False, False], 50, False, [False, False, False, False], 3505, 'South', (16, 5))
Element 26: (3, (16, 5), ['%', '', '', '%'], [(16, 8), (15, 3), (13, 2)], [True, False, False, True], 48, False, [False, False, False, False], 3524, 'South', (16, 4))
Element 27: (3, (16, 4), ['', '%', '', ''], [(16, 8), (15, 2), (13, 1)], [False, True, False, False], 46, False, [False, False, False, False], 3543, 'East', (17, 4))
Element 28: (3, (17, 4), ['', '%', '%', '%'], [(16, 8), (16, 2), (12, 1)], [False, True, True, True], 44, False, [False, False, False, False], 3562, 'West', (16, 4))
Element 29: #1#
