Element 39: (1, (13, 6), ['%', '.', '', ''], [(18, 3), (14, 4), (10, 7)], [True, False, False, False], 22, False, [False, True, False, False], 2511, 'South', (13, 5))
Element 40: (1, (13, 5), ['%', 'G', '', '%'], [(18, 2), (13, 4), (10, 6)], [True, False, False, True], 20, False, [False, False, False, False], 2530, 'North', (13, 6))
Element 41: (1, (13, 6), ['%', '', '', ''], [(18, 1), (13, 3), (11, 6)], [True, False, False, False], 18, False, [False, False, False, False], 2539, 'East', (14, 6))
Element 42: (1, (14, 6), ['', '%', '%', ''], [(17, 1), (13, 2), (10, 6)], [False, True, True, False], 16, False, [False, False, False, False], 2548, 'East', (15, 6))
Element 43: (1, (15, 6), ['', '%', '%', ''], [(16, 1), (13, 1), (9, 6)], [False, True, True, False], 14, False, [False, False, False, False], 2567, 'East', (16, 6))
Element 44: (1, (16, 6), ['', '', '', ''], [(15, 1), (12, 1), (9, 7)], [False, False, False, False], 12, False, [False, False, False, False], 2586, 'East', (17, 6))
Element 45: (1, (17, 6), ['', '%', '%', ''], [(16, 1), (11, 1), (9, 8)], [False, True, True, False], 10, False, [False, False, False, False], 3585, 'East', (18, 6))
Element 46: (1, (18, 6), ['', '', '', '%'], [(17, 1), (11, 2), (8, 8)], [False, False, False, True], 8, False, [False, False, False, False], 3594, 'North', (18, 7))
Element 47: (1, (18, 7), ['%', '', '', '%'], [(17, 2), (12, 2), (7, 8)], [True, False, False, True], 6, False, [False, False, False, False], 3603, 'North', (18, 8))
Element 48: (1, (18, 8), ['%', '', '', '%'], [(18, 2), (11, 2), (6, 8)], [True, False, False, True], 4, False, [False, False, False, False], 3602, 'North', (18, 9))
Element 49: (1, (18, 9), ['%', '', '', '%'], [(17, 2), (10, 2), (5, 8)], [True, False, False, True], 2, False, [False, False, False, False], 3621, 'North', (18, 10))
Element 50: (1, (18, 10), ['', '', '%', '%'], [(17, 2), (10, 1), (4, 8)], [False, False, True, True], 0, False, [False, False, False, False], 3640, 'Stop', (18, 10))
Element 51: #0#
