Element 1: (3, (18, 5), ['%', '%', '.', '%'], [(4, 10), (3, 2), (13, 10)], [True, True, False, True], 98, False, [False, False, True, False], 29, 'North', (18, 6))
Element 2: (3, (18, 6), ['.', '', '.', '%'], [(4, 9), (4, 2), (12, 10)], [False, False, False, True], 96, False, [True, False, True, False], 1058, 'North', (18, 7))
Element 3: (3, (18, 7), ['%', '', '.', '%'], [(4, 8), (4, 3), (11, 10)], [True, False, False, True], 94, False, [False, False, True, False], 2087, 'North', (18, 8))
Element 4: (3, (18, 8), ['%', '', '.', '%'], [(5, 8), (4, 4), (10, 10)], [True, False, False, True], 92, False, [False, False, True, False], 2126, 'North', (18, 9))
Element 5: (3, (18, 9), ['%', '', '.', '%'], [(6, 8), (5, 4), (9, 10)], [True, False, False, True], 90, False, [False, False, True, False], 2165, 'North', (18, 10))
Element 6: (3, (18, 10), ['.', '', '%', '%'], [(7, 8), (6, 4), (8, 10)], [False, False, True, True], 88, False, [True, False, False, False], 2204, 'West', (17, 10))
Element 7: (3, (17, 10), ['.', '%', '%', ''], [(8, 8), (7, 4), (7, 10)], [False, True, True, False], 86, False, [True, False, False, False], 2243, 'West', (16, 10))
Element 8: (3, (16, 10), ['.', '%', '%', ''], [(9, 8), (7, 5), (6, 10)], [False, True, True, False], 84, False, [True, False, False, False], 3272, 'West', (15, 10))
Element 9: (3, (15, 10), ['%', '.', '%', ''], [(10, 8), (6, 5), (6, 9)], [True, False, True, False], 82, False, [False, True, False, False], 3311, 'South', (15, 9))
Element 10: (3, (15, 9), ['%', '.', '', '%'], [(11, 8), (6, 6), (6, 8)], [True, False, False, True], 80, False, [False, True, False, False], 3340, 'South', (15, 8))
Element 11: (3, (15, 8), ['.', '%', '', '.'], [(12, 8), (6, 7), (7, 8)], [False, True, False, False], 78, False, [True, False, False, True], 3369, 'East', (16, 8))
Element 12: (3, (16, 8), ['', '.', '%', '%'], [(13, 8), (6, 8), (8, 8)], [False, False, True, True], 76, False, [False, True, False, False], 3388, 'South', (16, 7))
Element 13: (3, (16, 7), ['%', '.', '', '%'], [(14, 8), (7, 8), (9, 8)], [True, False, False, True], 74, False, [False, True, False, False], 3407, 'South', (16, 6))
Element 14: (3, (16, 6), ['.', '.', '', '.'], [(15, 8), (8, 8), (10, 8)], [False, False, False, False], 72, False, [True, True, False, True], 3416, 'East', (17, 6))
Element 15: (3, (17, 6), ['', '%', '%', ''], [(16, 8), (9, 8), (11, 8)], [False, True, True, False], 70, False, [False, False, False, False], 3425, 'West', (16, 6))
Element 16: (3, (16, 6), ['.', '.', 'G', ''], [(16, 7), (10, 8), (12, 8)], [False, False, False, False], 68, False, [True, True, False, False], 3424, 'South', (16, 5))
Element 17: (3, (16, 5), ['%', '.', 'G', '%'], [(16, 6), (11, 8), (13, 8)], [True, False, False, True], 66, False, [False, True, False, False], 3433, 'South', (16, 4))
Element 18: (3, (16, 4), ['.', '%', '', '.'], [(15, 6), (12, 8), (13, 7)], [False, True, False, False], 64, False, [True, False, False, True], 3462, 'East', (17, 4))
