Element 1: (2, (12, 2), ['.', '.', '%', '.'], [(16, 6), (10, 1), (15, 8)], [False, False, True, False], 98, False, [True, True, False, True], 19, 'East', (13, 2))
Element 2: (2, (13, 2), ['', '.', '.', '%'], [(17, 6), (11, 1), (16, 8)], [False, False, False, True], 96, False, [False, True, True, False], 1048, 'North', (13, 3))
Element 3: (2, (13, 3), ['%', '', '.', '%'], [(18, 6), (12, 1), (16, 7)], [True, False, False, True], 94, False, [False, False, True, False], 1087, 'North', (13, 4))
Element 4: (2, (13, 4), ['.', '', '.', '.'], [(18, 7), (13, 1), (16, 6)], [False, False, False, False], 92, False, [True, False, True, True], 1116, 'East', (14, 4))
Element 5: (2, (14, 4), ['', '%', '%', '.'], [(18, 8), (13, 2), (15, 6)], [False, True, True, False], 90, False, [False, False, False, True], 1145, 'East', (15, 4))
Element 6: (2, (15, 4), ['', '.', '%', '.'], [(18, 9), (13, 3), (14, 6)], [False, False, True, False], 88, False, [False, True, False, True], 1174, 'East', (16, 4))
Element 7: (2, (16, 4), ['', '%', '', '.'], [(18, 10), (13, 4), (13, 6)], [False, True, False, False], 86, False, [False, False, False, True], 1203, 'East', (17, 4))
Element 8: (2, (17, 4), ['', '%', '%', '%'], [(17, 10), (13, 5), (13, 7)], [False, True, True, True], 84, False, [False, False, False, False], 1242, 'West', (16, 4))
Element 9: (2, (16, 4), ['', '%', '', ''], [(16, 10), (13, 6), (13, 8)], [False, True, False, False], 82, False, [False, False, False, False], 1261, 'North', (16, 5))
Element 10: (2, (16, 5), ['%', '', '', '%'], [(15, 10), (14, 6), (14, 8)], [True, False, False, True], 80, False, [False, False, False, False], 1280, 'North', (16, 6))
Element 11: (2, (16, 6), ['G', '', '', ''], [(15, 9), (15, 6), (13, 8)], [False, False, False, False], 78, False, [False, False, False, False], 1289, 'East', (17, 6))
Element 12: (2, (17, 6), ['G', '%', '%', ''], [(15, 8), (16, 6), (13, 9)], [False, True, True, False], 76, False, [False, False, False, False], 1298, 'East', (18, 6))
Element 13: (2, (18, 6), ['G', '.', '', '%'], [(16, 8), (17, 6), (13, 10)], [False, False, False, True], 74, False, [False, True, False, False], 1307, 'South', (18, 5))
Element 14: (2, (18, 5), ['%', '%', 'G', '%'], [(16, 7), (18, 6), (12, 10)], [True, True, False, True], 72, False, [False, False, False, False], 2316, 'Stop', (18, 5))
Element 15: (2, (18, 5), ['%', '%', '', '%'], [(16, 8), (18, 7), (11, 10)], [True, True, False, True], 70, False, [False, False, False, False], 3315, 'North', (18, 6))
Element 16: (2, (18, 6), ['', '', '', '%'], [(15, 8), (18, 8), (10, 10)], [False, False, False, True], 68, False, [False, False, False, False], 3324, 'Stop', (18, 6))
Element 17: (2, (18, 6), ['', '', '', '%'], [(14, 8), (18, 9), (9, 10)], [False, False, False, True], 66, False, [False, False, False, False], 3333, 'West', (17, 6))
Element 18: (2, (17, 6), ['', '%', '%', ''], [(13, 8), (18, 10), (8, 10)], [False, True, True, False], 64, False, [False, False, False, False], 3342, 'West', (16, 6))
Element 19: (2, (16, 6), ['', '', '', ''], [(12, 8), (17, 10), (7, 10)], [False, False, False, False], 62, False, [False, False, False, False], 3361, 'North', (16, 7))
Element 20: (2, (16, 7), ['%', '', '', '%'], [(11, 8), (16, 10), (6, 10)], [True, False, False, True], 60, False, [False, False, False, False], 3380, 'North', (16, 8))
Element 21: (2, (16, 8), ['', '', '%', '%'], [(10, 8), (15, 10), (6, 9)], [False, False, True, True], 58, False, [False, False, False, False], 3399, 'West', (15, 8))
Element 22: (2, (15, 8), ['', '%', 'G', ''], [(9, 8), (15, 9), (6, 8)], [False, True, False, False], 56, False, [False, False, False, False], 3418, 'West', (14, 8))
Element 23: (2, (14, 8), ['', '%', '%', 'G'], [(8, 8), (15, 8), (7, 8)], [False, True, True, False], 54, False, [False, False, False, False], 3437, 'West', (13, 8))
Element 24: (2, (13, 8), ['', '', '', ''], [(7, 8), (16, 8), (6, 8)], [False, False, False, False], 52, False, [False, False, False, False], 3436, 'North', (13, 9))
Element 25: (2, (13, 9), ['%', '', '', '%'], [(6, 8), (16, 7), (6, 7)], [True, False, False, True], 50, False, [False, False, False, False], 3445, 'North', (13, 10))
Element 26: (2, (13, 10), ['', '', '%', '%'], [(5, 8), (16, 8), (6, 6)], [False, False, True, True], 48, False, [False, False, False, False], 3464, 'West', (12, 10))
Element 27: (2, (12, 10), ['', '%', '%', ''], [(4, 8), (15, 8), (6, 5)], [False, True, True, False], 46, False, [False, False, False, False], 3483, 'West', (11, 10))
Element 28: #1#
