Element 1: (3, (16, 8), ['.', '.', '%', '%'], [(5, 8), (11, 8), (17, 4)], [False, False, True, True], 98, False, [True, True, False, False], 29, 'South', (16, 7))
Element 2: (3, (16, 7), ['%', '.', '', '%'], [(6, 8), (12, 8), (16, 4)], [True, False, False, True], 96, False, [False, True, False, False], 58, 'South', (16, 6))
Element 3: (3, (16, 6), ['.', 'G', '', '.'], [(7, 8), (13, 8), (16, 5)], [False, False, False, False], 94, False, [True, False, False, True], 97, 'East', (17, 6))
Element 4: (3, (17, 6), ['G', '%', '%', '.'], [(8, 8), (14, 8), (16, 6)], [False, True, True, False], 92, False, [False, False, False, True], 126, 'East', (18, 6))
Element 5: (3, (18, 6), ['', '.', '.', '%'], [(9, 8), (15, 8), (15, 6)], [False, False, False, True], 90, False, [False, True, True, False], 165, 'North', (18, 7))
Element 6: (3, (18, 7), ['%', '', '.', '%'], [(10, 8), (15, 9), (14, 6)], [True, False, False, True], 88, False, [False, False, True, False], 194, 'North', (18, 8))
Element 7: (3, (18, 8), ['%', '', '.', '%'], [(11, 8), (15, 10), (13, 6)], [True, False, False, True], 86, False, [False, False, True, False], 223, 'North', (18, 9))
Element 8: (3, (18, 9), ['%', '', '.', '%'], [(12, 8), (16, 10), (13, 7)], [True, False, False, True], 84, False, [False, False, True, False], 252, 'North', (18, 10))
Element 9: (3, (18, 10), ['G', '', '%', '%'], [(13, 8), (17, 10), (13, 6)], [False, False, True, True], 82, False, [False, False, False, False], 271, 'South', (18, 9))
Element 10: (3, (18, 9), ['%', '', 'G', '%'], [(13, 9), (18, 10), (13, 5)], [True, False, False, True], 80, False, [False, False, False, False], 290, 'South', (18, 8))
Element 11: (3, (18, 8), ['%', '', 'G', '%'], [(13, 10), (18, 9), (13, 4)], [True, False, False, True], 78, False, [False, False, False, False], 309, 'South', (18, 7))
Element 12: (3, (18, 7), ['%', '', 'G', '%'], [(12, 10), (18, 8), (14, 4)], [True, False, False, True], 76, False, [False, False, False, False], 1318, 'South', (18, 6))
Element 13: (3, (18, 6), ['', '.', 'G', '%'], [(11, 10), (18, 7), (15, 4)], [False, False, False, True], 74, False, [False, True, False, False], 2327, 'South', (18, 5))
Element 14: (3, (18, 5), ['%', '%', 'G', '%'], [(10, 10), (18, 6), (15, 3)], [True, True, False, True], 72, False, [False, False, False, False], 2356, 'Stop', (18, 5))
Element 15: (3, (18, 5), ['%', '%', '', '%'], [(9, 10), (17, 6), (15, 2)], [True, True, False, True], 70, False, [False, False, False, False], 2375, 'North', (18, 6))
Element 16: (3, (18, 6), ['', '', '', '%'], [(8, 10), (16, 6), (16, 2)], [False, False, False, True], 68, False, [False, False, False, False], 2394, 'West', (17, 6))
Element 17: (3, (17, 6), ['', '%', '%', ''], [(7, 10), (16, 7), (17, 2)], [False, True, True, False], 66, False, [False, False, False, False], 2413, 'West', (16, 6))
Element 18: (3, (16, 6), ['', '', '', ''], [(6, 10), (16, 8), (17, 1)], [False, False, False, False], 64, False, [False, False, False, False], 2432, 'Stop', (16, 6))
Element 19: (3, (16, 6), ['', '', 'G', ''], [(6, 9), (16, 7), (18, 1)], [False, False, False, False], 62, False, [False, False, False, False], 2451, 'West', (15, 6))
Element 20: (3, (15, 6), ['', '%', '%', 'G'], [(6, 10), (16, 6), (18, 2)], [False, True, True, False], 60, False, [False, False, False, False], 2450, 'West', (14, 6))
Element 21: (3, (14, 6), ['', '%', '%', ''], [(7, 10), (16, 5), (18, 3)], [False, True, True, False], 58, False, [False, False, False, False], 2459, 'West', (13, 6))
Element 22: (3, (13, 6), ['%', '', '', ''], [(8, 10), (16, 4), (18, 2)], [True, False, False, False], 56, False, [False, False, False, False], 2458, 'North', (13, 7))
Element 23: (3, (13, 7), ['%', '', '', '%'], [(9, 10), (17, 4), (18, 1)], [True, False, False, True], 54, False, [False, False, False, False], 2457, 'North', (13, 8))
Element 24: (3, (13, 8), ['', '', '', ''], [(10, 10), (16, 4), (17, 1)], [False, False, False, False], 52, False, [False, False, False, False], 2456, 'East', (14, 8))
Element 25: (3, (14, 8), ['', '%', '%', ''], [(11, 10), (15, 4), (16, 1)], [False, True, True, False], 50, False, [False, False, False, False], 2465, 'East', (15, 8))
Element 26: (3, (15, 8), ['', '%', '', ''], [(12, 10), (15, 3), (15, 1)], [False, True, False, False], 48, False, [False, False, False, False], 2474, 'North', (15, 9))
Element 27: (3, (15, 9), ['%', '', '', '%'], [(13, 10), (15, 2), (16, 1)], [True, False, False, True], 46, False, [False, False, False, False], 2473, 'North', (15, 10))
Element 28: (3, (15, 10), ['%', '', '%', ''], [(13, 9), (16, 2), (17, 1)], [True, False, True, False], 44, False, [False, False, False, False], 2472, 'East', (16, 10))
Element 29: (3, (16, 10), ['', '%', '%', ''], [(13, 8), (17, 2), (16, 1)], [False, True, True, False], 42, False, [False, False, False, False], 2471, 'East', (17, 10))
Element 30: (3, (17, 10), ['', '%', '%', ''], [(14, 8), (18, 2), (15, 1)], [False, True, True, False], 40, False, [False, False, False, False], 2470, 'West', (16, 10))
Element 31: (3, (16, 10), ['', '%', '%', ''], [(15, 8), (18, 3), (15, 2)], [False, True, True, False], 38, False, [False, False, False, False], 2469, 'West', (15, 10))
Element 32: (3, (15, 10), ['%', '', '%', ''], [(16, 8), (18, 2), (16, 2)], [True, False, True, False], 36, False, [False, False, False, False], 2468, 'South', (15, 9))
Element 33: (3, (15, 9), ['%', '', '', '%'], [(16, 7), (18, 1), (16, 1)], [True, False, False, True], 34, False, [False, False, False, False], 2467, 'South', (15, 8))
Element 34: (3, (15, 8), ['', '%', '', ''], [(16, 6), (17, 1), (16, 2)], [False, True, False, False], 32, False, [False, False, False, False], 2466, 'West', (14, 8))
Element 35: (3, (14, 8), ['', '%', '%', ''], [(17, 6), (16, 1), (15, 2)], [False, True, True, False], 30, False, [False, False, False, False], 2465, 'West', (13, 8))
Element 36: (3, (13, 8), ['', '', '', ''], [(18, 6), (15, 1), (15, 3)], [False, False, False, False], 28, False, [False, False, False, False], 2464, 'North', (13, 9))
Element 37: (3, (13, 9), ['%', '', '', '%'], [(18, 7), (16, 1), (15, 2)], [True, False, False, True], 26, False, [False, False, False, False], 2463, 'North', (13, 10))
Element 38: (3, (13, 10), ['', '', '%', '%'], [(18, 8), (17, 1), (15, 3)], [False, False, True, True], 24, False, [False, False, False, False], 2462, 'West', (12, 10))
Element 39: (3, (12, 10), ['', '%', '%', ''], [(18, 9), (18, 1), (15, 4)], [False, True, True, False], 22, False, [False, False, False, False], 2461, 'West', (11, 10))
Element 40: (3, (11, 10), ['', '%', '%', ''], [(18, 10), (18, 2), (14, 4)], [False, True, True, False], 20, False, [False, False, False, False], 2460, 'West', (10, 10))
Element 41: (3, (10, 10), ['', '%', '%', ''], [(17, 10), (17, 2), (13, 4)], [False, True, True, False], 18, False, [False, False, False, False], 2459, 'West', (9, 10))
Element 42: (3, (9, 10), ['', '%', '%', ''], [(16, 10), (17, 1), (13, 3)], [False, True, True, False], 16, False, [False, False, False, False], 2468, 'West', (8, 10))
Element 43: (3, (8, 10), ['', '%', '%', ''], [(15, 10), (17, 2), (13, 2)], [False, True, True, False], 14, False, [False, False, False, False], 2477, 'West', (7, 10))
Element 44: (3, (7, 10), ['', '%', '%', ''], [(15, 9), (16, 2), (13, 1)], [False, True, True, False], 12, False, [False, False, False, False], 2486, 'West', (6, 10))
Element 45: (3, (6, 10), ['%', '', '%', ''], [(15, 10), (16, 1), (12, 1)], [True, False, True, False], 10, False, [False, False, False, False], 2495, 'South', (6, 9))
Element 46: (3, (6, 9), ['%', '', '', '%'], [(16, 10), (16, 2), (11, 1)], [True, False, False, True], 8, False, [False, False, False, False], 3494, 'South', (6, 8))
Element 47: (3, (6, 8), ['', '.', '', ''], [(17, 10), (15, 2), (11, 2)], [False, False, False, False], 6, False, [False, True, False, False], 3503, 'South', (6, 7))
Element 48: (3, (6, 7), ['%', '.', '', '%'], [(18, 10), (15, 1), (12, 2)], [True, False, False, True], 4, False, [False, True, False, False], 3522, 'South', (6, 6))
Element 49: (3, (6, 6), ['.', '.', '', '%'], [(18, 9), (15, 2), (11, 2)], [False, False, False, True], 2, False, [True, True, False, False], 3531, 'South', (6, 5))
Element 50: (3, (6, 5), ['%', '.', '', 'F'], [(18, 9), (15, 2), (11, 2)], [True, False, False, False], 0, False, [False, True, False, False], 3540, 'Stop', (6, 5))
Element 51: #0#
