Element 39: (1, (17, 6), ['', '%', '%', ''], [(13, 6), (13, 4), (4, 6)], [False, True, True, False], 22, False, [False, False, False, False], 3651, 'West', (16, 6))
Element 40: (1, (16, 6), ['', '', '', ''], [(14, 6), (12, 4), (5, 6)], [False, False, False, False], 20, False, [False, False, False, False], 3670, 'South', (16, 5))
Element 41: (1, (16, 5), ['%', '', '', '%'], [(15, 6), (11, 4), (6, 6)], [True, False, False, True], 18, False, [False, False, False, False], 3679, 'South', (16, 4))
Element 42: (1, (16, 4), ['', '%', '', ''], [(16, 6), (10, 4), (6, 7)], [False, True, False, False], 16, False, [False, False, False, False], 3688, 'East', (17, 4))
Element 43: (1, (17, 4), ['', '%', '%', '%'], [(17, 6), (9, 4), (6, 6)], [False, True, True, True], 14, False, [False, False, False, False], 3697, 'West', (16, 4))
Element 44: (1, (16, 4), ['', '%', '', ''], [(18, 6), (8, 4), (6, 5)], [False, True, False, False], 12, False, [False, False, False, False], 3696, 'West', (15, 4))
Element 45: (1, (15, 4), ['', '', '%', ''], [(18, 7), (7, 4), (6, 4)], [False, False, True, False], 10, False, [False, False, False, False], 3705, 'South', (15, 3))
Element 46: (1, (15, 3), ['%', '', '', '%'], [(18, 8), (7, 5), (6, 3)], [True, False, False, True], 8, False, [False, False, False, False], 3714, 'South', (15, 2))
Element 47: (1, (15, 2), ['%', '', '', ''], [(18, 9), (6, 5), (6, 2)], [True, False, False, False], 6, False, [False, False, False, False], 3723, 'East', (16, 2))
Element 48: (1, (16, 2), ['', '', '%', ''], [(18, 10), (6, 6), (7, 2)], [False, False, True, False], 4, False, [False, False, False, False], 3732, 'East', (17, 2))
Element 49: (1, (17, 2), ['', '', '%', ''], [(17, 10), (6, 7), (8, 2)], [False, False, True, False], 2, False, [False, False, False, False], 3741, 'East', (18, 2))
Element 50: (1, (18, 2), ['', '', '', '%'], [(17, 10), (6, 8), (9, 2)], [False, False, False, True], 0, False, [False, False, False, False], 3750, 'Stop', (18, 2))
Element 51: #0#
