Element 1: (3, (13, 2), ['.', '.', '.', '%'], [(4, 10), (1, 10), (9, 1)], [False, False, False, True], 98, False, [True, True, True, False], 29, 'North', (13, 3))
Element 2: (3, (13, 3), ['%', '', '.', '%'], [(3, 10), (2, 10), (10, 1)], [True, False, False, True], 96, False, [False, False, True, False], 68, 'North', (13, 4))
Element 3: (3, (13, 4), ['.', '', '.', '.'], [(4, 10), (3, 10), (11, 1)], [False, False, False, False], 94, False, [True, False, True, True], 1077, 'East', (14, 4))
Element 4: (3, (14, 4), ['', '%', '%', '.'], [(4, 9), (4, 10), (12, 1)], [False, True, True, False], 92, False, [False, False, False, True], 1096, 'East', (15, 4))
Element 5: (3, (15, 4), ['', '.', '%', '.'], [(4, 8), (4, 9), (13, 1)], [False, False, True, False], 90, False, [False, True, False, True], 1125, 'East', (16, 4))
Element 6: (3, (16, 4), ['', '%', '.', '.'], [(5, 8), (4, 8), (13, 2)], [False, True, False, False], 88, False, [False, False, True, True], 1144, 'East', (17, 4))
Element 7: (3, (17, 4), ['', '%', '%', '%'], [(6, 8), (3, 8), (12, 2)], [False, True, True, True], 86, False, [False, False, False, False], 1183, 'West', (16, 4))
Element 8: (3, (16, 4), ['', '%', '.', ''], [(7, 8), (3, 7), (11, 2)], [False, True, False, False], 84, False, [False, False, True, False], 1212, 'North', (16, 5))
Element 9: (3, (16, 5), ['%', '', '.', '%'], [(8, 8), (3, 6), (10, 2)], [True, False, False, True], 82, False, [False, False, True, False], 1251, 'North', (16, 6))
Element 10: (3, (16, 6), ['.', '', '.', '.'], [(9, 8), (4, 6), (9, 2)], [False, False, False, False], 80, False, [True, False, True, True], 1290, 'East', (17, 6))
Element 11: (3, (17, 6), ['', '%', '%', '.'], [(10, 8), (5, 6), (8, 2)], [False, True, True, False], 78, False, [False, False, False, True], 1329, 'East', (18, 6))
Element 12: (3, (18, 6), ['', '.', '.', '%'], [(11, 8), (6, 6), (7, 2)], [False, False, False, True], 76, False, [False, True, True, False], 1368, 'North', (18, 7))
Element 13: (3, (18, 7), ['%', '', '.', '%'], [(12, 8), (6, 7), (7, 1)], [True, False, False, True], 74, False, [False, False, True, False], 1407, 'North', (18, 8))
Element 14: (3, (18, 8), ['%', '', '.', '%'], [(13, 8), (6, 8), (6, 1)], [True, False, False, True], 72, False, [False, False, True, False], 1436, 'North', (18, 9))
Element 15: (3, (18, 9), ['%', '', '.', '%'], [(14, 8), (6, 9), (6, 2)], [True, False, False, True], 70, False, [False, False, True, False], 1475, 'North', (18, 10))
Element 16: (3, (18, 10), ['.', '', '%', '%'], [(15, 8), (6, 10), (6, 3)], [False, False, True, True], 68, False, [True, False, False, False], 1514, 'West', (17, 10))
Element 17: (3, (17, 10), ['.', '%', '%', ''], [(16, 8), (7, 10), (6, 4)], [False, True, True, False], 66, False, [True, False, False, False], 1553, 'West', (16, 10))
Element 18: (3, (16, 10), ['.', '%', '%', ''], [(16, 7), (8, 10), (7, 4)], [False, True, True, False], 64, False, [True, False, False, False], 1592, 'West', (15, 10))
Element 19: (3, (15, 10), ['%', '.', '%', ''], [(16, 6), (9, 10), (7, 5)], [True, False, True, False], 62, False, [False, True, False, False], 2611, 'South', (15, 9))
Element 20: (3, (15, 9), ['%', '', '', '%'], [(15, 6), (10, 10), (6, 5)], [True, False, False, True], 60, False, [False, False, False, False], 2650, 'South', (15, 8))
Element 21: (3, (15, 8), ['', '%', '', ''], [(14, 6), (11, 10), (6, 6)], [False, True, False, False], 58, False, [False, False, False, False], 3659, 'East', (16, 8))
Element 22: #1#
