Element 1: (0, (18, 10), ['.', '.', '%', '%'], [(9, 1), (13, 9), (16, 7)], [False, False, True, True], 98, False, [True, True, False, False], 0, 'South', (18, 9))
Element 2: (0, (18, 9), ['%', '.', '', '%'], [(10, 1), (13, 10), (16, 8)], [True, False, False, True], 96, False, [False, True, False, False], 39, 'South', (18, 8))
Element 3: (0, (18, 8), ['%', '.', '', '%'], [(11, 1), (12, 10), (15, 8)], [True, False, False, True], 94, False, [False, True, False, False], 2058, 'South', (18, 7))
Element 4: (0, (18, 7), ['%', '.', '', '%'], [(12, 1), (11, 10), (15, 9)], [True, False, False, True], 92, False, [False, True, False, False], 3087, 'South', (18, 6))
Element 5: (0, (18, 6), ['.', '.', '', '%'], [(13, 1), (10, 10), (15, 10)], [False, False, False, True], 90, False, [True, True, False, False], 3126, 'South', (18, 5))
Element 6: (0, (18, 5), ['%', '%', '', '%'], [(13, 2), (9, 10), (16, 10)], [True, True, False, True], 88, False, [False, False, False, False], 3165, 'North', (18, 6))
Element 7: (0, (18, 6), ['.', '', '', '%'], [(13, 3), (8, 10), (17, 10)], [False, False, False, True], 86, False, [True, False, False, False], 3194, 'West', (17, 6))
Element 8: (0, (17, 6), ['.', '%', '%', ''], [(13, 4), (7, 10), (18, 10)], [False, True, True, False], 84, False, [True, False, False, False], 3223, 'West', (16, 6))
Element 9: (0, (16, 6), ['.', '.', '', ''], [(14, 4), (6, 10), (18, 9)], [False, False, False, False], 82, False, [True, True, False, False], 3252, 'South', (16, 5))
Element 10: (0, (16, 5), ['%', '.', '', '%'], [(15, 4), (6, 9), (18, 8)], [True, False, False, True], 80, False, [False, True, False, False], 3281, 'South', (16, 4))
Element 11: (0, (16, 4), ['', '%', '', '.'], [(15, 3), (6, 8), (18, 7)], [False, True, False, False], 78, False, [False, False, False, True], 3310, 'East', (17, 4))
Element 12: (0, (17, 4), ['', '%', '%', '%'], [(15, 2), (7, 8), (18, 6)], [False, True, True, True], 76, False, [False, False, False, False], 3339, 'West', (16, 4))
