Element 1: (1, (6, 2), ['%', '.', '.', '.'], [(4, 2), (7, 1), (10, 4)], [True, False, False, False], 98, False, [False, True, True, True], 9, 'East', (7, 2))
Element 2: (1, (7, 2), ['', '', '%', '.'], [(4, 3), (8, 1), (11, 4)], [False, False, True, False], 96, False, [False, False, False, True], 48, 'East', (8, 2))
Element 3: (1, (8, 2), ['', '', '%', '.'], [(4, 4), (9, 1), (12, 4)], [False, False, True, False], 94, False, [False, False, False, True], 87, 'East', (9, 2))
Element 4: (1, (9, 2), ['', '', '%', '.'], [(5, 4), (10, 1), (13, 4)], [False, False, True, False], 92, False, [False, False, False, True], 126, 'East', (10, 2))
Element 5: (1, (10, 2), ['', '', '%', '.'], [(6, 4), (11, 1), (14, 4)], [False, False, True, False], 90, False, [False, False, False, True], 1155, 'East', (11, 2))
Element 6: (1, (11, 2), ['', '', '%', '.'], [(7, 4), (12, 1), (15, 4)], [False, False, True, False], 88, False, [False, False, False, True], 1194, 'East', (12, 2))
Element 7: (1, (12, 2), ['', '', '%', '.'], [(7, 5), (13, 1), (16, 4)], [False, False, True, False], 86, False, [False, False, False, True], 2223, 'East', (13, 2))
Element 8: (1, (13, 2), ['', '', '.', '%'], [(6, 5), (12, 1), (17, 4)], [False, False, False, True], 84, False, [False, False, True, False], 2252, 'North', (13, 3))
Element 9: (1, (13, 3), ['%', '', '', '%'], [(6, 6), (11, 1), (16, 4)], [True, False, False, True], 82, False, [False, False, False, False], 2271, 'North', (13, 4))
Element 10: (1, (13, 4), ['', '', '.', ''], [(6, 7), (10, 1), (16, 5)], [False, False, False, False], 80, False, [False, False, True, False], 2290, 'North', (13, 5))
Element 11: (1, (13, 5), ['%', '', '.', '%'], [(6, 8), (9, 1), (16, 6)], [True, False, False, True], 78, False, [False, False, True, False], 2319, 'North', (13, 6))
Element 12: (1, (13, 6), ['%', '', '.', '.'], [(7, 8), (8, 1), (17, 6)], [True, False, False, False], 76, False, [False, False, True, True], 2348, 'East', (14, 6))
Element 13: (1, (14, 6), ['', '%', '%', '.'], [(8, 8), (7, 1), (18, 6)], [False, True, True, False], 74, False, [False, False, False, True], 2377, 'East', (15, 6))
Element 14: (1, (15, 6), ['', '%', '%', ''], [(9, 8), (6, 1), (18, 7)], [False, True, True, False], 72, False, [False, False, False, False], 2416, 'East', (16, 6))
Element 15: (1, (16, 6), ['', '', '.', ''], [(10, 8), (6, 2), (18, 8)], [False, False, False, False], 70, False, [False, False, True, False], 2435, 'North', (16, 7))
Element 16: (1, (16, 7), ['%', '', '.', '%'], [(11, 8), (6, 3), (18, 9)], [True, False, False, True], 68, False, [False, False, True, False], 2474, 'North', (16, 8))
Element 17: (1, (16, 8), ['.', '', '%', '%'], [(12, 8), (6, 4), (18, 10)], [False, False, True, True], 66, False, [True, False, False, False], 2503, 'West', (15, 8))
Element 18: (1, (15, 8), ['.', '%', '.', ''], [(13, 8), (7, 4), (17, 10)], [False, True, False, False], 64, False, [True, False, True, False], 2532, 'North', (15, 9))
Element 19: (1, (15, 9), ['%', '', '.', '%'], [(14, 8), (8, 4), (16, 10)], [True, False, False, True], 62, False, [False, False, True, False], 2561, 'North', (15, 10))
Element 20: (1, (15, 10), ['%', '', '%', ''], [(15, 8), (9, 4), (17, 10)], [True, False, True, False], 60, False, [False, False, False, False], 2580, 'East', (16, 10))
Element 21: (1, (16, 10), ['', '%', '%', ''], [(16, 8), (10, 4), (18, 10)], [False, True, True, False], 58, False, [False, False, False, False], 2579, 'East', (17, 10))
Element 22: (1, (17, 10), ['', '%', '%', ''], [(16, 7), (11, 4), (18, 9)], [False, True, True, False], 56, False, [False, False, False, False], 2578, 'East', (18, 10))
Element 23: (1, (18, 10), ['', '', '%', '%'], [(16, 6), (12, 4), (18, 8)], [False, False, True, True], 54, False, [False, False, False, False], 2577, 'South', (18, 9))
Element 24: (1, (18, 9), ['%', '', '', '%'], [(17, 6), (13, 4), (18, 7)], [True, False, False, True], 52, False, [False, False, False, False], 2576, 'South', (18, 8))
Element 25: (1, (18, 8), ['%', '', '', '%'], [(16, 6), (14, 4), (18, 6)], [True, False, False, True], 50, False, [False, False, False, False], 2575, 'South', (18, 7))
Element 26: (1, (18, 7), ['%', '', '', '%'], [(16, 5), (15, 4), (18, 5)], [True, False, False, True], 48, False, [False, False, False, False], 2584, 'South', (18, 6))
Element 27: (1, (18, 6), ['', 'G', '', '%'], [(16, 4), (15, 3), (18, 5)], [False, False, False, True], 46, False, [False, False, False, False], 2593, 'West', (17, 6))
Element 28: (1, (17, 6), ['', '%', '%', 'G'], [(17, 4), (15, 2), (18, 6)], [False, True, True, False], 44, False, [False, False, False, False], 2602, 'West', (16, 6))
Element 29: (1, (16, 6), ['', '', '', 'G'], [(16, 4), (16, 2), (17, 6)], [False, False, False, False], 42, False, [False, False, False, False], 2611, 'North', (16, 7))
Element 30: (1, (16, 7), ['%', 'G', '', '%'], [(15, 4), (17, 2), (16, 6)], [True, False, False, True], 40, False, [False, False, False, False], 2620, 'North', (16, 8))
Element 31: (1, (16, 8), ['', '', '%', '%'], [(15, 3), (17, 1), (16, 6)], [False, False, True, True], 38, False, [False, False, False, False], 2629, 'Stop', (16, 8))
Element 32: (1, (16, 8), ['', '', '%', '%'], [(15, 2), (18, 1), (15, 6)], [False, False, True, True], 36, False, [False, False, False, False], 2638, 'Stop', (16, 8))
Element 33: (1, (16, 8), ['', '', '%', '%'], [(15, 1), (18, 2), (14, 6)], [False, False, True, True], 34, False, [False, False, False, False], 2647, 'Stop', (16, 8))
Element 34: (1, (16, 8), ['', '', '%', '%'], [(16, 1), (18, 3), (13, 6)], [False, False, True, True], 32, False, [False, False, False, False], 2666, 'Stop', (16, 8))
Element 35: (1, (16, 8), ['', '', '%', '%'], [(17, 1), (18, 2), (13, 7)], [False, False, True, True], 30, False, [False, False, False, False], 2675, 'Stop', (16, 8))
Element 36: (1, (16, 8), ['', '', '%', '%'], [(17, 2), (18, 1), (13, 8)], [False, False, True, True], 28, False, [False, False, False, False], 2674, 'Stop', (16, 8))
Element 37: (1, (16, 8), ['', '', '%', '%'], [(18, 2), (17, 1), (13, 9)], [False, False, True, True], 26, False, [False, False, False, False], 2683, 'West', (15, 8))
Element 38: (1, (15, 8), ['', '%', '', ''], [(18, 3), (16, 1), (13, 10)], [False, True, False, False], 24, False, [False, False, False, False], 2692, 'West', (14, 8))
Element 39: (1, (14, 8), ['', '%', '%', ''], [(18, 2), (15, 1), (12, 10)], [False, True, True, False], 22, False, [False, False, False, False], 3691, 'West', (13, 8))
Element 40: #1#
