Element 1: (1, (6, 8), ['.', '.', '.', '.'], [(2, 2), (7, 10), (15, 9)], [False, False, False, False], 98, False, [True, True, True, True], 9, 'East', (7, 8))
Element 2: (1, (7, 8), ['', '%', '%', '.'], [(3, 2), (8, 10), (15, 10)], [False, True, True, False], 96, False, [False, False, False, True], 48, 'East', (8, 8))
Element 3: (1, (8, 8), ['', '%', '%', '.'], [(4, 2), (9, 10), (16, 10)], [False, True, True, False], 94, False, [False, False, False, True], 87, 'East', (9, 8))
Element 4: (1, (9, 8), ['', '', '%', '.'], [(4, 3), (10, 10), (17, 10)], [False, False, True, False], 92, False, [False, False, False, True], 126, 'East', (10, 8))
Element 5: (1, (10, 8), ['', '', '%', '.'], [(4, 4), (11, 10), (18, 10)], [False, False, True, False], 90, False, [False, False, False, True], 1155, 'East', (11, 8))
Element 6: (1, (11, 8), ['', '%', '%', '.'], [(5, 4), (12, 10), (18, 9)], [False, True, True, False], 88, False, [False, False, False, True], 2184, 'East', (12, 8))
Element 7: (1, (12, 8), ['', '%', '%', '.'], [(6, 4), (13, 10), (18, 8)], [False, True, True, False], 86, False, [False, False, False, True], 2223, 'East', (13, 8))
Element 8: (1, (13, 8), ['', '.', 'G', '.'], [(7, 4), (13, 9), (18, 7)], [False, False, False, False], 84, False, [False, True, False, True], 2262, 'East', (14, 8))
Element 9: (1, (14, 8), ['G', '%', '%', '.'], [(7, 5), (13, 8), (18, 6)], [False, True, True, False], 82, False, [False, False, False, True], 3281, 'East', (15, 8))
Element 10: (1, (15, 8), ['', '%', '', '.'], [(6, 5), (13, 7), (18, 5)], [False, True, False, False], 80, False, [False, False, False, True], 3320, 'East', (16, 8))
Element 11: (1, (16, 8), ['', '.', '%', '%'], [(6, 6), (13, 6), (18, 6)], [False, False, True, True], 78, False, [False, True, False, False], 3349, 'South', (16, 7))
Element 12: (1, (16, 7), ['%', '.', '', '%'], [(6, 7), (14, 6), (17, 6)], [True, False, False, True], 76, False, [False, True, False, False], 3388, 'South', (16, 6))
Element 13: (1, (16, 6), ['G', '.', '', ''], [(6, 8), (15, 6), (18, 6)], [False, False, False, False], 74, False, [False, True, False, False], 3407, 'South', (16, 5))
Element 14: (1, (16, 5), ['%', '.', 'G', '%'], [(6, 9), (16, 6), (18, 7)], [True, False, False, True], 72, False, [False, True, False, False], 3426, 'South', (16, 4))
Element 15: (1, (16, 4), ['.', '%', '', '.'], [(6, 10), (17, 6), (18, 8)], [False, True, False, False], 70, False, [True, False, False, True], 3445, 'East', (17, 4))
Element 16: (1, (17, 4), ['', '%', '%', '%'], [(7, 10), (18, 6), (18, 9)], [False, True, True, True], 68, False, [False, False, False, False], 3454, 'West', (16, 4))
Element 17: (1, (16, 4), ['.', '%', '', ''], [(8, 10), (18, 7), (18, 10)], [False, True, False, False], 66, False, [True, False, False, False], 3453, 'West', (15, 4))
Element 18: (1, (15, 4), ['.', '.', '%', ''], [(9, 10), (18, 8), (17, 10)], [False, False, True, False], 64, False, [True, True, False, False], 3462, 'South', (15, 3))
Element 19: (1, (15, 3), ['%', '.', '', '%'], [(10, 10), (18, 9), (16, 10)], [True, False, False, True], 62, False, [False, True, False, False], 3471, 'South', (15, 2))
Element 20: (1, (15, 2), ['%', '.', '', '.'], [(11, 10), (18, 10), (15, 10)], [True, False, False, False], 60, False, [False, True, False, True], 3480, 'East', (16, 2))
Element 21: (1, (16, 2), ['', '.', '%', '.'], [(12, 10), (17, 10), (15, 9)], [False, False, True, False], 58, False, [False, True, False, True], 3489, 'East', (17, 2))
Element 22: (1, (17, 2), ['', '.', '%', ''], [(13, 10), (16, 10), (15, 8)], [False, False, True, False], 56, False, [False, True, False, False], 3498, 'South', (17, 1))
Element 23: (1, (17, 1), ['.', '%', '', '.'], [(13, 9), (15, 10), (16, 8)], [False, True, False, False], 54, False, [True, False, False, True], 3507, 'East', (18, 1))
Element 24: (1, (18, 1), ['', '%', '', '%'], [(13, 8), (15, 9), (16, 7)], [False, True, False, True], 52, False, [False, False, False, False], 3516, 'North', (18, 2))
Element 25: (1, (18, 2), ['', '', '.', '%'], [(14, 8), (15, 8), (16, 6)], [False, False, False, True], 50, False, [False, False, True, False], 3515, 'North', (18, 3))
Element 26: (1, (18, 3), ['%', '', '%', '%'], [(15, 8), (16, 8), (16, 5)], [True, False, True, True], 48, False, [False, False, False, False], 3524, 'South', (18, 2))
Element 27: (1, (18, 2), ['', '', '', '%'], [(16, 8), (16, 7), (16, 4)], [False, False, False, True], 46, False, [False, False, False, False], 3523, 'South', (18, 1))
Element 28: (1, (18, 1), ['', '%', '', '%'], [(16, 7), (16, 6), (17, 4)], [False, True, False, True], 44, False, [False, False, False, False], 3522, 'West', (17, 1))
Element 29: (1, (17, 1), ['.', '%', '', ''], [(16, 6), (16, 7), (16, 4)], [False, True, False, False], 42, False, [True, False, False, False], 3521, 'West', (16, 1))
Element 30: (1, (16, 1), ['.', '%', '', ''], [(17, 6), (16, 8), (15, 4)], [False, True, False, False], 40, False, [True, False, False, False], 3530, 'West', (15, 1))
Element 31: (1, (15, 1), ['%', '%', '', ''], [(18, 6), (16, 8), (14, 4)], [True, True, False, False], 38, False, [False, False, False, False], 3549, 'East', (16, 1))
Element 32: (1, (16, 1), ['', '%', '', ''], [(18, 7), (16, 8), (13, 4)], [False, True, False, False], 36, False, [False, False, False, False], 3558, 'East', (17, 1))
Element 33: (1, (17, 1), ['', '%', '', ''], [(18, 8), (16, 8), (13, 5)], [False, True, False, False], 34, False, [False, False, False, False], 3567, 'North', (17, 2))
Element 34: (1, (17, 2), ['', '', '%', ''], [(18, 9), (16, 8), (13, 6)], [False, False, True, False], 32, False, [False, False, False, False], 3566, 'East', (18, 2))
Element 35: (1, (18, 2), ['', '', '', '%'], [(18, 10), (15, 8), (14, 6)], [False, False, False, True], 30, False, [False, False, False, False], 3565, 'West', (17, 2))
Element 36: (1, (17, 2), ['', '', '%', ''], [(17, 10), (16, 8), (15, 6)], [False, False, True, False], 28, False, [False, False, False, False], 3564, 'West', (16, 2))
Element 37: (1, (16, 2), ['', '', '%', ''], [(16, 10), (16, 7), (14, 6)], [False, False, True, False], 26, False, [False, False, False, False], 3563, 'South', (16, 1))
Element 38: (1, (16, 1), ['', '%', '', ''], [(15, 10), (16, 6), (13, 6)], [False, True, False, False], 24, False, [False, False, False, False], 3562, 'North', (16, 2))
Element 39: (1, (16, 2), ['', '', '%', ''], [(15, 9), (16, 5), (13, 7)], [False, False, True, False], 22, False, [False, False, False, False], 3561, 'West', (15, 2))
Element 40: (1, (15, 2), ['%', '', '', ''], [(15, 10), (16, 4), (13, 8)], [True, False, False, False], 20, False, [False, False, False, False], 3560, 'South', (15, 1))
Element 41: (1, (15, 1), ['%', '%', '', ''], [(16, 10), (17, 4), (14, 8)], [True, True, False, False], 18, False, [False, False, False, False], 3559, 'North', (15, 2))
Element 42: (1, (15, 2), ['%', '', '', ''], [(17, 10), (16, 4), (13, 8)], [True, False, False, False], 16, False, [False, False, False, False], 3558, 'North', (15, 3))
Element 43: (1, (15, 3), ['%', '', 'G', '%'], [(18, 10), (15, 4), (13, 9)], [True, False, False, True], 14, False, [False, False, False, False], 3557, 'South', (15, 2))
Element 44: (1, (15, 2), ['%', '', 'G', ''], [(18, 9), (15, 3), (13, 10)], [True, False, False, False], 12, False, [False, False, False, False], 3556, 'North', (15, 3))
Element 45: (1, (15, 3), ['%', 'G', '', '%'], [(18, 8), (15, 2), (12, 10)], [True, False, False, True], 10, False, [False, False, False, False], 3555, 'North', (15, 4))
Element 46: (1, (15, 4), ['', '', '%', ''], [(18, 7), (16, 2), (11, 10)], [False, False, True, False], 8, False, [False, False, False, False], 3554, 'East', (16, 4))
Element 47: (1, (16, 4), ['', '%', '', ''], [(18, 6), (17, 2), (10, 10)], [False, True, False, False], 6, False, [False, False, False, False], 3553, 'North', (16, 5))
Element 48: (1, (16, 5), ['%', '', '', '%'], [(18, 5), (18, 2), (9, 10)], [True, False, False, True], 4, False, [False, False, False, False], 3552, 'North', (16, 6))
Element 49: (1, (16, 6), ['', '', '', ''], [(18, 6), (18, 3), (8, 10)], [False, False, False, False], 2, False, [False, False, False, False], 3551, 'East', (17, 6))
Element 50: (1, (17, 6), ['', '%', '%', 'G'], [(18, 6), (18, 2), (7, 10)], [False, True, True, False], 0, False, [False, False, False, False], 3550, 'Stop', (17, 6))
Element 51: #0#
