Element 1: (1, (1, 2), ['%', '', '.', '.'], [(4, 8), (2, 1), (6, 7)], [True, False, False, False], 98, False, [False, False, True, True], 9, 'East', (2, 2))
Element 2: (1, (2, 2), ['', '', '%', '.'], [(5, 8), (3, 1), (6, 8)], [False, False, True, False], 96, False, [False, False, False, True], 48, 'East', (3, 2))
Element 3: (1, (3, 2), ['', '', '%', '.'], [(6, 8), (4, 1), (7, 8)], [False, False, True, False], 94, False, [False, False, False, True], 77, 'East', (4, 2))
Element 4: (1, (4, 2), ['', '', '.', '%'], [(6, 9), (3, 1), (8, 8)], [False, False, False, True], 92, False, [False, False, True, False], 106, 'North', (4, 3))
Element 5: (1, (4, 3), ['%', '', '.', '%'], [(6, 10), (2, 1), (9, 8)], [True, False, False, True], 90, False, [False, False, True, False], 135, 'North', (4, 4))
Element 6: (1, (4, 4), ['.', '', '%', '.'], [(7, 10), (1, 1), (10, 8)], [False, False, True, False], 88, False, [True, False, False, True], 164, 'East', (5, 4))
Element 7: (1, (5, 4), ['', '%', '%', '.'], [(8, 10), (1, 2), (11, 8)], [False, True, True, False], 86, False, [False, False, False, True], 193, 'East', (6, 4))
Element 8: (1, (6, 4), ['', '.', '.', '.'], [(9, 10), (1, 3), (12, 8)], [False, False, False, False], 84, False, [False, True, True, True], 232, 'East', (7, 4))
Element 9: (1, (7, 4), ['', '%', 'F', ''], [(10, 10), (1, 4), (13, 8)], [False, True, False, False], 82, False, [False, False, False, False], 271, 'North', (7, 5))
Element 10: (1, (7, 5), ['.', '', '%', '%'], [(11, 10), (1, 5), (14, 8)], [False, False, True, True], 80, False, [True, False, False, False], 2290, 'West', (6, 5))
Element 11: (1, (6, 5), ['%', '', '.', ''], [(12, 10), (1, 6), (15, 8)], [True, False, False, False], 78, False, [False, False, True, False], 3319, 'North', (6, 6))
Element 12: (1, (6, 6), ['.', '', '', '%'], [(13, 10), (2, 6), (16, 8)], [False, False, False, True], 76, False, [True, False, False, False], 3358, 'West', (5, 6))
Element 13: (1, (5, 6), ['.', '%', '%', ''], [(13, 9), (3, 6), (16, 7)], [False, True, True, False], 74, False, [True, False, False, False], 3397, 'West', (4, 6))
Element 14: (1, (4, 6), ['', '%', '%', ''], [(13, 8), (3, 7), (16, 6)], [False, True, True, False], 72, False, [False, False, False, False], 3426, 'West', (3, 6))
Element 15: (1, (3, 6), ['', '.', '', ''], [(13, 7), (3, 8), (17, 6)], [False, False, False, False], 70, False, [False, True, False, False], 3445, 'South', (3, 5))
Element 16: (1, (3, 5), ['%', '.', '', '%'], [(13, 6), (4, 8), (18, 6)], [True, False, False, True], 68, False, [False, True, False, False], 3474, 'South', (3, 4))
Element 17: (1, (3, 4), ['%', '%', '', ''], [(14, 6), (4, 9), (18, 7)], [True, True, False, False], 66, False, [False, False, False, False], 3513, 'North', (3, 5))
Element 18: (1, (3, 5), ['%', '', '', '%'], [(15, 6), (4, 10), (18, 8)], [True, False, False, True], 64, False, [False, False, False, False], 3542, 'North', (3, 6))
Element 19: (1, (3, 6), ['', '', '', ''], [(16, 6), (3, 10), (18, 9)], [False, False, False, False], 62, False, [False, False, False, False], 3561, 'North', (3, 7))
Element 20: (1, (3, 7), ['%', '', '', '%'], [(16, 5), (2, 10), (18, 10)], [True, False, False, True], 60, False, [False, False, False, False], 3590, 'North', (3, 8))
Element 21: (1, (3, 8), ['%', '', '%', ''], [(16, 4), (1, 10), (17, 10)], [True, False, True, False], 58, False, [False, False, False, False], 3619, 'East', (4, 8))
Element 22: (1, (4, 8), ['', '%', '', ''], [(17, 4), (1, 9), (16, 10)], [False, True, False, False], 56, False, [False, False, False, False], 3648, 'East', (5, 8))
Element 23: (1, (5, 8), ['', '%', '%', ''], [(16, 4), (1, 8), (15, 10)], [False, True, True, False], 54, False, [False, False, False, False], 3667, 'East', (6, 8))
Element 24: (1, (6, 8), ['', '', '', ''], [(15, 4), (1, 7), (15, 9)], [False, False, False, False], 52, False, [False, False, False, False], 3696, 'East', (7, 8))
Element 25: (1, (7, 8), ['', '%', '%', ''], [(15, 3), (1, 8), (15, 10)], [False, True, True, False], 50, False, [False, False, False, False], 3705, 'East', (8, 8))
Element 26: (1, (8, 8), ['', '%', '%', ''], [(15, 2), (1, 9), (16, 10)], [False, True, True, False], 48, False, [False, False, False, False], 3714, 'East', (9, 8))
Element 27: (1, (9, 8), ['', '', '%', ''], [(16, 2), (1, 10), (17, 10)], [False, False, True, False], 46, False, [False, False, False, False], 3723, 'East', (10, 8))
Element 28: (1, (10, 8), ['', '', '%', ''], [(17, 2), (2, 10), (18, 10)], [False, False, True, False], 44, False, [False, False, False, False], 3732, 'East', (11, 8))
Element 29: (1, (11, 8), ['', '%', '%', ''], [(17, 1), (3, 10), (18, 9)], [False, True, True, False], 42, False, [False, False, False, False], 3741, 'East', (12, 8))
Element 30: (1, (12, 8), ['', '%', '%', ''], [(18, 1), (4, 10), (18, 8)], [False, True, True, False], 40, False, [False, False, False, False], 3750, 'East', (13, 8))
Element 31: (1, (13, 8), ['', '', '', ''], [(18, 2), (4, 9), (18, 7)], [False, False, False, False], 38, False, [False, False, False, False], 3749, 'East', (14, 8))
Element 32: (1, (14, 8), ['', '%', '%', ''], [(18, 3), (4, 8), (18, 6)], [False, True, True, False], 36, False, [False, False, False, False], 3758, 'East', (15, 8))
Element 33: (1, (15, 8), ['', '%', '', ''], [(18, 2), (5, 8), (18, 5)], [False, True, False, False], 34, False, [False, False, False, False], 3767, 'East', (16, 8))
Element 34: (1, (16, 8), ['', '', '%', '%'], [(18, 1), (6, 8), (18, 6)], [False, False, True, True], 32, False, [False, False, False, False], 3766, 'South', (16, 7))
Element 35: (1, (16, 7), ['%', '', '', '%'], [(17, 1), (7, 8), (17, 6)], [True, False, False, True], 30, False, [False, False, False, False], 3765, 'South', (16, 6))
Element 36: (1, (16, 6), ['', '', '', ''], [(16, 1), (8, 8), (18, 6)], [False, False, False, False], 28, False, [False, False, False, False], 3774, 'East', (17, 6))
Element 37: (1, (17, 6), ['', '%', '%', ''], [(15, 1), (9, 8), (18, 5)], [False, True, True, False], 26, False, [False, False, False, False], 3783, 'East', (18, 6))
Element 38: (1, (18, 6), ['', '', '', '%'], [(16, 1), (10, 8), (18, 6)], [False, False, False, True], 24, False, [False, False, False, False], 3782, 'North', (18, 7))
Element 39: (1, (18, 7), ['%', '', '', '%'], [(17, 1), (11, 8), (17, 6)], [True, False, False, True], 22, False, [False, False, False, False], 3781, 'North', (18, 8))
Element 40: (1, (18, 8), ['%', '', '', '%'], [(17, 2), (12, 8), (16, 6)], [True, False, False, True], 20, False, [False, False, False, False], 3780, 'North', (18, 9))
Element 41: (1, (18, 9), ['%', '', '', '%'], [(18, 2), (13, 8), (16, 7)], [True, False, False, True], 18, False, [False, False, False, False], 3779, 'North', (18, 10))
Element 42: (1, (18, 10), ['', '', '%', '%'], [(17, 2), (14, 8), (16, 8)], [False, False, True, True], 16, False, [False, False, False, False], 3778, 'West', (17, 10))
Element 43: (1, (17, 10), ['', '%', '%', ''], [(16, 2), (15, 8), (16, 7)], [False, True, True, False], 14, False, [False, False, False, False], 3777, 'West', (16, 10))
Element 44: (1, (16, 10), ['', '%', '%', ''], [(16, 1), (16, 8), (16, 8)], [False, True, True, False], 12, False, [False, False, False, False], 3776, 'West', (15, 10))
Element 45: (1, (15, 10), ['%', '', '%', ''], [(16, 2), (16, 7), (15, 8)], [True, False, True, False], 10, False, [False, False, False, False], 3775, 'South', (15, 9))
Element 46: (1, (15, 9), ['%', '', '', '%'], [(15, 2), (16, 6), (14, 8)], [True, False, False, True], 8, False, [False, False, False, False], 3774, 'North', (15, 10))
Element 47: (1, (15, 10), ['%', '', '%', ''], [(15, 1), (17, 6), (13, 8)], [True, False, True, False], 6, False, [False, False, False, False], 3773, 'East', (16, 10))
Element 48: (1, (16, 10), ['', '%', '%', ''], [(15, 2), (18, 6), (13, 9)], [False, True, True, False], 4, False, [False, False, False, False], 3772, 'East', (17, 10))
Element 49: (1, (17, 10), ['', '%', '%', ''], [(15, 3), (18, 7), (13, 10)], [False, True, True, False], 2, False, [False, False, False, False], 3771, 'East', (18, 10))
Element 50: (1, (18, 10), ['', '', '%', '%'], [(15, 3), (18, 8), (12, 10)], [False, False, True, True], 0, False, [False, False, False, False], 3770, 'Stop', (18, 10))
Element 51: #0#
