Element 1: (3, (16, 5), ['%', '.', 'G', '%'], [(16, 6), (6, 7), (15, 4)], [True, False, False, True], 98, False, [False, True, False, False], 29, 'South', (16, 4))
Element 2: (3, (16, 4), ['', '%', '', '.'], [(17, 6), (6, 8), (15, 3)], [False, True, False, False], 96, False, [False, False, False, True], 68, 'East', (17, 4))
Element 3: (3, (17, 4), ['', '%', '%', '%'], [(18, 6), (7, 8), (15, 2)], [False, True, True, True], 94, False, [False, False, False, False], 107, 'West', (16, 4))
Element 4: (3, (16, 4), ['', '%', '', ''], [(18, 7), (8, 8), (16, 2)], [False, True, False, False], 92, False, [False, False, False, False], 136, 'West', (15, 4))
Element 5: (3, (15, 4), ['', '', '%', ''], [(18, 8), (9, 8), (17, 2)], [False, False, True, False], 90, False, [False, False, False, False], 165, 'South', (15, 3))
Element 6: (3, (15, 3), ['%', '', '', '%'], [(18, 9), (10, 8), (17, 1)], [True, False, False, True], 88, False, [False, False, False, False], 194, 'South', (15, 2))
Element 7: (3, (15, 2), ['%', '.', '', ''], [(18, 10), (11, 8), (18, 1)], [True, False, False, False], 86, False, [False, True, False, False], 223, 'South', (15, 1))
Element 8: (3, (15, 1), ['%', '%', '', '.'], [(17, 10), (12, 8), (18, 2)], [True, True, False, False], 84, False, [False, False, False, True], 252, 'East', (16, 1))
Element 9: (3, (16, 1), ['', '%', '', ''], [(16, 10), (13, 8), (18, 3)], [False, True, False, False], 82, False, [False, False, False, False], 291, 'East', (17, 1))
Element 10: (3, (17, 1), ['', '%', '', ''], [(15, 10), (14, 8), (18, 2)], [False, True, False, False], 80, False, [False, False, False, False], 310, 'East', (18, 1))
Element 11: (3, (18, 1), ['', '%', '', '%'], [(15, 9), (15, 8), (17, 2)], [False, True, False, True], 78, False, [False, False, False, False], 329, 'North', (18, 2))
Element 12: (3, (18, 2), ['', '', '', '%'], [(15, 10), (16, 8), (17, 1)], [False, False, False, True], 76, False, [False, False, False, False], 338, 'North', (18, 3))
Element 13: (3, (18, 3), ['%', '', '%', '%'], [(16, 10), (16, 7), (16, 1)], [True, False, True, True], 74, False, [False, False, False, False], 347, 'South', (18, 2))
Element 14: (3, (18, 2), ['', '', '', '%'], [(17, 10), (16, 6), (15, 1)], [False, False, False, True], 72, False, [False, False, False, False], 346, 'West', (17, 2))
Element 15: (3, (17, 2), ['', '', '%', ''], [(18, 10), (17, 6), (16, 1)], [False, False, True, False], 70, False, [False, False, False, False], 345, 'West', (16, 2))
Element 16: (3, (16, 2), ['', '', '%', ''], [(18, 9), (18, 6), (17, 1)], [False, False, True, False], 68, False, [False, False, False, False], 344, 'East', (17, 2))
Element 17: (3, (17, 2), ['', '', '%', ''], [(18, 8), (18, 5), (16, 1)], [False, False, True, False], 66, False, [False, False, False, False], 353, 'East', (18, 2))
Element 18: (3, (18, 2), ['', '', '', '%'], [(18, 7), (18, 6), (15, 1)], [False, False, False, True], 64, False, [False, False, False, False], 352, 'South', (18, 1))
Element 19: (3, (18, 1), ['', '%', '', '%'], [(18, 8), (18, 7), (15, 2)], [False, True, False, True], 62, False, [False, False, False, False], 351, 'West', (17, 1))
Element 20: (3, (17, 1), ['', '%', '', ''], [(18, 7), (18, 8), (16, 2)], [False, True, False, False], 60, False, [False, False, False, False], 350, 'North', (17, 2))
Element 21: (3, (17, 2), ['', '', '%', ''], [(18, 6), (18, 9), (16, 1)], [False, False, True, False], 58, False, [False, False, False, False], 349, 'South', (17, 1))
Element 22: (3, (17, 1), ['', '%', '', ''], [(17, 6), (18, 10), (16, 2)], [False, True, False, False], 56, False, [False, False, False, False], 348, 'West', (16, 1))
Element 23: (3, (16, 1), ['', '%', '', ''], [(16, 6), (17, 10), (15, 2)], [False, True, False, False], 54, False, [False, False, False, False], 347, 'North', (16, 2))
Element 24: (3, (16, 2), ['', '', '%', ''], [(16, 7), (16, 10), (15, 1)], [False, False, True, False], 52, False, [False, False, False, False], 346, 'South', (16, 1))
Element 25: (3, (16, 1), ['', '%', '', ''], [(16, 8), (15, 10), (15, 2)], [False, True, False, False], 50, False, [False, False, False, False], 345, 'West', (15, 1))
Element 26: (3, (15, 1), ['%', '%', '', ''], [(15, 8), (15, 9), (15, 3)], [True, True, False, False], 48, False, [False, False, False, False], 344, 'North', (15, 2))
Element 27: (3, (15, 2), ['%', '', '', ''], [(14, 8), (15, 10), (15, 4)], [True, False, False, False], 46, False, [False, False, False, False], 343, 'East', (16, 2))
Element 28: (3, (16, 2), ['', '', '%', ''], [(13, 8), (16, 10), (14, 4)], [False, False, True, False], 44, False, [False, False, False, False], 342, 'West', (15, 2))
Element 29: (3, (15, 2), ['%', '', '', ''], [(13, 9), (17, 10), (13, 4)], [True, False, False, False], 42, False, [False, False, False, False], 361, 'North', (15, 3))
Element 30: (3, (15, 3), ['%', '', '', '%'], [(13, 10), (18, 10), (13, 5)], [True, False, False, True], 40, False, [False, False, False, False], 380, 'North', (15, 4))
Element 31: (3, (15, 4), ['', '', '%', ''], [(12, 10), (18, 9), (13, 6)], [False, False, True, False], 38, False, [False, False, False, False], 1389, 'West', (14, 4))
Element 32: (3, (14, 4), ['', '%', '%', ''], [(11, 10), (18, 8), (14, 6)], [False, True, True, False], 36, False, [False, False, False, False], 2398, 'West', (13, 4))
Element 33: (3, (13, 4), ['.', '.', '', ''], [(10, 10), (18, 7), (15, 6)], [False, False, False, False], 34, False, [True, True, False, False], 2407, 'South', (13, 3))
Element 34: (3, (13, 3), ['%', '.', '', '%'], [(9, 10), (18, 6), (16, 6)], [True, False, False, True], 32, False, [False, True, False, False], 2426, 'South', (13, 2))
Element 35: (3, (13, 2), ['.', '.', '', '%'], [(8, 10), (17, 6), (16, 7)], [False, False, False, True], 30, False, [True, True, False, False], 2445, 'South', (13, 1))
Element 36: (3, (13, 1), ['.', '%', '', '%'], [(7, 10), (16, 6), (16, 8)], [False, True, False, True], 28, False, [True, False, False, False], 2464, 'West', (12, 1))
Element 37: (3, (12, 1), ['F', '%', '.', ''], [(6, 10), (16, 5), (15, 8)], [False, True, False, False], 26, False, [False, False, True, False], 2483, 'West', (11, 1))
Element 38: (3, (11, 1), ['.', '%', '.', ''], [(6, 9), (16, 4), (15, 9)], [False, True, False, False], 24, False, [True, False, True, False], 3492, 'North', (11, 2))
Element 39: (3, (11, 2), ['.', '', '%', '.'], [(6, 8), (17, 4), (15, 10)], [False, False, True, False], 22, False, [True, False, False, True], 3501, 'East', (12, 2))
Element 40: (3, (12, 2), ['', '', '%', ''], [(5, 8), (16, 4), (16, 10)], [False, False, True, False], 20, False, [False, False, False, False], 3520, 'West', (11, 2))
Element 41: (3, (11, 2), ['.', '', '%', ''], [(4, 8), (15, 4), (17, 10)], [False, False, True, False], 18, False, [True, False, False, False], 3529, 'West', (10, 2))
Element 42: (3, (10, 2), ['.', '.', '%', ''], [(4, 9), (15, 3), (18, 10)], [False, False, True, False], 16, False, [True, True, False, False], 3548, 'South', (10, 1))
Element 43: (3, (10, 1), ['.', '%', '', ''], [(4, 10), (15, 2), (18, 9)], [False, True, False, False], 14, False, [True, False, False, False], 3567, 'West', (9, 1))
Element 44: (3, (9, 1), ['.', '%', '.', ''], [(3, 10), (16, 2), (18, 8)], [False, True, False, False], 12, False, [True, False, True, False], 3586, 'North', (9, 2))
Element 45: (3, (9, 2), ['.', '', '%', ''], [(2, 10), (17, 2), (18, 7)], [False, False, True, False], 10, False, [True, False, False, False], 3605, 'West', (8, 2))
Element 46: (3, (8, 2), ['.', '.', '%', ''], [(1, 10), (18, 2), (18, 6)], [False, False, True, False], 8, False, [True, True, False, False], 3624, 'South', (8, 1))
Element 47: (3, (8, 1), ['.', '%', '', ''], [(1, 9), (18, 3), (18, 5)], [False, True, False, False], 6, False, [True, False, False, False], 3643, 'West', (7, 1))
Element 48: (3, (7, 1), ['.', '%', '.', ''], [(1, 8), (18, 2), (18, 6)], [False, True, False, False], 4, False, [True, False, True, False], 3662, 'North', (7, 2))
Element 49: (3, (7, 2), ['.', '', '%', ''], [(1, 7), (18, 1), (17, 6)], [False, False, True, False], 2, False, [True, False, False, False], 3681, 'West', (6, 2))
Element 50: (3, (6, 2), ['%', '.', '.', ''], [(1, 7), (18, 1), (17, 6)], [True, False, False, False], 0, False, [False, True, True, False], 3690, 'Stop', (6, 2))
Element 51: #0#
