Element 1: (2, (8, 2), ['.', '.', '%', '.'], [(9, 8), (1, 5), (14, 4)], [False, False, True, False], 98, False, [True, True, False, True], 19, 'East', (9, 2))
Element 2: (2, (9, 2), ['', '.', '%', '.'], [(10, 8), (1, 6), (15, 4)], [False, False, True, False], 96, False, [False, True, False, True], 58, 'East', (10, 2))
Element 3: (2, (10, 2), ['', '.', '%', '.'], [(11, 8), (2, 6), (16, 4)], [False, False, True, False], 94, False, [False, True, False, True], 97, 'East', (11, 2))
Element 4: (2, (11, 2), ['', 'F', '%', '.'], [(12, 8), (3, 6), (17, 4)], [False, False, True, False], 92, False, [False, False, False, True], 136, 'South', (11, 1))
Element 5: (2, (11, 1), ['.', '%', '', '.'], [(13, 8), (4, 6), (16, 4)], [False, True, False, False], 90, False, [True, False, False, True], 1155, 'East', (12, 1))
Element 6: (2, (12, 1), ['', '%', '.', '.'], [(14, 8), (5, 6), (16, 5)], [False, True, False, False], 88, False, [False, False, True, True], 1194, 'East', (13, 1))
Element 7: (2, (13, 1), ['', '%', '.', '%'], [(15, 8), (6, 6), (16, 6)], [False, True, False, True], 86, False, [False, False, True, False], 1233, 'North', (13, 2))
Element 8: (2, (13, 2), ['.', '', '.', '%'], [(16, 8), (6, 7), (17, 6)], [False, False, False, True], 84, False, [True, False, True, False], 1272, 'North', (13, 3))
Element 9: (2, (13, 3), ['%', '', '.', '%'], [(16, 7), (6, 8), (18, 6)], [True, False, False, True], 82, False, [False, False, True, False], 1311, 'North', (13, 4))
Element 10: (2, (13, 4), ['.', '', '.', ''], [(16, 6), (7, 8), (18, 7)], [False, False, False, False], 80, False, [True, False, True, False], 1340, 'North', (13, 5))
Element 11: (2, (13, 5), ['%', '', '.', '%'], [(15, 6), (8, 8), (18, 8)], [True, False, False, True], 78, False, [False, False, True, False], 1369, 'North', (13, 6))
Element 12: (2, (13, 6), ['%', '', '.', 'G'], [(14, 6), (9, 8), (18, 9)], [True, False, False, False], 76, False, [False, False, True, False], 1398, 'North', (13, 7))
Element 13: (2, (13, 7), ['%', 'G', '', '%'], [(13, 6), (10, 8), (18, 10)], [True, False, False, True], 74, False, [False, False, False, False], 1417, 'North', (13, 8))
Element 14: (2, (13, 8), ['', 'G', '.', ''], [(13, 7), (11, 8), (17, 10)], [False, False, False, False], 72, False, [False, False, True, False], 1426, 'North', (13, 9))
Element 15: (2, (13, 9), ['%', '', '.', '%'], [(13, 6), (12, 8), (16, 10)], [True, False, False, True], 70, False, [False, False, True, False], 1445, 'North', (13, 10))
Element 16: (2, (13, 10), ['F', '', '%', '%'], [(13, 5), (13, 8), (15, 10)], [False, False, True, True], 68, False, [False, False, False, False], 1464, 'West', (12, 10))
Element 17: (2, (12, 10), ['F', '%', '%', ''], [(13, 4), (14, 8), (15, 9)], [False, True, True, False], 66, False, [False, False, False, False], 2473, 'West', (11, 10))
Element 18: (2, (11, 10), ['.', '%', '%', ''], [(12, 4), (13, 8), (15, 8)], [False, True, True, False], 64, False, [True, False, False, False], 3482, 'West', (10, 10))
Element 19: (2, (10, 10), ['.', '%', '%', ''], [(11, 4), (13, 9), (16, 8)], [False, True, True, False], 62, False, [True, False, False, False], 3501, 'West', (9, 10))
Element 20: (2, (9, 10), ['.', '%', '%', ''], [(10, 4), (13, 10), (16, 7)], [False, True, True, False], 60, False, [True, False, False, False], 3520, 'West', (8, 10))
Element 21: (2, (8, 10), ['.', '%', '%', ''], [(9, 4), (12, 10), (16, 8)], [False, True, True, False], 58, False, [True, False, False, False], 3539, 'West', (7, 10))
Element 22: (2, (7, 10), ['.', '%', '%', ''], [(8, 4), (11, 10), (15, 8)], [False, True, True, False], 56, False, [True, False, False, False], 3548, 'West', (6, 10))
Element 23: (2, (6, 10), ['%', '.', '%', ''], [(7, 4), (10, 10), (14, 8)], [True, False, True, False], 54, False, [False, True, False, False], 3567, 'South', (6, 9))
Element 24: #1#
