Element 1: (0, (12, 2), ['.', '.', '%', '.'], [(3, 5), (6, 5), (13, 3)], [False, False, True, False], 98, False, [True, True, False, True], 0, 'East', (13, 2))
Element 2: (0, (13, 2), ['', '.', '', '%'], [(3, 6), (7, 5), (13, 4)], [False, False, False, True], 96, False, [False, True, False, False], 1029, 'South', (13, 1))
Element 3: (0, (13, 1), ['.', '%', '', '%'], [(4, 6), (7, 4), (14, 4)], [False, True, False, True], 94, False, [True, False, False, False], 1068, 'West', (12, 1))
Element 4: (0, (12, 1), ['F', '%', '', ''], [(5, 6), (6, 4), (15, 4)], [False, True, False, False], 92, False, [False, False, False, False], 1107, 'West', (11, 1))
Element 5: (0, (11, 1), ['.', '%', '.', ''], [(6, 6), (6, 3), (16, 4)], [False, True, False, False], 90, False, [True, False, True, False], 2136, 'North', (11, 2))
Element 6: (0, (11, 2), ['.', '', '%', ''], [(6, 7), (6, 2), (17, 4)], [False, False, True, False], 88, False, [True, False, False, False], 2175, 'West', (10, 2))
Element 7: (0, (10, 2), ['.', '.', '%', ''], [(6, 8), (7, 2), (16, 4)], [False, False, True, False], 86, False, [True, True, False, False], 2204, 'South', (10, 1))
Element 8: (0, (10, 1), ['.', '%', '', ''], [(7, 8), (8, 2), (16, 5)], [False, True, False, False], 84, False, [True, False, False, False], 2243, 'West', (9, 1))
Element 9: (0, (9, 1), ['.', '%', 'G', ''], [(8, 8), (9, 2), (16, 6)], [False, True, False, False], 82, False, [True, False, False, False], 2282, 'West', (8, 1))
Element 10: (0, (8, 1), ['.', '%', '', ''], [(9, 8), (10, 2), (17, 6)], [False, True, False, False], 80, False, [True, False, False, False], 2311, 'West', (7, 1))
Element 11: (0, (7, 1), ['.', '%', '', ''], [(10, 8), (11, 2), (18, 6)], [False, True, False, False], 78, False, [True, False, False, False], 2340, 'West', (6, 1))
Element 12: (0, (6, 1), ['%', '%', '', ''], [(11, 8), (12, 2), (18, 7)], [True, True, False, False], 76, False, [False, False, False, False], 2369, 'North', (6, 2))
Element 13: (0, (6, 2), ['%', '', '', ''], [(12, 8), (13, 2), (18, 8)], [True, False, False, False], 74, False, [False, False, False, False], 2388, 'East', (7, 2))
Element 14: (0, (7, 2), ['', '', '%', ''], [(13, 8), (13, 3), (18, 9)], [False, False, True, False], 72, False, [False, False, False, False], 2407, 'East', (8, 2))
Element 15: (0, (8, 2), ['', '', '%', ''], [(14, 8), (13, 4), (18, 10)], [False, False, True, False], 70, False, [False, False, False, False], 2426, 'East', (9, 2))
Element 16: (0, (9, 2), ['', '', '%', ''], [(15, 8), (13, 5), (17, 10)], [False, False, True, False], 68, False, [False, False, False, False], 2455, 'West', (8, 2))
Element 17: (0, (8, 2), ['', '', '%', ''], [(16, 8), (13, 6), (16, 10)], [False, False, True, False], 66, False, [False, False, False, False], 2484, 'West', (7, 2))
Element 18: (0, (7, 2), ['', '', '%', ''], [(16, 7), (14, 6), (15, 10)], [False, False, True, False], 64, False, [False, False, False, False], 2513, 'West', (6, 2))
Element 19: (0, (6, 2), ['%', '', '', ''], [(16, 6), (15, 6), (15, 9)], [True, False, False, False], 62, False, [False, False, False, False], 2532, 'North', (6, 3))
Element 20: (0, (6, 3), ['%', '', '', '%'], [(17, 6), (16, 6), (15, 8)], [True, False, False, True], 60, False, [False, False, False, False], 2531, 'North', (6, 4))
Element 21: (0, (6, 4), ['.', '', '', ''], [(18, 6), (17, 6), (16, 8)], [False, False, False, False], 58, False, [True, False, False, False], 2530, 'West', (5, 4))
Element 22: (0, (5, 4), ['.', '%', '%', ''], [(18, 5), (18, 6), (16, 7)], [False, True, True, False], 56, False, [True, False, False, False], 2549, 'West', (4, 4))
Element 23: (0, (4, 4), ['.', '.', '%', ''], [(18, 5), (18, 7), (16, 8)], [False, False, True, False], 54, False, [True, True, False, False], 2558, 'South', (4, 3))
Element 24: (0, (4, 3), ['%', '.', '', '%'], [(18, 6), (18, 8), (15, 8)], [True, False, False, True], 52, False, [False, True, False, False], 2567, 'South', (4, 2))
Element 25: (0, (4, 2), ['.', '.', '', '%'], [(18, 6), (18, 9), (14, 8)], [False, False, False, True], 50, False, [True, True, False, False], 2576, 'South', (4, 1))
Element 26: (0, (4, 1), ['.', '%', '', '%'], [(17, 6), (18, 10), (13, 8)], [False, True, False, True], 48, False, [True, False, False, False], 2585, 'West', (3, 1))
Element 27: (0, (3, 1), ['.', '%', '.', ''], [(16, 6), (17, 10), (13, 9)], [False, True, False, False], 46, False, [True, False, True, False], 2604, 'North', (3, 2))
Element 28: (0, (3, 2), ['.', '', '%', ''], [(16, 5), (16, 10), (13, 10)], [False, False, True, False], 44, False, [True, False, False, False], 2623, 'West', (2, 2))
Element 29: (0, (2, 2), ['.', '.', '%', ''], [(16, 4), (15, 10), (12, 10)], [False, False, True, False], 42, False, [True, True, False, False], 3632, 'South', (2, 1))
Element 30: #1#
