Element 1: (3, (17, 4), ['.', '%', '%', '%'], [(15, 10), (4, 3), (11, 2)], [False, True, True, True], 98, False, [True, False, False, False], 29, 'West', (16, 4))
Element 2: (3, (16, 4), ['.', '%', '.', ''], [(16, 10), (4, 4), (11, 1)], [False, True, False, False], 96, False, [True, False, True, False], 1058, 'North', (16, 5))
Element 3: (3, (16, 5), ['%', '', '.', '%'], [(17, 10), (5, 4), (12, 1)], [True, False, False, True], 94, False, [False, False, True, False], 1097, 'North', (16, 6))
Element 4: (3, (16, 6), ['.', '', '.', '.'], [(18, 10), (6, 4), (13, 1)], [False, False, False, False], 92, False, [True, False, True, True], 1136, 'East', (17, 6))
Element 5: (3, (17, 6), ['', '%', '%', '.'], [(18, 9), (7, 4), (13, 2)], [False, True, True, False], 90, False, [False, False, False, True], 1175, 'East', (18, 6))
Element 6: (3, (18, 6), ['', '.', '.', '%'], [(18, 8), (7, 5), (13, 3)], [False, False, False, True], 88, False, [False, True, True, False], 2204, 'North', (18, 7))
Element 7: (3, (18, 7), ['%', '', '', '%'], [(18, 9), (6, 5), (13, 4)], [True, False, False, True], 86, False, [False, False, False, False], 2233, 'North', (18, 8))
Element 8: (3, (18, 8), ['%', '', '', '%'], [(18, 10), (6, 6), (14, 4)], [True, False, False, True], 84, False, [False, False, False, False], 2252, 'North', (18, 9))
Element 9: (3, (18, 9), ['%', '', '', '%'], [(17, 10), (6, 7), (15, 4)], [True, False, False, True], 82, False, [False, False, False, False], 2271, 'North', (18, 10))
Element 10: (3, (18, 10), ['', '', '%', '%'], [(16, 10), (6, 8), (15, 3)], [False, False, True, True], 80, False, [False, False, False, False], 2290, 'West', (17, 10))
Element 11: (3, (17, 10), ['', '%', '%', ''], [(15, 10), (7, 8), (15, 2)], [False, True, True, False], 78, False, [False, False, False, False], 2309, 'West', (16, 10))
Element 12: (3, (16, 10), ['', '%', '%', ''], [(15, 9), (8, 8), (16, 2)], [False, True, True, False], 76, False, [False, False, False, False], 2328, 'West', (15, 10))
Element 13: (3, (15, 10), ['%', '', '%', ''], [(15, 8), (9, 8), (17, 2)], [True, False, True, False], 74, False, [False, False, False, False], 2357, 'South', (15, 9))
Element 14: (3, (15, 9), ['%', '', '', '%'], [(16, 8), (10, 8), (17, 1)], [True, False, False, True], 72, False, [False, False, False, False], 2386, 'South', (15, 8))
Element 15: (3, (15, 8), ['.', '%', '', ''], [(16, 7), (11, 8), (18, 1)], [False, True, False, False], 70, False, [True, False, False, False], 2415, 'West', (14, 8))
Element 16: (3, (14, 8), ['.', '%', '%', ''], [(16, 6), (12, 8), (18, 2)], [False, True, True, False], 68, False, [True, False, False, False], 2434, 'West', (13, 8))
Element 17: (3, (13, 8), ['', '.', '.', ''], [(15, 6), (11, 8), (18, 3)], [False, False, False, False], 66, False, [False, True, True, False], 2463, 'North', (13, 9))
Element 18: (3, (13, 9), ['%', '', '.', '%'], [(14, 6), (10, 8), (18, 2)], [True, False, False, True], 64, False, [False, False, True, False], 2482, 'North', (13, 10))
Element 19: (3, (13, 10), ['F', '', '%', '%'], [(13, 6), (10, 7), (18, 1)], [False, False, True, True], 62, False, [False, False, False, False], 2501, 'West', (12, 10))
Element 20: (3, (12, 10), ['F', '%', '%', ''], [(13, 7), (10, 6), (17, 1)], [False, True, True, False], 60, False, [False, False, False, False], 3510, 'West', (11, 10))
Element 21: #1#
