Element 39: (0, (18, 2), ['', '', '.', '%'], [(13, 6), (14, 4), (10, 7)], [False, False, False, True], 22, False, [False, False, True, False], 2502, 'North', (18, 3))
Element 40: (0, (18, 3), ['%', '', '%', '%'], [(13, 5), (13, 4), (10, 6)], [True, False, True, True], 20, False, [False, False, False, False], 2531, 'South', (18, 2))
Element 41: (0, (18, 2), ['', '', '', '%'], [(13, 6), (13, 3), (11, 6)], [False, False, False, True], 18, False, [False, False, False, False], 2540, 'South', (18, 1))
Element 42: (0, (18, 1), ['', '%', '', '%'], [(14, 6), (13, 2), (10, 6)], [False, True, False, True], 16, False, [False, False, False, False], 2549, 'West', (17, 1))
Element 43: (0, (17, 1), ['.', '%', '', ''], [(15, 6), (13, 1), (9, 6)], [False, True, False, False], 14, False, [True, False, False, False], 2558, 'West', (16, 1))
Element 44: (0, (16, 1), ['.', '%', '', ''], [(16, 6), (12, 1), (9, 7)], [False, True, False, False], 12, False, [True, False, False, False], 2577, 'West', (15, 1))
Element 45: (0, (15, 1), ['%', '%', '', ''], [(17, 6), (11, 1), (9, 8)], [True, True, False, False], 10, False, [False, False, False, False], 3586, 'East', (16, 1))
Element 46: (0, (16, 1), ['', '%', '', ''], [(18, 6), (11, 2), (8, 8)], [False, True, False, False], 8, False, [False, False, False, False], 3595, 'East', (17, 1))
Element 47: (0, (17, 1), ['', '%', '', ''], [(18, 7), (12, 2), (7, 8)], [False, True, False, False], 6, False, [False, False, False, False], 3604, 'North', (17, 2))
Element 48: (0, (17, 2), ['', '', '%', ''], [(18, 8), (11, 2), (6, 8)], [False, False, True, False], 4, False, [False, False, False, False], 3603, 'East', (18, 2))
Element 49: (0, (18, 2), ['', '', '', '%'], [(18, 9), (10, 2), (5, 8)], [False, False, False, True], 2, False, [False, False, False, False], 3622, 'West', (17, 2))
Element 50: (0, (17, 2), ['', '', '%', ''], [(18, 10), (10, 1), (4, 8)], [False, False, True, False], 0, False, [False, False, False, False], 3641, 'Stop', (17, 2))
Element 51: #0#
