Element 38: (1, (16, 7), ['%', '', '', '%'], [(1, 7), (16, 2), (10, 8)], [True, False, False, True], 24, False, [False, False, False, False], 3742, 'North', (16, 8))
Element 39: (1, (16, 8), ['', '', '%', '%'], [(1, 8), (16, 1), (10, 7)], [False, False, True, True], 22, False, [False, False, False, False], 3741, 'West', (15, 8))
Element 40: (1, (15, 8), ['', '%', '', ''], [(1, 9), (16, 2), (10, 6)], [False, True, False, False], 20, False, [False, False, False, False], 3740, 'West', (14, 8))
Element 41: (1, (14, 8), ['', '%', '%', ''], [(1, 10), (15, 2), (11, 6)], [False, True, True, False], 18, False, [False, False, False, False], 3749, 'East', (15, 8))
Element 42: (1, (15, 8), ['', '%', '', ''], [(2, 10), (15, 1), (10, 6)], [False, True, False, False], 16, False, [False, False, False, False], 3748, 'North', (15, 9))
Element 43: (1, (15, 9), ['%', '', '', '%'], [(3, 10), (15, 2), (9, 6)], [True, False, False, True], 14, False, [False, False, False, False], 3747, 'North', (15, 10))
Element 44: (1, (15, 10), ['%', '', '%', ''], [(4, 10), (15, 3), (8, 6)], [True, False, True, False], 12, False, [False, False, False, False], 3756, 'East', (16, 10))
Element 45: (1, (16, 10), ['', '%', '%', ''], [(4, 9), (15, 4), (9, 6)], [False, True, True, False], 10, False, [False, False, False, False], 3755, 'East', (17, 10))
Element 46: (1, (17, 10), ['', '%', '%', ''], [(4, 8), (14, 4), (9, 7)], [False, True, True, False], 8, False, [False, False, False, False], 3764, 'East', (18, 10))
Element 47: (1, (18, 10), ['', '', '%', '%'], [(3, 8), (13, 4), (9, 6)], [False, False, True, True], 6, False, [False, False, False, False], 3783, 'South', (18, 9))
Element 48: (1, (18, 9), ['%', '', '', '%'], [(3, 7), (13, 5), (10, 6)], [True, False, False, True], 4, False, [False, False, False, False], 3802, 'South', (18, 8))
Element 49: (1, (18, 8), ['%', '', '', '%'], [(3, 8), (13, 6), (10, 7)], [True, False, False, True], 2, False, [False, False, False, False], 3801, 'South', (18, 7))
Element 50: (1, (18, 7), ['%', '', '', '%'], [(3, 8), (14, 6), (9, 7)], [True, False, False, True], 0, False, [False, False, False, False], 3800, 'Stop', (18, 7))
Element 51: #0#
