Element 1: (1, (4, 10), ['.', '.', '%', '%'], [(7, 2), (12, 4), (13, 1)], [False, False, True, True], 98, False, [True, True, False, False], 9, 'South', (4, 9))
Element 2: (1, (4, 9), ['%', '.', '', '%'], [(8, 2), (13, 4), (13, 2)], [True, False, False, True], 96, False, [False, True, False, False], 48, 'South', (4, 8))
Element 3: (1, (4, 8), ['.', '%', '', '.'], [(9, 2), (14, 4), (13, 3)], [False, True, False, False], 94, False, [True, False, False, True], 87, 'East', (5, 8))
Element 4: (1, (5, 8), ['', '%', '%', '.'], [(10, 2), (15, 4), (13, 4)], [False, True, True, False], 92, False, [False, False, False, True], 116, 'East', (6, 8))
Element 5: (1, (6, 8), ['', '.', '.', '.'], [(11, 2), (16, 4), (13, 5)], [False, False, False, False], 90, False, [False, True, True, True], 155, 'East', (7, 8))
Element 6: (1, (7, 8), ['', '%', '%', '.'], [(11, 1), (17, 4), (13, 6)], [False, True, True, False], 88, False, [False, False, False, True], 1184, 'East', (8, 8))
Element 7: (1, (8, 8), ['', '%', '%', '.'], [(12, 1), (16, 4), (14, 6)], [False, True, True, False], 86, False, [False, False, False, True], 1213, 'East', (9, 8))
Element 8: (1, (9, 8), ['', '', '%', '.'], [(12, 2), (16, 5), (15, 6)], [False, False, True, False], 84, False, [False, False, False, True], 1252, 'East', (10, 8))
Element 9: (1, (10, 8), ['', '', '%', '.'], [(13, 2), (16, 6), (14, 6)], [False, False, True, False], 82, False, [False, False, False, True], 1271, 'East', (11, 8))
Element 10: (1, (11, 8), ['', '%', '%', '.'], [(13, 3), (17, 6), (13, 6)], [False, True, True, False], 80, False, [False, False, False, True], 1290, 'East', (12, 8))
Element 11: (1, (12, 8), ['', '%', '%', '.'], [(13, 4), (18, 6), (13, 7)], [False, True, True, False], 78, False, [False, False, False, True], 1319, 'East', (13, 8))
Element 12: (1, (13, 8), ['', '', '.', '.'], [(14, 4), (18, 7), (13, 6)], [False, False, False, False], 76, False, [False, False, True, True], 1338, 'East', (14, 8))
Element 13: (1, (14, 8), ['', '%', '%', '.'], [(15, 4), (18, 8), (13, 5)], [False, True, True, False], 74, False, [False, False, False, True], 1357, 'East', (15, 8))
Element 14: (1, (15, 8), ['', '%', '.', '.'], [(15, 3), (18, 9), (13, 4)], [False, True, False, False], 72, False, [False, False, True, True], 1386, 'East', (16, 8))
Element 15: (1, (16, 8), ['', '.', '%', '%'], [(15, 2), (18, 10), (14, 4)], [False, False, True, True], 70, False, [False, True, False, False], 1415, 'South', (16, 7))
