Element 1: (3, (4, 1), ['.', '%', '.', '%'], [(4, 9), (3, 2), (3, 6)], [False, True, False, True], 98, False, [True, False, True, False], 29, 'North', (4, 2))
Element 2: (3, (4, 2), ['', '', '.', '%'], [(4, 8), (3, 1), (4, 6)], [False, False, False, True], 96, False, [False, False, True, False], 68, 'North', (4, 3))
Element 3: (3, (4, 3), ['%', '', '.', '%'], [(5, 8), (2, 1), (5, 6)], [True, False, False, True], 94, False, [False, False, True, False], 107, 'North', (4, 4))
Element 4: (3, (4, 4), ['.', '', '%', '.'], [(6, 8), (1, 1), (6, 6)], [False, False, True, False], 92, False, [True, False, False, True], 136, 'East', (5, 4))
Element 5: (3, (5, 4), ['', '%', '%', '.'], [(7, 8), (1, 2), (6, 7)], [False, True, True, False], 90, False, [False, False, False, True], 175, 'East', (6, 4))
Element 6: (3, (6, 4), ['', '.', '.', '.'], [(8, 8), (1, 3), (6, 8)], [False, False, False, False], 88, False, [False, True, True, True], 204, 'East', (7, 4))
Element 7: (3, (7, 4), ['', '%', 'F', ''], [(9, 8), (1, 4), (6, 9)], [False, True, False, False], 86, False, [False, False, False, False], 243, 'North', (7, 5))
Element 8: (3, (7, 5), ['.', '', '%', '%'], [(10, 8), (1, 5), (6, 10)], [False, False, True, True], 84, False, [True, False, False, False], 1272, 'West', (6, 5))
Element 9: (3, (6, 5), ['%', '', '', ''], [(11, 8), (1, 6), (7, 10)], [True, False, False, False], 82, False, [False, False, False, False], 1311, 'North', (6, 6))
Element 10: (3, (6, 6), ['', '', '', '%'], [(12, 8), (2, 6), (8, 10)], [False, False, False, True], 80, False, [False, False, False, False], 1340, 'North', (6, 7))
Element 11: (3, (6, 7), ['%', '', '', '%'], [(13, 8), (3, 6), (9, 10)], [True, False, False, True], 78, False, [False, False, False, False], 1359, 'North', (6, 8))
Element 12: (3, (6, 8), ['', '', '', ''], [(14, 8), (3, 7), (10, 10)], [False, False, False, False], 76, False, [False, False, False, False], 1388, 'East', (7, 8))
Element 13: (3, (7, 8), ['', '%', '%', ''], [(15, 8), (3, 8), (11, 10)], [False, True, True, False], 74, False, [False, False, False, False], 2407, 'East', (8, 8))
Element 14: (3, (8, 8), ['', '%', '%', ''], [(16, 8), (4, 8), (12, 10)], [False, True, True, False], 72, False, [False, False, False, False], 3416, 'East', (9, 8))
Element 15: (3, (9, 8), ['', '', '%', ''], [(16, 7), (5, 8), (13, 10)], [False, False, True, False], 70, False, [False, False, False, False], 3435, 'East', (10, 8))
Element 16: (3, (10, 8), ['', '', '%', ''], [(16, 6), (6, 8), (13, 9)], [False, False, True, False], 68, False, [False, False, False, False], 3454, 'East', (11, 8))
Element 17: (3, (11, 8), ['', '%', '%', ''], [(17, 6), (7, 8), (13, 8)], [False, True, True, False], 66, False, [False, False, False, False], 3463, 'East', (12, 8))
Element 18: (3, (12, 8), ['', '%', '%', ''], [(18, 6), (8, 8), (13, 7)], [False, True, True, False], 64, False, [False, False, False, False], 3482, 'East', (13, 8))
Element 19: (3, (13, 8), ['', '', '', ''], [(18, 7), (9, 8), (13, 6)], [False, False, False, False], 62, False, [False, False, False, False], 3501, 'East', (14, 8))
Element 20: (3, (14, 8), ['', '%', '%', ''], [(18, 8), (10, 8), (14, 6)], [False, True, True, False], 60, False, [False, False, False, False], 3520, 'East', (15, 8))
Element 21: (3, (15, 8), ['', '%', '.', ''], [(18, 9), (11, 8), (15, 6)], [False, True, False, False], 58, False, [False, False, True, False], 3539, 'North', (15, 9))
Element 22: (3, (15, 9), ['%', '', '.', '%'], [(18, 10), (12, 8), (16, 6)], [True, False, False, True], 56, False, [False, False, True, False], 3558, 'North', (15, 10))
Element 23: (3, (15, 10), ['%', '', '%', '.'], [(17, 10), (13, 8), (16, 5)], [True, False, True, False], 54, False, [False, False, False, True], 3587, 'East', (16, 10))
Element 24: (3, (16, 10), ['', '%', '%', ''], [(18, 10), (14, 8), (16, 4)], [False, True, True, False], 52, False, [False, False, False, False], 3606, 'East', (17, 10))
Element 25: (3, (17, 10), ['', '%', '%', ''], [(18, 9), (15, 8), (17, 4)], [False, True, True, False], 50, False, [False, False, False, False], 3615, 'East', (18, 10))
Element 26: (3, (18, 10), ['', '', '%', '%'], [(18, 8), (16, 8), (16, 4)], [False, False, True, True], 48, False, [False, False, False, False], 3614, 'South', (18, 9))
Element 27: (3, (18, 9), ['%', '', '', '%'], [(18, 7), (16, 7), (15, 4)], [True, False, False, True], 46, False, [False, False, False, False], 3623, 'South', (18, 8))
Element 28: (3, (18, 8), ['%', '', '', '%'], [(18, 6), (16, 6), (15, 3)], [True, False, False, True], 44, False, [False, False, False, False], 3632, 'South', (18, 7))
Element 29: (3, (18, 7), ['%', '', '', '%'], [(18, 5), (17, 6), (15, 2)], [True, False, False, True], 42, False, [False, False, False, False], 3651, 'South', (18, 6))
Element 30: (3, (18, 6), ['', 'G', '', '%'], [(18, 5), (16, 6), (16, 2)], [False, False, False, True], 40, False, [False, False, False, False], 3660, 'West', (17, 6))
Element 31: (3, (17, 6), ['', '%', '%', 'G'], [(18, 6), (16, 5), (17, 2)], [False, True, True, False], 38, False, [False, False, False, False], 3669, 'West', (16, 6))
Element 32: (3, (16, 6), ['', '', '', 'G'], [(17, 6), (16, 4), (17, 1)], [False, False, False, False], 36, False, [False, False, False, False], 3678, 'North', (16, 7))
Element 33: (3, (16, 7), ['%', '', '', '%'], [(17, 6), (17, 4), (18, 1)], [True, False, False, True], 34, False, [False, False, False, False], 3687, 'North', (16, 8))
Element 34: (3, (16, 8), ['', '', '%', '%'], [(16, 6), (16, 4), (18, 2)], [False, False, True, True], 32, False, [False, False, False, False], 3686, 'South', (16, 7))
