Element 1: (2, (17, 4), ['.', '%', '%', '%'], [(6, 4), (4, 10), (18, 1)], [False, True, True, True], 98, False, [True, False, False, False], 19, 'West', (16, 4))
Element 2: (2, (16, 4), ['.', '%', '.', ''], [(7, 4), (4, 9), (17, 1)], [False, True, False, False], 96, False, [True, False, True, False], 58, 'North', (16, 5))
Element 3: (2, (16, 5), ['%', '', '.', '%'], [(7, 5), (4, 8), (17, 2)], [True, False, False, True], 94, False, [False, False, True, False], 1087, 'North', (16, 6))
Element 4: (2, (16, 6), ['.', '', '.', '.'], [(6, 5), (5, 8), (16, 2)], [False, False, False, False], 92, False, [True, False, True, True], 1126, 'East', (17, 6))
Element 5: (2, (17, 6), ['', '%', '%', '.'], [(6, 6), (6, 8), (16, 1)], [False, True, True, False], 90, False, [False, False, False, True], 1165, 'East', (18, 6))
Element 6: (2, (18, 6), ['', '.', '.', '%'], [(6, 7), (7, 8), (15, 1)], [False, False, False, True], 88, False, [False, True, True, False], 1204, 'North', (18, 7))
Element 7: (2, (18, 7), ['%', '', '.', '%'], [(6, 8), (8, 8), (15, 2)], [True, False, False, True], 86, False, [False, False, True, False], 1233, 'North', (18, 8))
Element 8: (2, (18, 8), ['%', '', '.', '%'], [(6, 9), (9, 8), (15, 3)], [True, False, False, True], 84, False, [False, False, True, False], 1272, 'North', (18, 9))
Element 9: (2, (18, 9), ['%', '', '.', '%'], [(6, 10), (10, 8), (15, 4)], [True, False, False, True], 82, False, [False, False, True, False], 1311, 'North', (18, 10))
Element 10: (2, (18, 10), ['.', '', '%', '%'], [(7, 10), (11, 8), (14, 4)], [False, False, True, True], 80, False, [True, False, False, False], 1350, 'West', (17, 10))
Element 11: (2, (17, 10), ['.', '%', '%', ''], [(8, 10), (12, 8), (13, 4)], [False, True, True, False], 78, False, [True, False, False, False], 1389, 'West', (16, 10))
Element 12: (2, (16, 10), ['.', '%', '%', ''], [(9, 10), (13, 8), (13, 5)], [False, True, True, False], 76, False, [True, False, False, False], 1428, 'West', (15, 10))
