Element 1: (3, (12, 1), ['F', '%', '.', '.'], [(14, 4), (4, 2), (11, 4)], [False, True, False, False], 98, False, [False, False, True, True], 29, 'West', (11, 1))
Element 2: (3, (11, 1), ['.', '%', '.', ''], [(15, 4), (4, 3), (12, 4)], [False, True, False, False], 96, False, [True, False, True, False], 1058, 'North', (11, 2))
Element 3: (3, (11, 2), ['.', '', '%', '.'], [(16, 4), (4, 4), (13, 4)], [False, False, True, False], 94, False, [True, False, False, True], 1087, 'East', (12, 2))
Element 4: (3, (12, 2), ['', '', '%', '.'], [(17, 4), (5, 4), (13, 5)], [False, False, True, False], 92, False, [False, False, False, True], 1126, 'East', (13, 2))
Element 5: (3, (13, 2), ['', '.', '.', '%'], [(16, 4), (6, 4), (13, 6)], [False, False, False, True], 90, False, [False, True, True, False], 1155, 'North', (13, 3))
Element 6: (3, (13, 3), ['%', '', '', '%'], [(16, 5), (7, 4), (14, 6)], [True, False, False, True], 88, False, [False, False, False, False], 1194, 'North', (13, 4))
Element 7: (3, (13, 4), ['', '', '', ''], [(16, 6), (7, 5), (15, 6)], [False, False, False, False], 86, False, [False, False, False, False], 2213, 'East', (14, 4))
Element 8: (3, (14, 4), ['', '%', '%', ''], [(17, 6), (6, 5), (16, 6)], [False, True, True, False], 84, False, [False, False, False, False], 2232, 'East', (15, 4))
Element 9: (3, (15, 4), ['', '.', '%', ''], [(18, 6), (6, 6), (16, 7)], [False, False, True, False], 82, False, [False, True, False, False], 2261, 'South', (15, 3))
Element 10: (3, (15, 3), ['%', '.', '', '%'], [(18, 7), (6, 7), (16, 8)], [True, False, False, True], 80, False, [False, True, False, False], 2300, 'South', (15, 2))
Element 11: (3, (15, 2), ['%', '.', '', '.'], [(18, 8), (6, 8), (15, 8)], [True, False, False, False], 78, False, [False, True, False, True], 2339, 'East', (16, 2))
Element 12: (3, (16, 2), ['', '.', '%', '.'], [(18, 9), (7, 8), (15, 9)], [False, False, True, False], 76, False, [False, True, False, True], 2378, 'East', (17, 2))
Element 13: (3, (17, 2), ['', '.', '%', ''], [(18, 10), (8, 8), (15, 10)], [False, False, True, False], 74, False, [False, True, False, False], 2417, 'South', (17, 1))
Element 14: (3, (17, 1), ['.', '%', '', '.'], [(17, 10), (9, 8), (16, 10)], [False, True, False, False], 72, False, [True, False, False, True], 2456, 'East', (18, 1))
Element 15: (3, (18, 1), ['', '%', '', '%'], [(18, 10), (10, 8), (17, 10)], [False, True, False, True], 70, False, [False, False, False, False], 2475, 'North', (18, 2))
Element 16: (3, (18, 2), ['', '', '.', '%'], [(18, 9), (11, 8), (18, 10)], [False, False, False, True], 68, False, [False, False, True, False], 2484, 'North', (18, 3))
Element 17: (3, (18, 3), ['%', '', '%', '%'], [(18, 8), (12, 8), (18, 9)], [True, False, True, True], 66, False, [False, False, False, False], 2503, 'South', (18, 2))
Element 18: (3, (18, 2), ['', '', '', '%'], [(18, 7), (13, 8), (18, 8)], [False, False, False, True], 64, False, [False, False, False, False], 2512, 'South', (18, 1))
Element 19: (3, (18, 1), ['', '%', '', '%'], [(18, 6), (14, 8), (18, 7)], [False, True, False, True], 62, False, [False, False, False, False], 2521, 'West', (17, 1))
Element 20: (3, (17, 1), ['.', '%', '', ''], [(18, 5), (15, 8), (18, 6)], [False, True, False, False], 60, False, [True, False, False, False], 2530, 'West', (16, 1))
Element 21: (3, (16, 1), ['.', '%', '', ''], [(18, 5), (16, 8), (17, 6)], [False, True, False, False], 58, False, [True, False, False, False], 2539, 'West', (15, 1))
Element 22: (3, (15, 1), ['%', '%', '', ''], [(18, 6), (16, 7), (16, 6)], [True, True, False, False], 56, False, [False, False, False, False], 2548, 'East', (16, 1))
Element 23: (3, (16, 1), ['', '%', '', ''], [(17, 6), (16, 8), (16, 7)], [False, True, False, False], 54, False, [False, False, False, False], 2547, 'East', (17, 1))
Element 24: (3, (17, 1), ['', '%', '', ''], [(16, 6), (15, 8), (16, 8)], [False, True, False, False], 52, False, [False, False, False, False], 2546, 'North', (17, 2))
Element 25: (3, (17, 2), ['', '', '%', ''], [(16, 6), (15, 9), (16, 8)], [False, False, True, False], 50, False, [False, False, False, False], 2545, 'East', (18, 2))
Element 26: (3, (18, 2), ['', '', '', '%'], [(16, 5), (15, 10), (16, 8)], [False, False, False, True], 48, False, [False, False, False, False], 2544, 'West', (17, 2))
Element 27: (3, (17, 2), ['', '', '%', ''], [(16, 4), (16, 10), (16, 8)], [False, False, True, False], 46, False, [False, False, False, False], 2543, 'West', (16, 2))
Element 28: (3, (16, 2), ['', '', '%', ''], [(15, 4), (17, 10), (16, 8)], [False, False, True, False], 44, False, [False, False, False, False], 2542, 'South', (16, 1))
Element 29: (3, (16, 1), ['', '%', '', ''], [(15, 3), (18, 10), (16, 8)], [False, True, False, False], 42, False, [False, False, False, False], 2541, 'North', (16, 2))
Element 30: (3, (16, 2), ['G', '', '%', ''], [(15, 2), (18, 9), (16, 8)], [False, False, True, False], 40, False, [False, False, False, False], 2540, 'South', (16, 1))
Element 31: (3, (16, 1), ['', '%', 'G', ''], [(16, 2), (18, 8), (15, 8)], [False, True, False, False], 38, False, [False, False, False, False], 2539, 'West', (15, 1))
Element 32: (3, (15, 1), ['%', '%', '', ''], [(17, 2), (18, 7), (14, 8)], [True, True, False, False], 36, False, [False, False, False, False], 2538, 'North', (15, 2))
Element 33: (3, (15, 2), ['%', '', '', ''], [(18, 2), (18, 6), (13, 8)], [True, False, False, False], 34, False, [False, False, False, False], 2537, 'North', (15, 3))
Element 34: (3, (15, 3), ['%', '', '', '%'], [(18, 3), (18, 5), (13, 9)], [True, False, False, True], 32, False, [False, False, False, False], 2546, 'North', (15, 4))
Element 35: (3, (15, 4), ['', '', '%', ''], [(18, 2), (18, 6), (13, 10)], [False, False, True, False], 30, False, [False, False, False, False], 2555, 'East', (16, 4))
Element 36: (3, (16, 4), ['', '%', '', ''], [(18, 1), (17, 6), (12, 10)], [False, True, False, False], 28, False, [False, False, False, False], 3554, 'East', (17, 4))
Element 37: #1#
