Element 39: (1, (16, 2), ['', '', '%', ''], [(17, 4), (16, 10), (16, 6)], [False, False, True, False], 22, False, [False, False, False, False], 2561, 'South', (16, 1))
Element 40: (1, (16, 1), ['', '%', '', ''], [(16, 4), (16, 10), (16, 5)], [False, True, False, False], 20, False, [False, False, False, False], 2560, 'North', (16, 2))
Element 41: (1, (16, 2), ['', '', '%', ''], [(15, 4), (16, 10), (16, 6)], [False, False, True, False], 18, False, [False, False, False, False], 2559, 'West', (15, 2))
Element 42: (1, (15, 2), ['%', '', 'G', ''], [(15, 3), (16, 10), (15, 6)], [True, False, False, False], 16, False, [False, False, False, False], 2558, 'South', (15, 1))
Element 43: (1, (15, 1), ['%', '%', 'G', ''], [(15, 2), (16, 10), (14, 6)], [True, True, False, False], 14, False, [False, False, False, False], 2557, 'East', (16, 1))
Element 44: (1, (16, 1), ['', '%', 'G', ''], [(16, 2), (16, 10), (13, 6)], [False, True, False, False], 12, False, [False, False, False, False], 2556, 'North', (16, 2))
Element 45: (1, (16, 2), ['', '', '%', 'G'], [(17, 2), (16, 10), (13, 7)], [False, False, True, False], 10, False, [False, False, False, False], 2555, 'Stop', (16, 2))
Element 46: (1, (16, 2), ['', '', '%', ''], [(18, 2), (16, 10), (13, 8)], [False, False, True, False], 8, False, [False, False, False, False], 2554, 'Stop', (16, 2))
Element 47: (1, (16, 2), ['', '', '%', ''], [(18, 3), (16, 10), (14, 8)], [False, False, True, False], 6, False, [False, False, False, False], 2553, 'Stop', (16, 2))
Element 48: (1, (16, 2), ['', '', '%', ''], [(18, 2), (16, 10), (13, 8)], [False, False, True, False], 4, False, [False, False, False, False], 2552, 'Stop', (16, 2))
Element 49: (1, (16, 2), ['', '', '%', ''], [(18, 1), (16, 10), (13, 9)], [False, False, True, False], 2, False, [False, False, False, False], 2551, 'Stop', (16, 2))
Element 50: (1, (16, 2), ['', '', '%', ''], [(18, 1), (16, 10), (13, 10)], [False, False, True, False], 0, False, [False, False, False, False], 2550, 'Stop', (16, 2))
Element 51: #0#
