Element 1: (1, (12, 1), ['F', '%', '.', '.'], [(1, 9), (13, 3), (15, 4)], [False, True, False, False], 98, False, [False, False, True, True], 9, 'West', (11, 1))
Element 2: (1, (11, 1), ['.', '%', '.', ''], [(1, 10), (13, 4), (16, 4)], [False, True, False, False], 96, False, [True, False, True, False], 1038, 'North', (11, 2))
Element 3: (1, (11, 2), ['.', '', '%', '.'], [(2, 10), (14, 4), (17, 4)], [False, False, True, False], 94, False, [True, False, False, True], 1077, 'East', (12, 2))
Element 4: (1, (12, 2), ['', '', '%', '.'], [(3, 10), (15, 4), (16, 4)], [False, False, True, False], 92, False, [False, False, False, True], 1096, 'East', (13, 2))
Element 5: (1, (13, 2), ['', '.', '', '%'], [(4, 10), (15, 3), (16, 5)], [False, False, False, True], 90, False, [False, True, False, False], 1135, 'South', (13, 1))
Element 6: (1, (13, 1), ['', '%', '', '%'], [(4, 9), (15, 2), (16, 6)], [False, True, False, True], 88, False, [False, False, False, False], 1174, 'North', (13, 2))
Element 7: (1, (13, 2), ['', '', '', '%'], [(4, 8), (16, 2), (17, 6)], [False, False, False, True], 86, False, [False, False, False, False], 1203, 'North', (13, 3))
Element 8: (1, (13, 3), ['%', '', '', '%'], [(5, 8), (17, 2), (18, 6)], [True, False, False, True], 84, False, [False, False, False, False], 1232, 'North', (13, 4))
Element 9: (1, (13, 4), ['.', '', '.', ''], [(6, 8), (17, 1), (18, 7)], [False, False, False, False], 82, False, [True, False, True, False], 1261, 'North', (13, 5))
Element 10: (1, (13, 5), ['%', '', '.', '%'], [(7, 8), (18, 1), (18, 8)], [True, False, False, True], 80, False, [False, False, True, False], 1300, 'North', (13, 6))
Element 11: (1, (13, 6), ['%', '', '.', '.'], [(8, 8), (18, 2), (18, 9)], [True, False, False, False], 78, False, [False, False, True, True], 1329, 'East', (14, 6))
Element 12: (1, (14, 6), ['', '%', '%', '.'], [(9, 8), (18, 3), (18, 10)], [False, True, True, False], 76, False, [False, False, False, True], 1368, 'East', (15, 6))
Element 13: (1, (15, 6), ['', '%', '%', ''], [(10, 8), (18, 2), (17, 10)], [False, True, True, False], 74, False, [False, False, False, False], 1397, 'East', (16, 6))
Element 14: (1, (16, 6), ['', '', '.', ''], [(11, 8), (18, 1), (16, 10)], [False, False, False, False], 72, False, [False, False, True, False], 1416, 'North', (16, 7))
Element 15: (1, (16, 7), ['%', '', '.', '%'], [(12, 8), (17, 1), (15, 10)], [True, False, False, True], 70, False, [False, False, True, False], 1445, 'North', (16, 8))
Element 16: (1, (16, 8), ['.', '', '%', '%'], [(13, 8), (16, 1), (15, 9)], [False, False, True, True], 68, False, [True, False, False, False], 1484, 'West', (15, 8))
Element 17: (1, (15, 8), ['G', '%', '', ''], [(14, 8), (15, 1), (15, 10)], [False, True, False, False], 66, False, [False, False, False, False], 1513, 'North', (15, 9))
Element 18: (1, (15, 9), ['%', 'G', '', '%'], [(15, 8), (16, 1), (16, 10)], [True, False, False, True], 64, False, [False, False, False, False], 1512, 'North', (15, 10))
Element 19: (1, (15, 10), ['%', '', '%', ''], [(16, 8), (17, 1), (17, 10)], [True, False, True, False], 62, False, [False, False, False, False], 1511, 'East', (16, 10))
Element 20: (1, (16, 10), ['', '%', '%', ''], [(16, 7), (17, 2), (18, 10)], [False, True, True, False], 60, False, [False, False, False, False], 1510, 'East', (17, 10))
Element 21: (1, (17, 10), ['', '%', '%', ''], [(16, 6), (18, 2), (18, 9)], [False, True, True, False], 58, False, [False, False, False, False], 1509, 'East', (18, 10))
Element 22: (1, (18, 10), ['', '', '%', '%'], [(17, 6), (17, 2), (18, 8)], [False, False, True, True], 56, False, [False, False, False, False], 1508, 'South', (18, 9))
Element 23: (1, (18, 9), ['%', '', '', '%'], [(18, 6), (16, 2), (18, 7)], [True, False, False, True], 54, False, [False, False, False, False], 1507, 'South', (18, 8))
Element 24: (1, (18, 8), ['%', 'G', '', '%'], [(18, 5), (16, 1), (18, 7)], [True, False, False, True], 52, False, [False, False, False, False], 1516, 'North', (18, 9))
Element 25: (1, (18, 9), ['%', '', '', '%'], [(18, 5), (16, 2), (18, 6)], [True, False, False, True], 50, False, [False, False, False, False], 1515, 'North', (18, 10))
Element 26: (1, (18, 10), ['', '', '%', '%'], [(18, 6), (15, 2), (18, 6)], [False, False, True, True], 48, False, [False, False, False, False], 1514, 'West', (17, 10))
Element 27: (1, (17, 10), ['', '%', '%', ''], [(17, 6), (15, 1), (17, 6)], [False, True, True, False], 46, False, [False, False, False, False], 1513, 'West', (16, 10))
Element 28: (1, (16, 10), ['', '%', '%', ''], [(17, 6), (15, 2), (16, 6)], [False, True, True, False], 44, False, [False, False, False, False], 1512, 'West', (15, 10))
Element 29: (1, (15, 10), ['%', '', '%', ''], [(16, 6), (15, 3), (16, 7)], [True, False, True, False], 42, False, [False, False, False, False], 1511, 'South', (15, 9))
Element 30: (1, (15, 9), ['%', '', '', '%'], [(15, 6), (15, 4), (16, 8)], [True, False, False, True], 40, False, [False, False, False, False], 1510, 'South', (15, 8))
Element 31: (1, (15, 8), ['', '%', '', ''], [(14, 6), (14, 4), (16, 7)], [False, True, False, False], 38, False, [False, False, False, False], 1509, 'East', (16, 8))
Element 32: (1, (16, 8), ['', '', '%', '%'], [(13, 6), (13, 4), (16, 6)], [False, False, True, True], 36, False, [False, False, False, False], 1508, 'South', (16, 7))
