Element 1: (2, (9, 4), ['', '%', '%', '.'], [(1, 9), (6, 6), (18, 1)], [False, True, True, False], 98, False, [False, False, False, True], 19, 'East', (10, 4))
Element 2: (2, (10, 4), ['', '%', '%', '.'], [(1, 10), (6, 7), (17, 1)], [False, True, True, False], 96, False, [False, False, False, True], 58, 'East', (11, 4))
Element 3: (2, (11, 4), ['', '%', '%', '.'], [(2, 10), (6, 8), (17, 2)], [False, True, True, False], 94, False, [False, False, False, True], 97, 'East', (12, 4))
Element 4: (2, (12, 4), ['', '%', '%', '.'], [(3, 10), (7, 8), (16, 2)], [False, True, True, False], 92, False, [False, False, False, True], 136, 'East', (13, 4))
Element 5: (2, (13, 4), ['', '.', '.', '.'], [(4, 10), (8, 8), (16, 1)], [False, False, False, False], 90, False, [False, True, True, True], 175, 'East', (14, 4))
Element 6: (2, (14, 4), ['', '%', '%', '.'], [(4, 9), (9, 8), (15, 1)], [False, True, True, False], 88, False, [False, False, False, True], 214, 'East', (15, 4))
Element 7: (2, (15, 4), ['', '.', '%', '.'], [(4, 8), (10, 8), (15, 2)], [False, False, True, False], 86, False, [False, True, False, True], 253, 'East', (16, 4))
Element 8: (2, (16, 4), ['', '%', '.', '.'], [(5, 8), (11, 8), (15, 3)], [False, True, False, False], 84, False, [False, False, True, True], 292, 'East', (17, 4))
Element 9: (2, (17, 4), ['', '%', '%', '%'], [(6, 8), (12, 8), (15, 4)], [False, True, True, True], 82, False, [False, False, False, False], 311, 'West', (16, 4))
Element 10: (2, (16, 4), ['', '%', '.', ''], [(6, 9), (13, 8), (14, 4)], [False, True, False, False], 80, False, [False, False, True, False], 330, 'North', (16, 5))
Element 11: (2, (16, 5), ['%', '', '.', '%'], [(6, 10), (14, 8), (13, 4)], [True, False, False, True], 78, False, [False, False, True, False], 359, 'North', (16, 6))
Element 12: (2, (16, 6), ['.', '', '.', '.'], [(7, 10), (15, 8), (13, 5)], [False, False, False, False], 76, False, [True, False, True, True], 398, 'East', (17, 6))
Element 13: (2, (17, 6), ['', '%', '%', '.'], [(8, 10), (16, 8), (13, 6)], [False, True, True, False], 74, False, [False, False, False, True], 437, 'East', (18, 6))
Element 14: (2, (18, 6), ['', '.', '.', '%'], [(9, 10), (16, 7), (14, 6)], [False, False, False, True], 72, False, [False, True, True, False], 476, 'North', (18, 7))
Element 15: (2, (18, 7), ['%', '', '.', '%'], [(10, 10), (16, 6), (15, 6)], [True, False, False, True], 70, False, [False, False, True, False], 505, 'North', (18, 8))
Element 16: (2, (18, 8), ['%', '', '.', '%'], [(11, 10), (17, 6), (14, 6)], [True, False, False, True], 68, False, [False, False, True, False], 1514, 'North', (18, 9))
Element 17: (2, (18, 9), ['%', '', '.', '%'], [(12, 10), (18, 6), (13, 6)], [True, False, False, True], 66, False, [False, False, True, False], 2523, 'North', (18, 10))
Element 18: (2, (18, 10), ['.', '', '%', '%'], [(13, 10), (18, 5), (13, 7)], [False, False, True, True], 64, False, [True, False, False, False], 2562, 'West', (17, 10))
Element 19: (2, (17, 10), ['.', '%', '%', ''], [(13, 9), (18, 6), (13, 8)], [False, True, True, False], 62, False, [True, False, False, False], 2581, 'West', (16, 10))
Element 20: (2, (16, 10), ['.', '%', '%', ''], [(13, 8), (18, 7), (14, 8)], [False, True, True, False], 60, False, [True, False, False, False], 2590, 'West', (15, 10))
Element 21: (2, (15, 10), ['%', '.', '%', ''], [(14, 8), (18, 8), (15, 8)], [True, False, True, False], 58, False, [False, True, False, False], 2599, 'South', (15, 9))
Element 22: (2, (15, 9), ['%', 'G', '', '%'], [(15, 8), (18, 9), (16, 8)], [True, False, False, True], 56, False, [False, False, False, False], 2608, 'North', (15, 10))
Element 23: (2, (15, 10), ['%', '', '%', ''], [(16, 8), (18, 10), (16, 7)], [True, False, True, False], 54, False, [False, False, False, False], 2607, 'East', (16, 10))
Element 24: (2, (16, 10), ['', '%', '%', 'G'], [(16, 7), (17, 10), (16, 6)], [False, True, True, False], 52, False, [False, False, False, False], 2606, 'West', (15, 10))
Element 25: (2, (15, 10), ['%', '', '%', 'G'], [(16, 6), (16, 10), (17, 6)], [True, False, True, False], 50, False, [False, False, False, False], 2605, 'East', (16, 10))
Element 26: (2, (16, 10), ['G', '%', '%', ''], [(17, 6), (15, 10), (18, 6)], [False, True, True, False], 48, False, [False, False, False, False], 2604, 'Stop', (16, 10))
Element 27: (2, (16, 10), ['', '%', '%', ''], [(18, 6), (15, 9), (18, 7)], [False, True, True, False], 46, False, [False, False, False, False], 2603, 'Stop', (16, 10))
Element 28: (2, (16, 10), ['G', '%', '%', ''], [(18, 7), (15, 10), (18, 8)], [False, True, True, False], 44, False, [False, False, False, False], 2602, 'East', (17, 10))
Element 29: (2, (17, 10), ['G', '%', '%', ''], [(18, 8), (16, 10), (18, 9)], [False, True, True, False], 42, False, [False, False, False, False], 2601, 'Stop', (17, 10))
Element 30: (2, (17, 10), ['', '%', '%', 'G'], [(18, 9), (15, 10), (18, 10)], [False, True, True, False], 40, False, [False, False, False, False], 2600, 'Stop', (17, 10))
Element 31: (2, (17, 10), ['', '%', '%', 'G'], [(18, 8), (15, 9), (18, 10)], [False, True, True, False], 38, False, [False, False, False, False], 2599, 'Stop', (17, 10))
Element 32: (2, (17, 10), ['', '%', '%', ''], [(18, 7), (15, 8), (18, 9)], [False, True, True, False], 36, False, [False, False, False, False], 2598, 'Stop', (17, 10))
Element 33: (2, (17, 10), ['', '%', '%', ''], [(18, 6), (14, 8), (18, 8)], [False, True, True, False], 34, False, [False, False, False, False], 2597, 'Stop', (17, 10))
Element 34: (2, (17, 10), ['', '%', '%', ''], [(18, 5), (13, 8), (18, 7)], [False, True, True, False], 32, False, [False, False, False, False], 2596, 'Stop', (17, 10))
Element 35: (2, (17, 10), ['', '%', '%', ''], [(18, 5), (12, 8), (18, 6)], [False, True, True, False], 30, False, [False, False, False, False], 2595, 'Stop', (17, 10))
Element 36: (2, (17, 10), ['', '%', '%', ''], [(18, 6), (12, 8), (18, 6)], [False, True, True, False], 28, False, [False, False, False, False], 2594, 'Stop', (17, 10))
Element 37: (2, (17, 10), ['', '%', '%', ''], [(17, 6), (12, 8), (17, 6)], [False, True, True, False], 26, False, [False, False, False, False], 2593, 'Stop', (17, 10))
Element 38: (2, (17, 10), ['', '%', '%', ''], [(17, 6), (12, 8), (16, 6)], [False, True, True, False], 24, False, [False, False, False, False], 2592, 'Stop', (17, 10))
Element 39: (2, (17, 10), ['', '%', '%', ''], [(16, 6), (11, 8), (16, 5)], [False, True, True, False], 22, False, [False, False, False, False], 2591, 'Stop', (17, 10))
Element 40: (2, (17, 10), ['', '%', '%', ''], [(15, 6), (10, 8), (16, 4)], [False, True, True, False], 20, False, [False, False, False, False], 2590, 'Stop', (17, 10))
Element 41: (2, (17, 10), ['', '%', '%', ''], [(14, 6), (10, 7), (17, 4)], [False, True, True, False], 18, False, [False, False, False, False], 2589, 'Stop', (17, 10))
Element 42: (2, (17, 10), ['', '%', '%', ''], [(13, 6), (10, 6), (16, 4)], [False, True, True, False], 16, False, [False, False, False, False], 2588, 'Stop', (17, 10))
Element 43: (2, (17, 10), ['', '%', '%', ''], [(13, 7), (11, 6), (16, 5)], [False, True, True, False], 14, False, [False, False, False, False], 2597, 'Stop', (17, 10))
Element 44: (2, (17, 10), ['', '%', '%', ''], [(13, 6), (10, 6), (16, 6)], [False, True, True, False], 12, False, [False, False, False, False], 2596, 'Stop', (17, 10))
Element 45: (2, (17, 10), ['', '%', '%', ''], [(13, 5), (9, 6), (16, 7)], [False, True, True, False], 10, False, [False, False, False, False], 2595, 'West', (16, 10))
Element 46: (2, (16, 10), ['', '%', '%', ''], [(13, 4), (8, 6), (16, 8)], [False, True, True, False], 8, False, [False, False, False, False], 2604, 'West', (15, 10))
Element 47: (2, (15, 10), ['%', '', '%', ''], [(13, 3), (9, 6), (15, 8)], [True, False, True, False], 6, False, [False, False, False, False], 2613, 'South', (15, 9))
Element 48: (2, (15, 9), ['%', '', '', '%'], [(13, 2), (9, 7), (14, 8)], [True, False, False, True], 4, False, [False, False, False, False], 2622, 'South', (15, 8))
Element 49: (2, (15, 8), ['', '%', '', ''], [(13, 1), (9, 6), (13, 8)], [False, True, False, False], 2, False, [False, False, False, False], 2631, 'East', (16, 8))
Element 50: (2, (16, 8), ['', '', '%', '%'], [(13, 1), (9, 6), (12, 8)], [False, False, True, True], 0, False, [False, False, False, False], 2630, 'Stop', (16, 8))
Element 51: #0#
