Element 1: (2, (15, 10), ['%', '.', '%', '.'], [(18, 2), (9, 8), (16, 5)], [True, False, True, False], 98, False, [False, True, False, True], 9, 'East', (16, 10))
Element 2: (2, (16, 10), ['', '%', '%', '.'], [(18, 1), (10, 8), (16, 6)], [False, True, True, False], 96, False, [False, False, False, True], 48, 'East', (17, 10))
Element 3: (2, (17, 10), ['', '%', '%', '.'], [(17, 1), (11, 8), (17, 6)], [False, True, True, False], 94, False, [False, False, False, True], 87, 'East', (18, 10))
Element 4: (2, (18, 10), ['', '.', '%', '%'], [(17, 2), (12, 8), (18, 6)], [False, False, True, True], 92, False, [False, True, False, False], 126, 'South', (18, 9))
Element 5: (2, (18, 9), ['%', '.', '', '%'], [(16, 2), (13, 8), (18, 7)], [True, False, False, True], 90, False, [False, True, False, False], 165, 'South', (18, 8))
Element 6: (2, (18, 8), ['%', '', '', '%'], [(16, 1), (14, 8), (18, 6)], [True, False, False, True], 88, False, [False, False, False, False], 194, 'South', (18, 7))
Element 7: (2, (18, 7), ['%', '', '', '%'], [(15, 1), (15, 8), (18, 5)], [True, False, False, True], 86, False, [False, False, False, False], 223, 'South', (18, 6))
Element 8: (2, (18, 6), ['', 'G', '', '%'], [(15, 2), (16, 8), (18, 5)], [False, False, False, True], 84, False, [False, False, False, False], 242, 'West', (17, 6))
Element 9: (2, (17, 6), ['', '%', '%', 'G'], [(15, 3), (16, 7), (18, 6)], [False, True, True, False], 82, False, [False, False, False, False], 261, 'West', (16, 6))
Element 10: (2, (16, 6), ['.', '', '', 'G'], [(15, 4), (16, 8), (17, 6)], [False, False, False, False], 80, False, [True, False, False, False], 270, 'West', (15, 6))
Element 11: (2, (15, 6), ['.', '%', '%', ''], [(16, 4), (15, 8), (17, 6)], [False, True, True, False], 78, False, [True, False, False, False], 289, 'West', (14, 6))
Element 12: (2, (14, 6), ['.', '%', '%', ''], [(17, 4), (15, 9), (16, 6)], [False, True, True, False], 76, False, [True, False, False, False], 318, 'West', (13, 6))
Element 13: (2, (13, 6), ['%', '.', '.', ''], [(16, 4), (15, 10), (15, 6)], [True, False, False, False], 74, False, [False, True, True, False], 327, 'North', (13, 7))
Element 14: (2, (13, 7), ['%', '', '', '%'], [(16, 5), (16, 10), (14, 6)], [True, False, False, True], 72, False, [False, False, False, False], 336, 'North', (13, 8))
Element 15: (2, (13, 8), ['', '', '.', ''], [(16, 6), (17, 10), (13, 6)], [False, False, False, False], 70, False, [False, False, True, False], 335, 'North', (13, 9))
Element 16: (2, (13, 9), ['%', '', '.', '%'], [(17, 6), (18, 10), (13, 5)], [True, False, False, True], 68, False, [False, False, True, False], 354, 'North', (13, 10))
Element 17: (2, (13, 10), ['F', '', '%', '%'], [(18, 6), (18, 9), (13, 4)], [False, False, True, True], 66, False, [False, False, False, False], 373, 'West', (12, 10))
Element 18: (2, (12, 10), ['F', '%', '%', ''], [(18, 7), (18, 8), (14, 4)], [False, True, True, False], 64, False, [False, False, False, False], 1382, 'West', (11, 10))
Element 19: (2, (11, 10), ['.', '%', '%', ''], [(18, 6), (18, 7), (15, 4)], [False, True, True, False], 62, False, [True, False, False, False], 2381, 'West', (10, 10))
Element 20: (2, (10, 10), ['.', '%', '%', ''], [(18, 5), (18, 6), (16, 4)], [False, True, True, False], 60, False, [True, False, False, False], 2390, 'West', (9, 10))
Element 21: (2, (9, 10), ['.', '%', '%', ''], [(18, 5), (17, 6), (17, 4)], [False, True, True, False], 58, False, [True, False, False, False], 2399, 'West', (8, 10))
Element 22: (2, (8, 10), ['.', '%', '%', ''], [(18, 6), (16, 6), (16, 4)], [False, True, True, False], 56, False, [True, False, False, False], 2408, 'West', (7, 10))
Element 23: (2, (7, 10), ['.', '%', '%', ''], [(17, 6), (16, 5), (15, 4)], [False, True, True, False], 54, False, [True, False, False, False], 2417, 'West', (6, 10))
Element 24: (2, (6, 10), ['%', '.', '%', ''], [(17, 6), (16, 4), (15, 3)], [True, False, True, False], 52, False, [False, True, False, False], 2426, 'South', (6, 9))
Element 25: (2, (6, 9), ['%', '.', '', '%'], [(16, 6), (17, 4), (15, 2)], [True, False, False, True], 50, False, [False, True, False, False], 2435, 'South', (6, 8))
Element 26: (2, (6, 8), ['.', '.', '', '.'], [(15, 6), (16, 4), (16, 2)], [False, False, False, False], 48, False, [True, True, False, True], 2444, 'East', (7, 8))
Element 27: (2, (7, 8), ['', '%', '%', ''], [(14, 6), (15, 4), (17, 2)], [False, True, True, False], 46, False, [False, False, False, False], 2453, 'East', (8, 8))
Element 28: (2, (8, 8), ['', '%', '%', ''], [(13, 6), (15, 3), (18, 2)], [False, True, True, False], 44, False, [False, False, False, False], 2452, 'East', (9, 8))
